lifetime, velocity, separation, clife, cof, fripscore
1500.0,1,100,1.0,1.0,0.00894081
1500.0,3,100,1.0,1.0,0.01666739
500.0,1,1000,1.0,1.0,0.0121559
500.0,1,100,1.0,1.0,0.012446
500.0,3,100,1.0,1.0,0.01324696
500.0,1,300,1.0,1.0,0.010580636363636363
500.0,1,500,1.0,1.0,0.0109948
500.0,1,700,1.0,1.0,0.011223285714285713
1500.0,1,100,1.0,1.5,0.0084497
1500.0,3,100,1.0,1.5,0.01172081
500.0,1,1000,1.0,1.5,0.0121616
500.0,1,100,1.0,1.5,0.01091149
500.0,3,100,1.0,1.5,0.01047244
500.0,1,300,1.0,1.5,0.010909969696969697
500.0,1,500,1.0,1.5,0.01069845
500.0,1,700,1.0,1.5,0.010686571428571429
500.0,1,1000,1.0,100000.0,0.0104482
500.0,1,100,1.0,100000.0,0.00914394
500.0,1,300,1.0,100000.0,0.009898424242424243
500.0,1,500,1.0,100000.0,0.00932145
500.0,1,700,1.0,100000.0,0.008908071428571428
1500.0,1,100,1.0,15.0,0.00845204
1500.0,3,100,1.0,15.0,0.01055311
500.0,1,1000,1.0,15.0,0.0118977
500.0,1,100,1.0,15.0,0.00958552
500.0,3,100,1.0,15.0,0.00917647
500.0,1,300,1.0,15.0,0.009763121212121213
500.0,1,500,1.0,15.0,0.0088653
500.0,1,700,1.0,15.0,0.009155142857142856
1500.0,1,100,1.0,150.0,0.0111322
1500.0,3,100,1.0,150.0,0.00608741
500.0,1,1000,1.0,150.0,0.0099153
500.0,1,100,1.0,150.0,0.00975572
500.0,3,100,1.0,150.0,0.00869348
500.0,1,300,1.0,150.0,0.009517151515151515
500.0,1,500,1.0,150.0,0.0089273
500.0,1,700,1.0,150.0,0.009387714285714286
1500.0,1,100,1.0,1500.0,0.0122411
1500.0,3,100,1.0,1500.0,0.00814409
500.0,1,1000,1.0,1500.0,0.0099423
500.0,1,100,1.0,1500.0,0.01023075
500.0,3,100,1.0,1500.0,0.00899187
500.0,1,300,1.0,1500.0,0.008681333333333333
500.0,1,500,1.0,1500.0,0.00954235
500.0,1,700,1.0,1500.0,0.0113365
1500.0,1,100,1.0,15000.0,0.00990334
1500.0,3,100,1.0,15000.0,0.00448096
500.0,1,1000,1.0,15000.0,0.0093228
500.0,1,100,1.0,15000.0,0.00999432
500.0,3,100,1.0,15000.0,0.01073764
500.0,1,300,1.0,15000.0,0.009609272727272727
500.0,1,500,1.0,15000.0,0.00904025
500.0,1,700,1.0,15000.0,0.0089555
1500.0,1,100,1.0,150000.0,0.01126871
1500.0,3,100,1.0,150000.0,0.01060094
500.0,1,1000,1.0,150000.0,0.009867
500.0,1,100,1.0,150000.0,0.00975006
500.0,3,100,1.0,150000.0,0.00982095
500.0,1,300,1.0,150000.0,0.01152039393939394
500.0,1,500,1.0,150000.0,0.0095833
500.0,1,700,1.0,150000.0,0.010057428571428571
1500.0,1,100,1.0,3.0,0.00965794
1500.0,3,100,1.0,3.0,0.01197978
500.0,1,1000,1.0,3.0,0.0098398
500.0,1,100,1.0,3.0,0.01019509
500.0,3,100,1.0,3.0,0.01168364
500.0,1,300,1.0,3.0,0.009967909090909092
500.0,1,500,1.0,3.0,0.0103635
500.0,1,700,1.0,3.0,0.011115142857142856
1500.0,1,100,1.0,5.0,0.01074567
1500.0,3,100,1.0,5.0,0.00869994
500.0,1,1000,1.0,5.0,0.0097156
500.0,1,100,1.0,5.0,0.00928818
500.0,3,100,1.0,5.0,0.01243437
500.0,1,300,1.0,5.0,0.010313484848484848
500.0,1,500,1.0,5.0,0.01105325
500.0,1,700,1.0,5.0,0.010201
1500.0,1,100,1.0,50.0,0.00697789
1500.0,3,100,1.0,50.0,0.00649289
500.0,1,1000,1.0,50.0,0.009667
500.0,1,100,1.0,50.0,0.0100411
500.0,3,100,1.0,50.0,0.00684284
500.0,1,300,1.0,50.0,0.010394272727272728
500.0,1,500,1.0,50.0,0.0088418
500.0,1,700,1.0,50.0,0.009711214285714287
1500.0,1,100,1.0,500.0,0.00891544
1500.0,3,100,1.0,500.0,0.00815889
500.0,1,1000,1.0,500.0,0.010462
500.0,1,100,1.0,500.0,0.01059511
500.0,3,100,1.0,500.0,0.00852309
500.0,1,300,1.0,500.0,0.009751515151515152
500.0,1,500,1.0,500.0,0.00959635
500.0,1,700,1.0,500.0,0.009217857142857142
1500.0,1,100,1.0,5000.0,0.00715406
1500.0,3,100,1.0,5000.0,0.00736124
500.0,1,1000,1.0,5000.0,0.008991
500.0,1,100,1.0,5000.0,0.00948995
500.0,3,100,1.0,5000.0,0.00987595
500.0,1,300,1.0,5000.0,0.008448121212121212
500.0,1,500,1.0,5000.0,0.0097819
500.0,1,700,1.0,5000.0,0.008942714285714286
1500.0,1,100,1.0,50000.0,0.00760536
1500.0,3,100,1.0,50000.0,0.00619363
500.0,1,1000,1.0,50000.0,0.0094674
500.0,1,100,1.0,50000.0,0.01142863
500.0,3,100,1.0,50000.0,0.00903459
500.0,1,300,1.0,50000.0,0.009987333333333334
500.0,1,500,1.0,50000.0,0.0089021
500.0,1,700,1.0,50000.0,0.008953928571428571
1500.0,1,100,1.0,500000.0,0.0102493
1500.0,3,100,1.0,500000.0,0.00633721
500.0,1,1000,1.0,500000.0,0.0089954
500.0,1,100,1.0,500000.0,0.00997104
500.0,3,100,1.0,500000.0,0.01154223
500.0,1,300,1.0,500000.0,0.010577878787878787
500.0,1,500,1.0,500000.0,0.0090528
500.0,1,700,1.0,500000.0,0.009163214285714285
1500.0,1,100,1.5,1.0,0.01318627
1500.0,3,100,1.5,1.0,0.01241836
500.0,1,1000,1.5,1.0,0.0131787
500.0,1,100,1.5,1.0,0.01294013
500.0,3,100,1.5,1.0,0.0149191
500.0,1,300,1.5,1.0,0.013224545454545454
500.0,1,500,1.5,1.0,0.0122143
