lifetime, velocity, clife, cof, face, fripscore
1500.0,0.33,10.0,1.0,0.1,0.01019756
1500.0,1,10.0,1.0,0.1,0.00867101
1500.0,3,10.0,1.0,0.1,0.00964057
166.0,0.33,10.0,1.0,0.1,0.00996699
166.0,1,10.0,1.0,0.1,0.00956564
166.0,3,10.0,1.0,0.1,0.00959228
500.0,0.33,10.0,1.0,0.1,0.00982342
500.0,1,10.0,1.0,0.1,0.01050238
500.0,3,10.0,1.0,0.1,0.00888049
1500.0,0.33,10.0,150.0,0.1,0.01070734
1500.0,1,10.0,150.0,0.1,0.00930849
1500.0,3,10.0,150.0,0.1,0.01475556
166.0,0.33,10.0,150.0,0.1,0.01015428
166.0,1,10.0,150.0,0.1,0.00961591
166.0,3,10.0,150.0,0.1,0.00952273
500.0,0.33,10.0,150.0,0.1,0.01029128
500.0,1,10.0,150.0,0.1,0.00892211
500.0,3,10.0,150.0,0.1,0.00914558
1500.0,0.33,10.0,3.0,0.1,0.01052192
1500.0,1,10.0,3.0,0.1,0.00852699
1500.0,3,10.0,3.0,0.1,0.01389593
166.0,0.33,10.0,3.0,0.1,0.01034452
166.0,1,10.0,3.0,0.1,0.00979628
166.0,3,10.0,3.0,0.1,0.00822988
500.0,0.33,10.0,3.0,0.1,0.01023887
500.0,1,10.0,3.0,0.1,0.00973116
500.0,3,10.0,3.0,0.1,0.00734107
1500.0,0.33,1500.0,1.0,0.1,0.01002928
1500.0,1,1500.0,1.0,0.1,0.00975966
1500.0,3,1500.0,1.0,0.1,0.00921936
166.0,0.33,1500.0,1.0,0.1,0.01019517
166.0,1,1500.0,1.0,0.1,0.00959742
166.0,3,1500.0,1.0,0.1,0.01003296
500.0,0.33,1500.0,1.0,0.1,0.01020166
500.0,1,1500.0,1.0,0.1,0.0103709
500.0,3,1500.0,1.0,0.1,0.00759526
1500.0,0.33,1500.0,150.0,0.1,0.01055698
1500.0,1,1500.0,150.0,0.1,0.00926057
1500.0,3,1500.0,150.0,0.1,0.01237676
166.0,0.33,1500.0,150.0,0.1,0.01019044
166.0,1,1500.0,150.0,0.1,0.00952598
166.0,3,1500.0,150.0,0.1,0.00964865
500.0,0.33,1500.0,150.0,0.1,0.01034084
500.0,1,1500.0,150.0,0.1,0.01006213
500.0,3,1500.0,150.0,0.1,0.01016228
1500.0,0.33,1500.0,3.0,0.1,0.00970461
1500.0,1,1500.0,3.0,0.1,0.00766221
1500.0,3,1500.0,3.0,0.1,0.00673461
166.0,0.33,1500.0,3.0,0.1,0.01011925
166.0,1,1500.0,3.0,0.1,0.01005654
166.0,3,1500.0,3.0,0.1,0.00975161
500.0,0.33,1500.0,3.0,0.1,0.01018916
500.0,1,1500.0,3.0,0.1,0.0099997
500.0,3,1500.0,3.0,0.1,0.0077386
1500.0,0.33,30.0,1.0,0.1,0.01024211
1500.0,1,30.0,1.0,0.1,0.00904315
1500.0,3,30.0,1.0,0.1,0.01521049
166.0,0.33,30.0,1.0,0.1,0.01019685
166.0,1,30.0,1.0,0.1,0.00987433
166.0,3,30.0,1.0,0.1,0.0092087
500.0,0.33,30.0,1.0,0.1,0.01015008
500.0,1,30.0,1.0,0.1,0.01119849
500.0,3,30.0,1.0,0.1,0.00772037
1500.0,0.33,30.0,150.0,0.1,0.0095548
1500.0,1,30.0,150.0,0.1,0.00980757
1500.0,3,30.0,150.0,0.1,0.01016011
166.0,0.33,30.0,150.0,0.1,0.01021368
166.0,1,30.0,150.0,0.1,0.00977229
166.0,3,30.0,150.0,0.1,0.00926846
500.0,0.33,30.0,150.0,0.1,0.00970639
500.0,1,30.0,150.0,0.1,0.00973219
500.0,3,30.0,150.0,0.1,0.0079734
1500.0,0.33,30.0,3.0,0.1,0.01010635
1500.0,1,30.0,3.0,0.1,0.00855425
1500.0,3,30.0,3.0,0.1,0.00768523
166.0,0.33,30.0,3.0,0.1,0.01005209
166.0,1,30.0,3.0,0.1,0.01004247
166.0,3,30.0,3.0,0.1,0.00940548
500.0,0.33,30.0,3.0,0.1,0.0102741
500.0,1,30.0,3.0,0.1,0.00956958
500.0,3,30.0,3.0,0.1,0.00664764
1500.0,0.33,10.0,1.0,0.3,0.01404176
1500.0,1,10.0,1.0,0.3,0.00994115
1500.0,3,10.0,1.0,0.3,0.01473056
166.0,0.33,10.0,1.0,0.3,0.01251339
166.0,1,10.0,1.0,0.3,0.01033448
166.0,3,10.0,1.0,0.3,0.00992672
500.0,0.33,10.0,1.0,0.3,0.01258308
500.0,1,10.0,1.0,0.3,0.00955076
500.0,3,10.0,1.0,0.3,0.01058584
1500.0,0.33,10.0,150.0,0.3,0.01240592
1500.0,1,10.0,150.0,0.3,0.0088887
1500.0,3,10.0,150.0,0.3,0.00825909
166.0,0.33,10.0,150.0,0.3,0.01250347
166.0,1,10.0,150.0,0.3,0.01029304
166.0,3,10.0,150.0,0.3,0.00976618
500.0,0.33,10.0,150.0,0.3,0.0124337
500.0,1,10.0,150.0,0.3,0.00990067
500.0,3,10.0,150.0,0.3,0.00902485
1500.0,0.33,10.0,3.0,0.3,0.01280807
1500.0,1,10.0,3.0,0.3,0.01018375
1500.0,3,10.0,3.0,0.3,0.01189497
166.0,0.33,10.0,3.0,0.3,0.01240882
166.0,1,10.0,3.0,0.3,0.01011218
166.0,3,10.0,3.0,0.3,0.01073021
500.0,0.33,10.0,3.0,0.3,0.01282388
500.0,1,10.0,3.0,0.3,0.01003241
500.0,3,10.0,3.0,0.3,0.01128759
1500.0,0.33,1500.0,1.0,0.3,0.01264736
1500.0,1,1500.0,1.0,0.3,0.01013439
1500.0,3,1500.0,1.0,0.3,0.00821927
166.0,0.33,1500.0,1.0,0.3,0.01249933
166.0,1,1500.0,1.0,0.3,0.01057422
166.0,3,1500.0,1.0,0.3,0.00884638
500.0,0.33,1500.0,1.0,0.3,0.01279936
500.0,1,1500.0,1.0,0.3,0.00972119
500.0,3,1500.0,1.0,0.3,0.01437917
1500.0,0.33,1500.0,150.0,0.3,0.01244522
1500.0,1,1500.0,150.0,0.3,0.00987723
1500.0,3,1500.0,150.0,0.3,0.00926021
166.0,0.33,1500.0,150.0,0.3,0.01224472
166.0,1,1500.0,150.0,0.3,0.01038488
166.0,3,1500.0,150.0,0.3,0.01011228
500.0,0.33,1500.0,150.0,0.3,0.01274715
500.0,1,1500.0,150.0,0.3,0.00971387
500.0,3,1500.0,150.0,0.3,0.00818844
1500.0,0.33,1500.0,3.0,0.3,0.01372756
1500.0,1,1500.0,3.0,0.3,0.01240952
1500.0,3,1500.0,3.0,0.3,0.00755132
166.0,0.33,1500.0,3.0,0.3,0.0125501
166.0,1,1500.0,3.0,0.3,0.01037394
166.0,3,1500.0,3.0,0.3,0.00994045
500.0,0.33,1500.0,3.0,0.3,0.01274307
500.0,1,1500.0,3.0,0.3,0.01051408
500.0,3,1500.0,3.0,0.3,0.00848383
1500.0,0.33,30.0,1.0,0.3,0.01159463
1500.0,1,30.0,1.0,0.3,0.01079902
1500.0,3,30.0,1.0,0.3,0.01032345
166.0,0.33,30.0,1.0,0.3,0.01248685
166.0,1,30.0,1.0,0.3,0.00973195
166.0,3,30.0,1.0,0.3,0.01084173
500.0,0.33,30.0,1.0,0.3,0.01262944
500.0,1,30.0,1.0,0.3,0.00971693
500.0,3,30.0,1.0,0.3,0.01101721
1500.0,0.33,30.0,150.0,0.3,0.01356321
1500.0,1,30.0,150.0,0.3,0.0093888
1500.0,3,30.0,150.0,0.3,0.01237187
166.0,0.33,30.0,150.0,0.3,0.01244128
166.0,1,30.0,150.0,0.3,0.01011377
166.0,3,30.0,150.0,0.3,0.00983645
500.0,0.33,30.0,150.0,0.3,0.01267883
500.0,1,30.0,150.0,0.3,0.0102026
500.0,3,30.0,150.0,0.3,0.01112349
1500.0,0.33,30.0,3.0,0.3,0.01406304
1500.0,1,30.0,3.0,0.3,0.0072724
1500.0,3,30.0,3.0,0.3,0.0050552
166.0,0.33,30.0,3.0,0.3,0.01268995
166.0,1,30.0,3.0,0.3,0.01028566
166.0,3,30.0,3.0,0.3,0.00928505
500.0,0.33,30.0,3.0,0.3,0.01288617
500.0,1,30.0,3.0,0.3,0.01014413
500.0,3,30.0,3.0,0.3,0.00793942
1500.0,0.33,10.0,1.0,0.5,0.02026921
1500.0,1,10.0,1.0,0.5,0.01197057
1500.0,3,10.0,1.0,0.5,0.02754976
166.0,0.33,10.0,1.0,0.5,0.01896897
166.0,1,10.0,1.0,0.5,0.01089623
166.0,3,10.0,1.0,0.5,0.01024319
500.0,0.33,10.0,1.0,0.5,0.01976885
500.0,1,10.0,1.0,0.5,0.01066153
500.0,3,10.0,1.0,0.5,0.0099086
1500.0,0.33,10.0,150.0,0.5,0.02191181
1500.0,1,10.0,150.0,0.5,0.01116217
1500.0,3,10.0,150.0,0.5,0.00637775
