orientation,dist,n,peak_score
++,208240.5,1131,1.9685019820618734
++,240713.0,1829,2.026494284664767
++,282927.0,2918,1.972013612558893
++,337805.5,3524,1.9864691524547737
++,409147.5,4801,2.1000180864282116
++,501891.5,5515,2.0569396223644034
++,622459.0,5617,2.030761009664827
++,779197.0,5095,2.029014375379471
++,982956.0,3065,1.9903303982474672
++,1247843.0,2376,1.9590803449399712
++,1592196.5,1092,2.166679642721702
++,2039855.5,346,2.014932872857294
++,2621812.0,50,2.2465986133246174
++,3378355.5,35,1.8135481307357013
+-,208240.5,1239,2.0197166978703733
+-,240713.0,2212,2.096946930698541
+-,282927.0,3452,2.0158761196402657
+-,337805.5,3773,1.9670180005767612
+-,409147.5,5256,2.077083460107132
+-,501891.5,6460,2.0568686680547392
+-,622459.0,6315,2.0570146325002496
+-,779197.0,5886,2.0456887158078354
+-,982956.0,4141,1.9874833458531607
+-,1247843.0,2759,2.033216026085008
+-,1592196.5,1244,2.1268023166987975
+-,2039855.5,494,2.1620073879498074
+-,2621812.0,53,1.98362738584736
+-,3378355.5,37,1.917438376475349
-+,208240.5,915,1.943715242241249
-+,240713.0,1725,2.0241677432718053
-+,282927.0,2563,1.9579373170184153
-+,337805.5,3015,1.971032829351895
-+,409147.5,4088,2.079231774553606
-+,501891.5,4812,1.9934279663128414
-+,622459.0,4554,1.9972391529683624
-+,779197.0,4156,2.008477269545584
-+,982956.0,2628,1.9693559869721557
-+,1247843.0,1916,1.940134708389258
-+,1592196.5,797,2.0938955833275874
-+,2039855.5,250,1.9569041935304328
-+,2621812.0,39,2.140046089472557
-+,3378355.5,27,1.7817034779041427
--,208240.5,996,1.9792167919948307
--,240713.0,1908,2.0160686368322365
--,282927.0,3101,1.9884272188280099
--,337805.5,3366,1.9752741570030987
--,409147.5,4546,2.055535854859062
--,501891.5,5556,1.9955053361398307
--,622459.0,5230,2.02559345110922
--,779197.0,4854,2.04192298635754
--,982956.0,3350,1.9625689656353673
--,1247843.0,2245,2.038920984936847
--,1592196.5,962,2.068932616373839
--,2039855.5,340,2.057684426521584
--,2621812.0,64,2.053386558079695
--,3378355.5,34,1.8661450154437293
