orientation,dist,n,peak_score
++,208240.5,924,1.736492814829778
++,240713.0,1209,1.6789218773079697
++,282927.0,1642,1.6254491241723066
++,337805.5,1888,1.6087082713248821
++,409147.5,2044,1.641924919651285
++,501891.5,1511,1.547510880618431
++,622459.0,1062,1.4873548124448472
++,779197.0,702,1.4516220966402442
++,982956.0,361,1.509495100516932
++,1247843.0,103,1.4946838960390543
++,1592196.5,26,1.4453301518796096
++,3378355.5,3,nan
+-,208240.5,1196,1.7579386781430077
+-,240713.0,1636,1.733581400118828
+-,282927.0,2126,1.6865765927017504
+-,337805.5,2415,1.6135157671026317
+-,409147.5,2388,1.6183947025216667
+-,501891.5,1858,1.5666609070491853
+-,622459.0,1368,1.5371225277597431
+-,779197.0,876,1.5096726837678927
+-,982956.0,398,1.5614418719975136
+-,1247843.0,176,1.569586215289089
+-,1592196.5,45,1.5186959394542376
+-,2039855.5,2,1.179808563192906
-+,208240.5,737,1.705774660738847
-+,240713.0,1046,1.6505895835261626
-+,282927.0,1559,1.444967291420897
-+,337805.5,1326,1.6028003963331592
-+,409147.5,1573,1.5888104589920158
-+,501891.5,1179,1.533504104283566
-+,622459.0,714,1.4484938291617764
-+,779197.0,540,1.418183636076463
-+,982956.0,284,1.5139308218363559
-+,1247843.0,62,1.4888422796054102
-+,1592196.5,15,1.4572683471840318
-+,3378355.5,1,nan
--,208240.5,968,1.7565803018284507
--,240713.0,1342,1.6966362187650537
--,282927.0,1755,1.5559241234281596
--,337805.5,1739,1.615895645260517
--,409147.5,1804,1.5602357231399688
--,501891.5,1442,1.564071305923009
--,622459.0,1018,1.5124519131499874
--,779197.0,703,1.482010910169436
--,982956.0,314,1.5390190026854094
--,1247843.0,101,1.4673362050936807
--,1592196.5,23,1.4262162075427085
