orientation,dist,n,peak_score
++,208240.5,924,1.9373397867265627
++,240713.0,1209,1.8037793319210178
++,282927.0,1642,1.7645913863841665
++,337805.5,1888,1.7216694028607717
++,409147.5,2044,1.7925814232352026
++,501891.5,1511,1.630231014385351
++,622459.0,1062,1.5601466941275386
++,779197.0,702,1.5012938189591785
++,982956.0,361,1.5599975549416674
++,1247843.0,103,1.4523555619141428
++,1592196.5,26,1.5973350820881276
++,3378355.5,3,0.7994226380752263
+-,208240.5,1196,1.9933797970932245
+-,240713.0,1636,1.8793628682652368
+-,282927.0,2126,1.8285469753031478
+-,337805.5,2415,1.7471124374533757
+-,409147.5,2388,1.7744743808018248
+-,501891.5,1858,1.6595169865666093
+-,622459.0,1368,1.6172109893038682
+-,779197.0,876,1.592761816007165
+-,982956.0,398,1.6861963085546916
+-,1247843.0,176,1.5954154352829586
+-,1592196.5,45,1.6406562240004086
+-,2039855.5,2,1.437075536878958
-+,208240.5,737,1.9182024596509837
-+,240713.0,1046,1.762397060977063
-+,282927.0,1559,1.5429642083362187
-+,337805.5,1326,1.7425497429688688
-+,409147.5,1573,1.7152090853113893
-+,501891.5,1179,1.6438470353416272
-+,622459.0,714,1.50404557259932
-+,779197.0,540,1.4629870797812377
-+,982956.0,284,1.528569298205343
-+,1247843.0,62,1.5290195723636746
-+,1592196.5,15,1.6119232725583783
-+,3378355.5,1,0.7994226380752263
--,208240.5,968,2.0068810186492905
--,240713.0,1342,1.8347337553627956
--,282927.0,1755,1.676590686526685
--,337805.5,1739,1.7534130501459078
--,409147.5,1804,1.6751078321888329
--,501891.5,1442,1.6616877497458389
--,622459.0,1018,1.5795508032213683
--,779197.0,703,1.562818419980398
--,982956.0,314,1.6314528679461908
--,1247843.0,101,1.52997023074197
--,1592196.5,23,1.5487850970345822
