orientation,dist,n,peak_score
++,105000.0,72,1.0543146219734987
++,114750.0,67,1.0865068371748818
++,122425.0,41,1.0943753364156563
++,129152.5,44,1.0893066226108734
++,137898.0,70,1.1034136899661486
++,149267.0,82,1.0933686746572249
++,164047.5,125,1.1055589396334922
++,183262.0,154,1.1230453171639572
++,208240.5,219,1.104372962863244
++,240713.0,285,1.0754554013071331
++,282927.0,355,1.0495258043785374
++,337805.5,413,1.054433550564198
++,409147.5,593,1.0449223467005293
++,501891.5,765,1.0485581870387384
++,622459.0,926,1.0328129001875461
++,779197.0,1205,1.021025336268289
++,982956.0,1457,1.0139328796853566
++,1247843.0,1929,1.0061128995431556
++,1592196.5,2400,1.0010689155439072
++,2039855.5,2945,0.9986490146908801
++,2621812.0,3821,0.9985373512741027
++,3378355.5,4878,0.9978701615992553
++,4361862.5,6113,0.9986075830580975
++,5640421.5,7460,0.9989217893505535
++,7302548.0,9295,0.9991138259076371
++,9463313.0,7974,0.998769044695103
+-,105000.0,84,1.1472199993933254
+-,114750.0,67,1.1378153597703626
+-,122425.0,53,1.1897171036030112
+-,129152.5,67,1.2651350768661085
+-,137898.0,80,1.2936447276233853
+-,149267.0,91,1.2555325200906813
+-,164047.5,148,1.2656343512079407
+-,183262.0,179,1.255212775368609
+-,208240.5,218,1.2416590555992744
+-,240713.0,302,1.2216762527961857
+-,282927.0,370,1.1968131901933674
+-,337805.5,472,1.1865654755927892
+-,409147.5,610,1.164296851614585
+-,501891.5,780,1.1490927116144012
+-,622459.0,959,1.1038397592673643
+-,779197.0,1187,1.0857425559885119
+-,982956.0,1609,1.0567055790377244
+-,1247843.0,2053,1.0277103519228925
+-,1592196.5,2554,1.0127841018366186
+-,2039855.5,3337,1.005410144605562
+-,2621812.0,4149,1.0009776721057484
+-,3378355.5,5289,0.9988747617867986
+-,4361862.5,6464,0.9983924347050498
+-,5640421.5,7907,0.9983523203259712
+-,7302548.0,9721,0.9990870943010226
+-,9463313.0,8613,0.999225308454547
-+,105000.0,89,0.9597293224896742
-+,114750.0,85,0.9751761599346951
-+,122425.0,53,0.9637819884920981
-+,129152.5,66,0.9973041955276225
-+,137898.0,84,0.9521171604537254
-+,149267.0,127,0.9642089032494793
-+,164047.5,166,0.9718287173830382
-+,183262.0,175,0.9695269490437342
-+,208240.5,243,0.9822831835106434
-+,240713.0,308,0.9953170540281943
-+,282927.0,399,0.9866092463135787
-+,337805.5,518,0.9891384221288095
-+,409147.5,609,0.9789233304873859
-+,501891.5,822,0.9809901395148075
-+,622459.0,1037,0.988786562706993
-+,779197.0,1367,0.9939899477436188
-+,982956.0,1740,0.9904733466286231
-+,1247843.0,2147,0.9935255005498955
-+,1592196.5,2696,0.9950223561378193
-+,2039855.5,3334,0.9962185132021686
-+,2621812.0,4235,0.9976609987891407
-+,3378355.5,5439,0.9975099930182555
-+,4361862.5,6574,0.9983498819345923
-+,5640421.5,8152,0.9988692857994129
-+,7302548.0,10016,0.9989555344356265
-+,9463313.0,8913,0.9987808895598231
--,105000.0,96,1.0499219862039553
--,114750.0,110,1.0623183577250341
--,122425.0,41,1.0357841834203034
--,129152.5,73,1.0951165805348586
--,137898.0,85,1.0608175716661006
--,149267.0,115,1.0700374278452935
--,164047.5,155,1.072911195311168
--,183262.0,184,1.067222448888919
--,208240.5,235,1.0912923654529088
--,240713.0,309,1.0878671144391585
--,282927.0,397,1.056939277207796
--,337805.5,530,1.0511769158417685
--,409147.5,672,1.0424154125976515
--,501891.5,859,1.0382440551518688
--,622459.0,1075,1.0187004402985231
--,779197.0,1379,1.0245119354218106
--,982956.0,1765,1.010875241314157
--,1247843.0,2304,1.0050590902188186
--,1592196.5,2818,1.0010346040662845
--,2039855.5,3700,0.9987806819790759
--,2621812.0,4617,0.9989096315185116
--,3378355.5,5738,0.9985139951132809
--,4361862.5,6923,0.9989381307302888
--,5640421.5,8529,0.9989538189330003
--,7302548.0,10505,0.9988966239516887
--,9463313.0,9798,0.9990995890684009
