orientation,dist,n,peak_score
++,105000.0,1351,1.0903855309233463
++,114750.0,1248,1.100299625005627
++,122425.0,818,1.1042504646594882
++,129152.5,1025,1.1109729951437988
++,137898.0,1250,1.0939080690259604
++,149267.0,1661,1.108328173783435
++,164047.5,2206,1.1071437758115816
++,183262.0,2797,1.1078633592941172
++,208240.5,3664,1.115426248960998
++,240713.0,4736,1.1006342573531016
++,282927.0,6164,1.0952072100295291
++,337805.5,7903,1.0881290701158597
++,409147.5,10180,1.0829028329855777
++,501891.5,12936,1.0689852360357053
++,622459.0,16542,1.055633109546574
++,779197.0,21006,1.0433047736821255
++,982956.0,26709,1.0329695103536456
++,1247843.0,33824,1.019277564365221
++,1592196.5,42618,1.0056386478738253
++,2039855.5,53845,0.9973484535976795
++,2621812.0,67536,0.9919409142420521
++,3378355.5,85944,0.9894294407872628
++,4361862.5,106390,0.989677595272812
++,5640421.5,135807,0.9882270122829219
++,7302548.0,173590,0.9892755372971904
++,9463313.0,158405,0.987765829378723
+-,105000.0,1313,1.2217129478428856
+-,114750.0,1242,1.2301132004626814
+-,122425.0,797,1.25994602980073
+-,129152.5,979,1.2557529904191735
+-,137898.0,1331,1.2627643493909064
+-,149267.0,1738,1.2805773232908242
+-,164047.5,2241,1.2703808448955762
+-,183262.0,2824,1.2746115763059918
+-,208240.5,3687,1.2572542362615562
+-,240713.0,4814,1.2536488603982494
+-,282927.0,6196,1.2377828100881487
+-,337805.5,7865,1.2372211702820097
+-,409147.5,10259,1.2190432209916882
+-,501891.5,13109,1.1913346006513812
+-,622459.0,16466,1.1755624243978398
+-,779197.0,21048,1.1473470746087164
+-,982956.0,27133,1.1174295687726077
+-,1247843.0,34497,1.081275352200425
+-,1592196.5,43655,1.0498488559116408
+-,2039855.5,55298,1.0207428557175988
+-,2621812.0,69686,1.0097077110096067
+-,3378355.5,87999,0.9954636847399709
+-,4361862.5,109387,0.9901175664188525
+-,5640421.5,138255,0.988673113644442
+-,7302548.0,176240,0.9869647390695259
+-,9463313.0,162752,0.9871202951865721
-+,105000.0,1456,0.9864764623273992
-+,114750.0,1344,0.9936000390697604
-+,122425.0,859,1.0124354155045148
-+,129152.5,1095,1.0068354123954906
-+,137898.0,1432,1.0098740991212138
-+,149267.0,1931,0.9994993018016202
-+,164047.5,2405,1.0130292793761166
-+,183262.0,3069,1.0034343322877626
-+,208240.5,3958,1.0055153875106966
-+,240713.0,5161,1.0102254194225915
-+,282927.0,6636,0.9989055791262759
-+,337805.5,8323,0.9953918918235086
-+,409147.5,10478,0.9901915066209311
-+,501891.5,13470,0.9936312351636464
-+,622459.0,17043,0.9870062064929649
-+,779197.0,21665,0.9840415728756877
-+,982956.0,27540,0.9827236477901616
-+,1247843.0,34544,0.9830926383644841
-+,1592196.5,43628,0.9819548239441453
-+,2039855.5,55437,0.9841682401611646
-+,2621812.0,69980,0.9840116505795857
-+,3378355.5,88205,0.9842812208147129
-+,4361862.5,109280,0.985173832024825
-+,5640421.5,140002,0.9870094141712539
-+,7302548.0,176930,0.987014065851112
-+,9463313.0,162473,0.9867486234913632
--,105000.0,1469,1.0976957537988148
--,114750.0,1288,1.1110486622500344
--,122425.0,794,1.1034154181424602
--,129152.5,1090,1.113867557002889
--,137898.0,1383,1.1121490123644897
--,149267.0,1778,1.1174526886164273
--,164047.5,2369,1.113490572914348
--,183262.0,3057,1.12376416306196
--,208240.5,3891,1.1200487703785202
--,240713.0,4990,1.1140451706488923
--,282927.0,6401,1.1064498813592545
--,337805.5,8308,1.0921551241336271
--,409147.5,10506,1.084275754248511
--,501891.5,13440,1.0721971573490154
--,622459.0,17220,1.0555786573794896
--,779197.0,21663,1.0431526811768408
--,982956.0,27490,1.0288176715827695
--,1247843.0,35066,1.0150876784823015
--,1592196.5,44358,1.0053071292881877
--,2039855.5,56725,0.9950995343075789
--,2621812.0,71782,0.9907065271759549
--,3378355.5,90327,0.9886397597672396
--,4361862.5,112001,0.9867482130711018
--,5640421.5,142233,0.9871174188209777
--,7302548.0,180811,0.9868836756830874
--,9463313.0,167300,0.9873926185091625
