orientation,dist,n,peak_score
++,105000.0,77,1.060883617750659
++,114750.0,61,1.0309030085605668
++,122425.0,46,1.0729946146185327
++,129152.5,47,1.0599031028314414
++,137898.0,75,1.0527574247255145
++,149267.0,81,1.1057508718932385
++,164047.5,127,1.09201921624006
++,183262.0,160,1.1119051132190776
++,208240.5,197,1.1056749325094786
++,240713.0,290,1.0713274255457441
++,282927.0,330,1.0564047014889093
++,337805.5,396,1.0548473748392355
++,409147.5,569,1.0392732505797775
++,501891.5,765,1.05174941661993
++,622459.0,886,1.0281890849831337
++,779197.0,1115,1.0152147445197546
++,982956.0,1370,1.0138374112470039
++,1247843.0,1844,1.0047322451849066
++,1592196.5,2324,0.9999393712242692
++,2039855.5,2784,0.9977467813573424
++,2621812.0,3667,0.9990844457459482
++,3378355.5,4725,0.9978537930322681
++,4361862.5,5557,0.9985719048259998
++,5640421.5,6789,0.999209933017232
++,7302548.0,8427,0.9989334968329233
++,9463313.0,7281,0.9988044102764219
+-,105000.0,74,1.1622221696755841
+-,114750.0,53,1.138581849171736
+-,122425.0,40,1.1855263601823698
+-,129152.5,58,1.3061105920663056
+-,137898.0,70,1.2539040366206031
+-,149267.0,81,1.3017967754337105
+-,164047.5,119,1.2519339491451809
+-,183262.0,150,1.2487311608763418
+-,208240.5,188,1.223538551143576
+-,240713.0,257,1.197452216472275
+-,282927.0,346,1.166283773234047
+-,337805.5,429,1.1817190010527845
+-,409147.5,556,1.1468317266535364
+-,501891.5,688,1.1419059798430957
+-,622459.0,851,1.0851920985843044
+-,779197.0,1048,1.069167462203474
+-,982956.0,1416,1.0455462774197144
+-,1247843.0,1790,1.0256404269475112
+-,1592196.5,2193,1.0111126562108692
+-,2039855.5,2930,1.0053242126920916
+-,2621812.0,3703,1.0003648141452746
+-,3378355.5,4578,0.9992668107214371
+-,4361862.5,5510,0.9988856520439154
+-,5640421.5,6895,0.9986539298517183
+-,7302548.0,8127,0.9992681105109316
+-,9463313.0,7188,0.9992585706369495
-+,105000.0,75,0.9596173039969697
-+,114750.0,79,0.9874507549166026
-+,122425.0,44,0.9833678955371024
-+,129152.5,56,1.0164708079094633
-+,137898.0,75,0.9685841309735885
-+,149267.0,105,0.9664604052801149
-+,164047.5,131,0.9663834669105074
-+,183262.0,150,0.9813480269833278
-+,208240.5,205,0.987463272983486
-+,240713.0,274,0.9887525017863327
-+,282927.0,365,1.0035826587655705
-+,337805.5,431,0.9865987351818241
-+,409147.5,567,0.9866137620128537
-+,501891.5,725,0.9871384976327601
-+,622459.0,897,0.9920781444812339
-+,779197.0,1233,0.9956253608135459
-+,982956.0,1533,0.9921053314893962
-+,1247843.0,1887,0.9947387257472486
-+,1592196.5,2339,0.9962634145628132
-+,2039855.5,2879,0.9972012335396174
-+,2621812.0,3693,0.9985141587999442
-+,3378355.5,4885,0.9975612707411244
-+,4361862.5,5753,0.9983264901653047
-+,5640421.5,7021,0.9987957433448859
-+,7302548.0,8553,0.9991829615862307
-+,9463313.0,7573,0.998604417024958
--,105000.0,80,1.0702342335226436
--,114750.0,88,1.0573470649839707
--,122425.0,39,1.0449271035601768
--,129152.5,50,1.0666242934124432
--,137898.0,67,1.0525785307635904
--,149267.0,90,1.0693313297739755
--,164047.5,119,1.0889769387756751
--,183262.0,136,1.079527683054053
--,208240.5,201,1.0704499665192386
--,240713.0,261,1.1059172805355937
--,282927.0,329,1.072419737796547
--,337805.5,451,1.0558911286723847
--,409147.5,536,1.0518373930231135
--,501891.5,735,1.041661467076979
--,622459.0,892,1.0207820511904013
--,779197.0,1126,1.0197647336069582
--,982956.0,1410,1.0158617764926794
--,1247843.0,1865,1.0056639474305689
--,1592196.5,2215,1.0006145353339715
--,2039855.5,2939,0.9994186139579293
--,2621812.0,3818,0.9984774684577977
--,3378355.5,4641,0.9982987466115352
--,4361862.5,5719,0.998927139703085
--,5640421.5,6911,0.9986850131062729
--,7302548.0,8356,0.9988844065962599
--,9463313.0,7669,0.9988819005634234
