orientation,dist,n,peak_score
++,105000.0,1,nan
++,114750.0,6,1.0156884933856198
++,122425.0,1,1.0387647386373244
++,129152.5,6,0.9735605964269702
++,137898.0,3,0.9374960804633893
++,149267.0,1,0.8615137585396248
++,164047.5,3,0.9766639717450238
++,183262.0,5,0.9421812384005759
++,208240.5,7,1.101932399799803
++,240713.0,5,1.0276071386116166
++,282927.0,10,1.0043025617627976
++,337805.5,9,1.017543187199126
++,409147.5,17,0.9915992521099264
++,501891.5,28,1.0048518282436256
++,622459.0,33,1.0002446274375385
++,779197.0,30,0.9914640704524957
++,982956.0,42,0.993740981594901
++,1247843.0,57,0.9951848539689159
++,1592196.5,56,0.9946315340065343
++,2039855.5,71,0.9988574843067327
++,2621812.0,90,0.997134221597886
++,3378355.5,111,1.0021679564664128
++,4361862.5,142,1.0023841310138495
++,5640421.5,160,0.99864105480136
++,7302548.0,185,0.9990391811407494
++,9463313.0,158,1.0009277147931563
+-,105000.0,4,0.8773331989366944
+-,114750.0,2,0.9161653245780863
+-,129152.5,2,0.9115131871707272
+-,137898.0,3,1.072759523121793
+-,149267.0,7,0.8871944995849751
+-,164047.5,1,0.9215132457120558
+-,183262.0,7,1.120624167952351
+-,208240.5,8,1.0520242381646006
+-,240713.0,5,0.9446946147903632
+-,282927.0,9,0.974735030900411
+-,337805.5,18,0.9776621293443923
+-,409147.5,22,1.0162432758518003
+-,501891.5,20,0.9878079054655776
+-,622459.0,24,0.9997430363761536
+-,779197.0,33,1.0058932404964507
+-,982956.0,38,1.0201572838593718
+-,1247843.0,59,1.0002002079856849
+-,1592196.5,51,0.9957677153456059
+-,2039855.5,73,1.000365083429822
+-,2621812.0,112,1.0048315786301134
+-,3378355.5,98,0.9992316540413151
+-,4361862.5,131,1.0039903432305473
+-,5640421.5,145,1.0007716351587141
+-,7302548.0,200,1.0015812235992998
+-,9463313.0,174,0.9990342936039616
-+,105000.0,3,0.869835659813045
-+,114750.0,1,1.0064060066220843
-+,122425.0,2,0.966721249732367
-+,129152.5,6,0.8926224372667559
-+,137898.0,3,0.8806686978444392
-+,149267.0,3,1.1614294981493056
-+,164047.5,4,0.9687340108869544
-+,183262.0,2,0.894755194802967
-+,208240.5,11,1.209033406560025
-+,240713.0,7,1.0464563291978666
-+,282927.0,15,1.0240476927493027
-+,337805.5,16,0.9801554082864358
-+,409147.5,17,0.9799495798344888
-+,501891.5,22,0.9697021130396564
-+,622459.0,46,0.9878864371602601
-+,779197.0,54,0.9948324746970968
-+,982956.0,45,0.9877345768591674
-+,1247843.0,74,1.0010917365072616
-+,1592196.5,58,0.9883993376169732
-+,2039855.5,75,1.0044406256836946
-+,2621812.0,82,1.0013153566138147
-+,3378355.5,140,0.9983654278056869
-+,4361862.5,142,0.9994475935373346
-+,5640421.5,188,0.9982610368275147
-+,7302548.0,193,0.99815885724701
-+,9463313.0,156,0.9995358911530079
--,105000.0,6,1.0284017350770027
--,114750.0,3,0.9770110255035375
--,122425.0,4,0.9138479251730155
--,129152.5,4,1.348876959002827
--,137898.0,5,0.9934359588198498
--,149267.0,8,1.0412025212038751
--,164047.5,6,0.9494478850351766
--,183262.0,7,0.9836151194302513
--,208240.5,7,0.9963095895640024
--,240713.0,19,0.9676178720354566
--,282927.0,19,1.0479102381009446
--,337805.5,15,0.9985126209048981
--,409147.5,16,1.016373869050942
--,501891.5,17,1.0003774103089786
--,622459.0,32,0.9915788715591352
--,779197.0,32,0.998507945987959
--,982956.0,37,1.0008692214420507
--,1247843.0,50,0.9936199226679393
--,1592196.5,63,0.9913407517588819
--,2039855.5,84,1.001860807263307
--,2621812.0,109,1.0037508301682998
--,3378355.5,161,0.999446250042826
--,4361862.5,159,1.002534746981559
--,5640421.5,181,0.9980708166327817
--,7302548.0,232,1.0011303291344678
--,9463313.0,183,0.9984443860900999
