orientation,dist,peak_score
++,102250.0,0.9991460492618749
++,107425.0,0.999694992450468
++,114152.5,0.9998623529887424
++,122898.0,1.0000293412804389
++,134267.0,1.0001392559384887
++,149047.5,1.000235544229582
++,168262.0,1.0002482562787605
++,193240.5,1.0001917888543017
++,225713.0,1.0001875702272065
++,267927.0,1.0001805983211183
++,322805.5,1.0001711950465877
++,394147.5,1.0001106587117496
++,486891.5,1.0000631337242896
++,607459.0,1.0000247117883958
++,764197.0,1.0000111950396688
++,967956.0,1.0000040836958712
++,1232843.0,0.9999992385524947
++,1577196.5,0.999998000735149
++,2024855.5,0.9999982792795687
++,2606812.0,0.9999985257973043
++,3363355.5,0.9999981087949769
++,4346862.5,0.999998663824742
++,5625421.5,0.9999984895904582
++,7287548.0,0.9999986222323688
++,9448313.0,0.9999988499955974
+-,102250.0,1.0001443693791927
+-,107425.0,1.0005251194070313
+-,114152.5,1.0010050719540302
+-,122898.0,1.0009836219101254
+-,134267.0,1.0009586555442962
+-,149047.5,1.0009148475651575
+-,168262.0,1.001023335978804
+-,193240.5,1.000705448855013
+-,225713.0,1.0006684026845147
+-,267927.0,1.0005740335416564
+-,322805.5,1.0004153363365735
+-,394147.5,1.000259984806476
+-,486891.5,1.0001514141201167
+-,607459.0,1.0001029380414688
+-,764197.0,1.0000540778481302
+-,967956.0,1.000024070437052
+-,1232843.0,1.0000123063093753
+-,1577196.5,1.0000039138000478
+-,2024855.5,1.0000000190739884
+-,2606812.0,0.9999996379332536
+-,3363355.5,0.9999980897597343
+-,4346862.5,0.999998440590087
+-,5625421.5,0.9999984725758717
+-,7287548.0,0.9999985391976887
+-,9448313.0,0.9999987247634707
-+,102250.0,0.9985389176139086
-+,107425.0,0.9990180495467806
-+,114152.5,0.9992337638563178
-+,122898.0,0.9995629750443966
-+,134267.0,0.9996350416646664
-+,149047.5,0.9997425472507213
-+,168262.0,0.9998015921211305
-+,193240.5,0.9999216152557848
-+,225713.0,0.9999402110121657
-+,267927.0,0.9999543152208925
-+,322805.5,1.0000049713087809
-+,394147.5,0.9999790021360152
-+,486891.5,0.999992025247343
-+,607459.0,0.9999862937084165
-+,764197.0,0.9999894463063167
-+,967956.0,0.9999907535962446
-+,1232843.0,0.9999951055745828
-+,1577196.5,0.9999966956870201
-+,2024855.5,0.9999971687796585
-+,2606812.0,0.9999972592359233
-+,3363355.5,0.9999979414764404
-+,4346862.5,0.9999983345702383
-+,5625421.5,0.999998497825937
-+,7287548.0,0.9999986401197258
-+,9448313.0,0.9999990790915682
--,102250.0,0.9992272874125356
--,107425.0,0.9996217340923849
--,114152.5,0.999932350061532
--,122898.0,0.9998610219950974
--,134267.0,1.0003097356556405
--,149047.5,1.0001424502090017
--,168262.0,1.0002427846390214
--,193240.5,1.0002685545645116
--,225713.0,1.0002673716008437
--,267927.0,1.000166926880481
--,322805.5,1.0001668977781903
--,394147.5,1.0000765152593585
--,486891.5,1.0000550673375934
--,607459.0,1.0000279034274933
--,764197.0,1.0000148712079717
--,967956.0,1.0000037134800779
--,1232843.0,1.0000003366591534
--,1577196.5,0.9999992990911158
--,2024855.5,0.9999988493601635
--,2606812.0,0.9999978690528541
--,3363355.5,0.9999983190819857
--,4346862.5,0.9999984048261742
--,5625421.5,0.9999988708248204
--,7287548.0,0.9999986240117701
--,9448313.0,0.9999989718465667
