orientation,dist,n,peak_score
++,105000.0,1351,1.0804073287921576
++,114750.0,1248,1.0921498967933716
++,122425.0,818,1.099537933575865
++,129152.5,1025,1.1022213878012166
++,137898.0,1250,1.0939963024178017
++,149267.0,1661,1.1030847088563835
++,164047.5,2206,1.10834224472062
++,183262.0,2797,1.1070717332425606
++,208240.5,3664,1.1153275890829317
++,240713.0,4736,1.0990841920624623
++,282927.0,6164,1.0952679260398734
++,337805.5,7903,1.0808836759207363
++,409147.5,10180,1.0736066321202664
++,501891.5,12936,1.0565916351077198
++,622459.0,16542,1.0379663010587967
++,779197.0,21006,1.023150175653275
++,982956.0,26709,1.0155295650300131
++,1247843.0,33824,1.0008697730416722
++,1592196.5,42618,0.9952691298429138
++,2039855.5,53845,0.9870283558484052
++,2621812.0,67536,0.9800979401973793
++,3378355.5,85944,0.971930812605164
++,4361862.5,106390,0.9760053748912066
++,5640421.5,135807,0.9814480244193943
++,7302548.0,173590,0.9754765596949301
++,9463313.0,158405,0.9786637299253564
+-,105000.0,1313,1.2269199735852243
+-,114750.0,1242,1.2364758839104197
+-,122425.0,797,1.2596961944394114
+-,129152.5,979,1.2594920878637335
+-,137898.0,1331,1.278850639319853
+-,149267.0,1738,1.2958655734066207
+-,164047.5,2241,1.2812707979331495
+-,183262.0,2824,1.2882263426291798
+-,208240.5,3687,1.2697805945219436
+-,240713.0,4814,1.2622193902864227
+-,282927.0,6196,1.24204938924714
+-,337805.5,7865,1.2389011988284295
+-,409147.5,10259,1.2237322774311117
+-,501891.5,13109,1.1845462514546266
+-,622459.0,16466,1.158312003325976
+-,779197.0,21048,1.1326152290073757
+-,982956.0,27133,1.1017960352083964
+-,1247843.0,34497,1.0639890303416852
+-,1592196.5,43655,1.0319672068692785
+-,2039855.5,55298,1.0074289563526944
+-,2621812.0,69686,0.9885252332789966
+-,3378355.5,87999,0.9811592092694302
+-,4361862.5,109387,0.9791537837810185
+-,5640421.5,138255,0.9783848724617906
+-,7302548.0,176240,0.9730965022169313
+-,9463313.0,162752,0.9718256890101795
-+,105000.0,1456,0.9759170893110508
-+,114750.0,1344,0.9849978503388711
-+,122425.0,859,1.0059181360390976
-+,129152.5,1095,1.0098350194928833
-+,137898.0,1432,1.0071396301672815
-+,149267.0,1931,0.9967829754472992
-+,164047.5,2405,1.0131522033305702
-+,183262.0,3069,1.0013205757784682
-+,208240.5,3958,1.0030090814626695
-+,240713.0,5161,1.0102330322924071
-+,282927.0,6636,0.9979888201742397
-+,337805.5,8323,0.989331468978729
-+,409147.5,10478,0.9832598997758274
-+,501891.5,13470,0.9843803500143524
-+,622459.0,17043,0.9774856746432478
-+,779197.0,21665,0.9736071105313844
-+,982956.0,27540,0.9689076800118922
-+,1247843.0,34544,0.9695914098552799
-+,1592196.5,43628,0.969250908191996
-+,2039855.5,55437,0.9715974866096773
-+,2621812.0,69980,0.9739456412929324
-+,3378355.5,88205,0.9742498604421356
-+,4361862.5,109280,0.9741183913646589
-+,5640421.5,140002,0.9746606651962154
-+,7302548.0,176930,0.9746911395907043
-+,9463313.0,162473,0.9787367522898913
--,105000.0,1469,1.0805897640359783
--,114750.0,1288,1.1066275162221555
--,122425.0,794,1.0891641159184453
--,129152.5,1090,1.109314716558504
--,137898.0,1383,1.1087003648069753
--,149267.0,1778,1.114124917811698
--,164047.5,2369,1.1122251613471708
--,183262.0,3057,1.12007191097138
--,208240.5,3891,1.1206046846518487
--,240713.0,4990,1.1091272171619202
--,282927.0,6401,1.1052564388425277
--,337805.5,8308,1.0806351193131536
--,409147.5,10506,1.0748800920865156
--,501891.5,13440,1.0597744908294178
--,622459.0,17220,1.038465493929421
--,779197.0,21663,1.0286884630607067
--,982956.0,27490,1.0155900278110663
--,1247843.0,35066,0.9990757431461361
--,1592196.5,44358,0.9932447240009754
--,2039855.5,56725,0.9812895389299265
--,2621812.0,71782,0.9755900334213714
--,3378355.5,90327,0.980731413659965
--,4361862.5,112001,0.9795614836167683
--,5640421.5,142233,0.9747168213259865
--,7302548.0,180811,0.9738708389680293
--,9463313.0,167300,0.9717972667413581
