orientation,dist,peak_score
++,102250.0,0.9997675440610263
++,107425.0,1.0001750545881878
++,114152.5,1.0001811207919606
++,122898.0,1.0004213479496642
++,134267.0,1.0004064158835897
++,149047.5,1.0004266959306845
++,168262.0,1.0004767895208033
++,193240.5,1.0004900512452424
++,225713.0,1.000426681606235
++,267927.0,1.0003376455792194
++,322805.5,1.0003063120604547
++,394147.5,1.0002582425296214
++,486891.5,1.0001749404996023
++,607459.0,1.0001010411180489
++,764197.0,1.0000468902625963
++,967956.0,1.000023506641782
++,1232843.0,1.0000081873617532
++,1577196.5,1.0000028113624424
++,2024855.5,0.9999933514253345
++,2606812.0,0.9999942674824551
++,3363355.5,0.9999954111967237
++,4346862.5,0.9999964716012784
++,5625421.5,0.9999960925870114
++,7287548.0,0.9999968723364252
++,9448313.0,0.99999749364327
+-,102250.0,1.0006810392077785
+-,107425.0,1.0009517685818818
+-,114152.5,1.0010068510062462
+-,122898.0,1.0010735693499024
+-,134267.0,1.0011465522875878
+-,149047.5,1.0011094685443824
+-,168262.0,1.0011244532008607
+-,193240.5,1.001047815143073
+-,225713.0,1.0009423797328454
+-,267927.0,1.0008234379869156
+-,322805.5,1.0006674509934161
+-,394147.5,1.0005528684391702
+-,486891.5,1.0003818503201853
+-,607459.0,1.000248092681309
+-,764197.0,1.0001425894559872
+-,967956.0,1.000086025184872
+-,1232843.0,1.0000462565020374
+-,1577196.5,1.0000176634376592
+-,2024855.5,1.0000039879269467
+-,2606812.0,0.9999975820048752
+-,3363355.5,0.9999978428952037
+-,4346862.5,0.9999972674979782
+-,5625421.5,0.9999966626168562
+-,7287548.0,0.9999971047534965
+-,9448313.0,0.9999972374213006
-+,102250.0,0.9992322437670758
-+,107425.0,0.9994810131556948
-+,114152.5,0.9995832968173421
-+,122898.0,0.9998599144611466
-+,134267.0,0.9999158528890246
-+,149047.5,0.9999733369399015
-+,168262.0,1.0000467863617049
-+,193240.5,1.0000506946000591
-+,225713.0,1.0000726032373077
-+,267927.0,1.000057411119788
-+,322805.5,1.0000575516393289
-+,394147.5,1.000048882892864
-+,486891.5,1.0000255439653827
-+,607459.0,1.0000004844224917
-+,764197.0,0.9999872157919211
-+,967956.0,0.999980559894509
-+,1232843.0,0.9999845215351542
-+,1577196.5,0.999989769945518
-+,2024855.5,0.9999892892266182
-+,2606812.0,0.9999923146429696
-+,3363355.5,0.9999938861859552
-+,4346862.5,0.9999952691475907
-+,5625421.5,0.9999957238576345
-+,7287548.0,0.9999966534159485
-+,9448313.0,0.99999798763578
--,102250.0,0.9998066864915063
--,107425.0,1.0001161871110158
--,114152.5,1.0002255311220765
--,122898.0,1.0002745099267747
--,134267.0,1.0004844052140194
--,149047.5,1.000525292349762
--,168262.0,1.0005429975915456
--,193240.5,1.0005309603310149
--,225713.0,1.000433012855203
--,267927.0,1.0003854845197555
--,322805.5,1.0003101971595771
--,394147.5,1.0002630189329036
--,486891.5,1.0001839702897615
--,607459.0,1.0000977037146077
--,764197.0,1.0000606190640706
--,967956.0,1.0000246059461928
--,1232843.0,1.000008688674561
--,1577196.5,0.9999992599452043
--,2024855.5,0.9999951855265607
--,2606812.0,0.9999949838763991
--,3363355.5,0.9999958025301832
--,4346862.5,0.999995999124032
--,5625421.5,0.9999963961008869
--,7287548.0,0.9999970660539661
--,9448313.0,0.9999974849275516
