orientation,dist,n,peak_score
++,105000.0,1351,1.1067148710058228
++,114750.0,1248,1.1116895341239004
++,122425.0,818,1.1127262963432423
++,129152.5,1025,1.1055335903057868
++,137898.0,1250,1.099863585896484
++,149267.0,1661,1.11581268286724
++,164047.5,2206,1.0993456786237357
++,183262.0,2797,1.111528400485368
++,208240.5,3664,1.1167193193482186
++,240713.0,4736,1.108976167487786
++,282927.0,6164,1.1067116306921558
++,337805.5,7903,1.0936116664632514
++,409147.5,10180,1.084628994847141
++,501891.5,12936,1.0825186063622165
++,622459.0,16542,1.0578993167869524
++,779197.0,21006,1.0501767467140106
++,982956.0,26709,1.038861007732345
++,1247843.0,33824,1.0201561229368659
++,1592196.5,42618,1.0085472337806418
++,2039855.5,53845,0.9915378761474194
++,2621812.0,67536,0.9849110318944142
++,3378355.5,85944,0.9803631284196948
++,4361862.5,106390,0.9716981150327347
++,5640421.5,135807,0.9673848196939792
++,7302548.0,173590,0.9705056200165394
++,9463313.0,158405,0.9679526744969413
+-,105000.0,1313,1.2258395751741442
+-,114750.0,1242,1.2385569756186319
+-,122425.0,797,1.2665749780605635
+-,129152.5,979,1.2685782179907488
+-,137898.0,1331,1.2762088042490662
+-,149267.0,1738,1.284938320934021
+-,164047.5,2241,1.262697961260149
+-,183262.0,2824,1.2865633502386518
+-,208240.5,3687,1.2662002831903452
+-,240713.0,4814,1.2635132797465456
+-,282927.0,6196,1.2520475656239416
+-,337805.5,7865,1.2536359375135688
+-,409147.5,10259,1.235870993559284
+-,501891.5,13109,1.2004130101561992
+-,622459.0,16466,1.1928128227812882
+-,779197.0,21048,1.1668904209180262
+-,982956.0,27133,1.140614997439282
+-,1247843.0,34497,1.120698587730622
+-,1592196.5,43655,1.080048075187563
+-,2039855.5,55298,1.051528408027157
+-,2621812.0,69686,1.0214052870271175
+-,3378355.5,87999,1.006927677072218
+-,4361862.5,109387,0.9853980326820015
+-,5640421.5,138255,0.9745834832929932
+-,7302548.0,176240,0.9671396933142423
+-,9463313.0,162752,0.962996491509665
-+,105000.0,1456,0.98665400881781
-+,114750.0,1344,0.9737263091369073
-+,122425.0,859,0.9931911765949637
-+,129152.5,1095,1.0002333687708649
-+,137898.0,1432,1.0004173598570167
-+,149267.0,1931,1.0027112305920192
-+,164047.5,2405,1.0056913171548798
-+,183262.0,3069,0.9930530253880095
-+,208240.5,3958,1.0009621929850938
-+,240713.0,5161,1.0048146515671648
-+,282927.0,6636,0.9928384516920121
-+,337805.5,8323,0.9926366187327229
-+,409147.5,10478,0.9894511968455806
-+,501891.5,13470,0.9851563282674299
-+,622459.0,17043,0.975666161168132
-+,779197.0,21665,0.9759853285247684
-+,982956.0,27540,0.9707509872484312
-+,1247843.0,34544,0.9619592592219983
-+,1592196.5,43628,0.9631591454905527
-+,2039855.5,55437,0.9563305085897916
-+,2621812.0,69980,0.9609576950404312
-+,3378355.5,88205,0.9601650423457704
-+,4361862.5,109280,0.956678589746583
-+,5640421.5,140002,0.9615264728894917
-+,7302548.0,176930,0.9657175361279593
-+,9463313.0,162473,0.9739937122279537
--,105000.0,1469,1.0941960711775118
--,114750.0,1288,1.1224795480655565
--,122425.0,794,1.117721356960269
--,129152.5,1090,1.116348677688317
--,137898.0,1383,1.1180227247452683
--,149267.0,1778,1.1324367423390893
--,164047.5,2369,1.1146986989479502
--,183262.0,3057,1.1196183378838636
--,208240.5,3891,1.1244880679555385
--,240713.0,4990,1.1146916212545925
--,282927.0,6401,1.118465324610139
--,337805.5,8308,1.10139179275704
--,409147.5,10506,1.0930902972750172
--,501891.5,13440,1.0840839788677794
--,622459.0,17220,1.0620433783789887
--,779197.0,21663,1.049102159421355
--,982956.0,27490,1.0369570614526145
--,1247843.0,35066,1.0245887772433198
--,1592196.5,44358,1.0040201160973445
--,2039855.5,56725,0.9971454311935736
--,2621812.0,71782,0.9822313544105195
--,3378355.5,90327,0.9746550628127941
--,4361862.5,112001,0.9719001434156056
--,5640421.5,142233,0.9572831640035039
--,7302548.0,180811,0.9655835702525476
--,9463313.0,167300,0.9657235312235739
