orientation,dist,peak_score
++,102250.0,0.9998523567484398
++,107425.0,1.0001083849927952
++,114152.5,1.000215206895842
++,122898.0,1.000432070280828
++,134267.0,1.000421675469878
++,149047.5,1.0003935339481322
++,168262.0,1.0004524520447435
++,193240.5,1.0004387135239128
++,225713.0,1.0003962141013871
++,267927.0,1.0003482768656566
++,322805.5,1.0003044198992939
++,394147.5,1.0002487290913902
++,486891.5,1.0001760262217052
++,607459.0,1.0000990362621536
++,764197.0,1.0000561126727487
++,967956.0,1.000025321025043
++,1232843.0,1.0000074062400846
++,1577196.5,1.00000158653836
++,2024855.5,0.9999933995658354
++,2606812.0,0.9999950734829052
++,3363355.5,0.999994782267539
++,4346862.5,0.9999959738018197
++,5625421.5,0.9999964021022363
++,7287548.0,0.9999973439649382
++,9448313.0,0.9999974192413045
+-,102250.0,1.000742313785532
+-,107425.0,1.0009024957514279
+-,114152.5,1.0010092674222841
+-,122898.0,1.0011066519450864
+-,134267.0,1.0011166433067185
+-,149047.5,1.0010770534647202
+-,168262.0,1.0010603769301214
+-,193240.5,1.000970105493898
+-,225713.0,1.0008997724010378
+-,267927.0,1.0007892408916026
+-,322805.5,1.0006568223117682
+-,394147.5,1.0005439654690664
+-,486891.5,1.0003675901868139
+-,607459.0,1.000237726231914
+-,764197.0,1.0001546583872436
+-,967956.0,1.0000827846045641
+-,1232843.0,1.0000424959612777
+-,1577196.5,1.0000180023622138
+-,2024855.5,1.0000035390131232
+-,2606812.0,0.9999986355813947
+-,3363355.5,0.9999973685267862
+-,4346862.5,0.9999970738004101
+-,5625421.5,0.9999968656490121
+-,7287548.0,0.9999968891125948
+-,9448313.0,0.9999974082574179
-+,102250.0,0.9991856242907394
-+,107425.0,0.9994471376888127
-+,114152.5,0.9995959958128405
-+,122898.0,0.9998263151079445
-+,134267.0,0.9998999206251029
-+,149047.5,0.9999429031987968
-+,168262.0,1.0000209429046756
-+,193240.5,1.0000240092395722
-+,225713.0,1.0000507163970547
-+,267927.0,1.0000608770021155
-+,322805.5,1.0000525558085251
-+,394147.5,1.0000410954251675
-+,486891.5,1.0000235320693047
-+,607459.0,1.0000021783424418
-+,764197.0,0.9999922341425949
-+,967956.0,0.9999828492241525
-+,1232843.0,0.9999845125710135
-+,1577196.5,0.9999882838701353
-+,2024855.5,0.9999893688610173
-+,2606812.0,0.9999925588000608
-+,3363355.5,0.9999934892797087
-+,4346862.5,0.9999950907731723
-+,5625421.5,0.9999961249829596
-+,7287548.0,0.999996857424278
-+,9448313.0,0.9999978778376273
--,102250.0,0.9999356523110783
--,107425.0,1.0000878622993286
--,114152.5,1.000235268890707
--,122898.0,1.0002936104125455
--,134267.0,1.000475594060627
--,149047.5,1.0004763646318782
--,168262.0,1.000509477663364
--,193240.5,1.0004621313600843
--,225713.0,1.0004223414663234
--,267927.0,1.0003882367606054
--,322805.5,1.0003026086261928
--,394147.5,1.0002497080820356
--,486891.5,1.0001666584306919
--,607459.0,1.0000939641496691
--,764197.0,1.0000648115618778
--,967956.0,1.0000229770861957
--,1232843.0,1.0000085902732194
--,1577196.5,0.9999993858805801
--,2024855.5,0.9999953351822269
--,2606812.0,0.9999951220639716
--,3363355.5,0.9999951028116869
--,4346862.5,0.9999957368347885
--,5625421.5,0.9999967919228909
--,7287548.0,0.9999970132672336
--,9448313.0,0.9999976871594725
