orientation,dist,peak_score
++,97500.0,1.040686563021776
++,108750.0,1.0640657767745059
++,118125.0,1.1132166539403205
++,132187.5,1.0796364695397405
++,153281.0,1.1043551296314125
++,184921.5,1.1402331542361528
++,232382.5,1.151417570048852
++,303574.0,1.1597609097112773
++,410361.0,1.1643602175802328
++,570541.5,1.155459796056712
++,810812.5,1.1372211667602674
++,1171219.0,1.103793064147366
++,1711829.0,1.0838725075387854
++,2522743.5,1.0372452257065095
++,3739115.0,1.005058694888447
++,5563673.0,0.9989069095098418
++,8300510.0,0.9962006261997927
++,12405765.0,0.9928747756514718
+-,97500.0,1.076523503742848
+-,108750.0,1.1272925939606786
+-,118125.0,1.142502551498231
+-,132187.5,1.1451821786389371
+-,153281.0,1.1471701464748536
+-,184921.5,1.167685054652708
+-,232382.5,1.2250137601713353
+-,303574.0,1.2242834416687147
+-,410361.0,1.2256062860966892
+-,570541.5,1.2320366877510889
+-,810812.5,1.1974220930765647
+-,1171219.0,1.1773062606335483
+-,1711829.0,1.1411651749040794
+-,2522743.5,1.080453038166957
+-,3739115.0,1.0294532359949622
+-,5563673.0,1.0065552349499127
+-,8300510.0,0.9970282962561201
+-,12405765.0,0.9948856116840513
-+,97500.0,1.017488533107403
-+,108750.0,1.0232864920136566
-+,118125.0,1.0217094982401225
-+,132187.5,1.0554165532779007
-+,153281.0,1.0475895922915432
-+,184921.5,1.0971954174102203
-+,232382.5,1.1109171267277667
-+,303574.0,1.0979036151264234
-+,410361.0,1.0992914543736356
-+,570541.5,1.108486444066824
-+,810812.5,1.072995578037453
-+,1171219.0,1.0542257166278817
-+,1711829.0,1.028886726628608
-+,2522743.5,1.003369223116975
-+,3739115.0,0.9895541192346073
-+,5563673.0,0.9919049654468685
-+,8300510.0,0.9945878258854366
-+,12405765.0,0.9952932962896012
--,97500.0,1.0484497190066828
--,108750.0,1.0908051822898315
--,118125.0,1.0978996078502161
--,132187.5,1.1140478500620452
--,153281.0,1.0957795751459263
--,184921.5,1.131106136565271
--,232382.5,1.1538541242326694
--,303574.0,1.159911773950137
--,410361.0,1.1594006266799166
--,570541.5,1.1692659122482927
--,810812.5,1.1479016641670445
--,1171219.0,1.1181933194394789
--,1711829.0,1.0818838945336047
--,2522743.5,1.0361759744257242
--,3739115.0,1.0060091877864878
--,5563673.0,0.9994288760471564
--,8300510.0,0.9952862582362774
--,12405765.0,0.9922721185895689
