orientation,dist,n,peak_score
++,105000.0,896,1.0034915442059154
++,114750.0,836,1.0206366192930203
++,122425.0,558,1.0051890117107491
++,129152.5,662,1.0247545966636213
++,137898.0,825,1.0487431175979196
++,149267.0,1097,1.0464545915768286
++,164047.5,1451,1.0529425113815403
++,183262.0,1843,1.062981965854856
++,208240.5,2455,1.0795117105098853
++,240713.0,3201,1.0690725205997336
++,282927.0,4126,1.080412128921722
++,337805.5,5249,1.0910160878016837
++,409147.5,6759,1.0902128941475815
++,501891.5,8697,1.0869400362773185
++,622459.0,11126,1.0884749971175813
++,779197.0,14201,1.0852078655925457
++,982956.0,17997,1.0733521325696105
++,1247843.0,22827,1.063268361961089
++,1592196.5,28856,1.048610125646411
++,2039855.5,36338,1.032803387905309
++,2621812.0,45477,1.0158122947467148
++,3378355.5,57658,1.0053953344159976
++,4361862.5,71278,0.9991775340578629
++,5640421.5,90610,0.9970817588415655
++,7302548.0,115855,0.9971842958215225
++,9463313.0,104775,0.9971505898135703
+-,105000.0,878,1.0183277010283152
+-,114750.0,829,1.047426075974392
+-,122425.0,548,1.0455528388838762
+-,129152.5,654,1.0777501763708324
+-,137898.0,897,1.076433376532706
+-,149267.0,1175,1.0995375676531733
+-,164047.5,1536,1.1067773549608533
+-,183262.0,1925,1.1275616188236033
+-,208240.5,2495,1.135968158290889
+-,240713.0,3199,1.1355117570909505
+-,282927.0,4199,1.1474388859124467
+-,337805.5,5328,1.1549936514995742
+-,409147.5,6997,1.17293746647885
+-,501891.5,8871,1.1669648228155745
+-,622459.0,11093,1.1639611506717236
+-,779197.0,14272,1.1573107652412877
+-,982956.0,18372,1.1522797785689651
+-,1247843.0,23439,1.1380792632855843
+-,1592196.5,29599,1.1156100063420296
+-,2039855.5,37562,1.0877109165617638
+-,2621812.0,47217,1.0564286589431704
+-,3378355.5,59287,1.0299279960761338
+-,4361862.5,73555,1.0111926140371854
+-,5640421.5,92665,1.0027782057111383
+-,7302548.0,118064,0.9983824988754136
+-,9463313.0,108486,0.9976703654369363
-+,105000.0,985,0.9710565355428611
-+,114750.0,881,0.9709676644276011
-+,122425.0,593,1.0002918224330661
-+,129152.5,726,1.024561040708037
-+,137898.0,962,0.9970720398537032
-+,149267.0,1303,1.0203452980433474
-+,164047.5,1614,1.0232431857280282
-+,183262.0,2062,1.0188661124959468
-+,208240.5,2681,1.0304459160514752
-+,240713.0,3492,1.0413608535586933
-+,282927.0,4563,1.0337158999870388
-+,337805.5,5672,1.0350548144731915
-+,409147.5,7076,1.0322894348656222
-+,501891.5,9127,1.029160263065608
-+,622459.0,11469,1.0287765039757577
-+,779197.0,14609,1.0186906456276819
-+,982956.0,18605,1.0093299719953335
-+,1247843.0,23375,1.0042079968186859
-+,1592196.5,29618,0.9932508768045346
-+,2039855.5,37323,0.9900140392623832
-+,2621812.0,47492,0.9887610674333046
-+,3378355.5,59944,0.990105184193617
-+,4361862.5,74041,0.9914251578107975
-+,5640421.5,94084,0.9940208721273458
-+,7302548.0,118418,0.9957571062338317
-+,9463313.0,107584,0.9973390874608571
--,105000.0,1000,1.005182730046235
--,114750.0,872,1.0271719819627492
--,122425.0,536,1.0193941562493483
--,129152.5,731,1.0392413104072522
--,137898.0,933,1.040138405229925
--,149267.0,1211,1.0665302678239965
--,164047.5,1621,1.069887868910686
--,183262.0,2075,1.075963430775873
--,208240.5,2658,1.0882269986127109
--,240713.0,3400,1.0867613376651115
--,282927.0,4371,1.1011684339884606
--,337805.5,5716,1.0936605677861193
--,409147.5,7101,1.101708786591694
--,501891.5,9104,1.1049235271614737
--,622459.0,11752,1.0944462503975072
--,779197.0,14728,1.0869661286620667
--,982956.0,18727,1.076768626669167
--,1247843.0,23818,1.069524451193723
--,1592196.5,30165,1.0460493734436804
--,2039855.5,38598,1.0341969867803493
--,2621812.0,49149,1.0154659569286766
--,3378355.5,61473,1.0071135952653412
--,4361862.5,75903,0.9986866969209972
--,5640421.5,95511,0.997057618372241
--,7302548.0,121415,0.9962589052293223
--,9463313.0,111311,0.9971442775084105
