orientation,dist,n,peak_score
++,105000.0,806,1.0020036197777906
++,114750.0,731,1.0127806576823646
++,122425.0,460,1.0080052721285233
++,129152.5,622,1.0230340553090902
++,137898.0,724,1.033023038232888
++,149267.0,1022,1.0429585896145204
++,164047.5,1268,1.0523172236913827
++,183262.0,1694,1.0747368289838184
++,208240.5,2224,1.0796476792844552
++,240713.0,2905,1.075813424165271
++,282927.0,3674,1.0877388852231473
++,337805.5,4610,1.0878605883227757
++,409147.5,5977,1.0972255301480827
++,501891.5,7649,1.0819843756751584
++,622459.0,9668,1.0849252102486613
++,779197.0,12403,1.0822189153440167
++,982956.0,15660,1.0709082587389964
++,1247843.0,19966,1.0598376949746109
++,1592196.5,25416,1.0479786904443231
++,2039855.5,32062,1.03093534791985
++,2621812.0,39749,1.0145504658927624
++,3378355.5,50605,1.0039709415876223
++,4361862.5,61540,0.9992904289664002
++,5640421.5,78868,0.9970707291674208
++,7302548.0,99420,0.9971159013494509
++,9463313.0,88949,0.9972582239187162
+-,105000.0,780,1.0128358637753536
+-,114750.0,731,1.0299831623701556
+-,122425.0,473,1.0526435467968212
+-,129152.5,607,1.0812650989068955
+-,137898.0,781,1.0506109037811857
+-,149267.0,1023,1.1032690269855998
+-,164047.5,1309,1.098550388328637
+-,183262.0,1668,1.1135236737964047
+-,208240.5,2192,1.1286337162433258
+-,240713.0,2792,1.1434353041414718
+-,282927.0,3596,1.1480004785597915
+-,337805.5,4622,1.1545935696222351
+-,409147.5,6015,1.1627821501055946
+-,501891.5,7555,1.1611598594388268
+-,622459.0,9598,1.1532522956364522
+-,779197.0,12139,1.1496012565469447
+-,982956.0,15733,1.1414987209286673
+-,1247843.0,20009,1.1276306807919576
+-,1592196.5,25603,1.105351476746369
+-,2039855.5,32573,1.0796923486292727
+-,2621812.0,40450,1.048811536413097
+-,3378355.5,50803,1.024226848177329
+-,4361862.5,62432,1.0074449717790779
+-,5640421.5,79047,1.002047112852003
+-,7302548.0,98904,0.9980406985737955
+-,9463313.0,90778,0.997476278370419
-+,105000.0,810,0.9845265032635631
-+,114750.0,771,0.9847195647070661
-+,122425.0,498,1.0047664000864776
-+,129152.5,631,1.0115755529975
-+,137898.0,841,1.0011697574554523
-+,149267.0,1085,1.0274940650761042
-+,164047.5,1357,1.0275189117552515
-+,183262.0,1795,1.0282744322690323
-+,208240.5,2252,1.038728518387716
-+,240713.0,2947,1.0406042706520136
-+,282927.0,3866,1.0379068077024738
-+,337805.5,4827,1.0480001578318088
-+,409147.5,6062,1.0401961735375571
-+,501891.5,7787,1.0347029992724899
-+,622459.0,9831,1.0343891295350824
-+,779197.0,12490,1.0221880256874785
-+,982956.0,15851,1.0105884322444623
-+,1247843.0,19884,1.0077003152767379
-+,1592196.5,25230,0.9967657543887227
-+,2039855.5,31942,0.9943250945123167
-+,2621812.0,40405,0.9907892277655945
-+,3378355.5,51025,0.9911585327646717
-+,4361862.5,62581,0.9922165865757276
-+,5640421.5,78518,0.9943066179242901
-+,7302548.0,98547,0.9959406314326152
-+,9463313.0,88866,0.996965674875328
--,105000.0,839,1.0150029960009959
--,114750.0,764,1.0359004586318423
--,122425.0,452,1.0250238105270595
--,129152.5,621,1.031425425813488
--,137898.0,778,1.0474847043004474
--,149267.0,1010,1.0610859689218752
--,164047.5,1362,1.072440063090281
--,183262.0,1687,1.0889512813089404
--,208240.5,2252,1.083968182672293
--,240713.0,2894,1.0966436313306693
--,282927.0,3727,1.1010197276947706
--,337805.5,4821,1.099804888712979
--,409147.5,6081,1.1012642632069434
--,501891.5,7783,1.098915082893767
--,622459.0,9933,1.094861492623414
--,779197.0,12464,1.0852826993807891
--,982956.0,15686,1.077813469342332
--,1247843.0,20001,1.0664154845565275
--,1592196.5,25342,1.0453255401600945
--,2039855.5,31882,1.0334879455659958
--,2621812.0,40930,1.015271030436097
--,3378355.5,50897,1.0072439840937117
--,4361862.5,62258,0.9984860416520874
--,5640421.5,78359,0.9965939476038123
--,7302548.0,98383,0.9964128295581366
--,9463313.0,91214,0.9974541838909674
