lifetime, velocity, clife, cof, face, fripscore
1500.0,0.33,10.0,1.0,0.1,0.38154967
1500.0,1,10.0,1.0,0.1,0.5070336
1500.0,3,10.0,1.0,0.1,0.52635371
166.0,0.33,10.0,1.0,0.1,0.07598384
166.0,1,10.0,1.0,0.1,0.13017748
166.0,3,10.0,1.0,0.1,0.17371421
500.0,0.33,10.0,1.0,0.1,0.18213826
500.0,1,10.0,1.0,0.1,0.30055765
500.0,3,10.0,1.0,0.1,0.35723251
1500.0,0.33,10.0,150.0,0.1,0.38712632
1500.0,1,10.0,150.0,0.1,0.5121662
1500.0,3,10.0,150.0,0.1,0.51471678
166.0,0.33,10.0,150.0,0.1,0.07243592
166.0,1,10.0,150.0,0.1,0.13247856
166.0,3,10.0,150.0,0.1,0.16232677
500.0,0.33,10.0,150.0,0.1,0.18233809
500.0,1,10.0,150.0,0.1,0.29616238
500.0,3,10.0,150.0,0.1,0.36274191
1500.0,0.33,10.0,3.0,0.1,0.38148983
1500.0,1,10.0,3.0,0.1,0.50878256
1500.0,3,10.0,3.0,0.1,0.52741448
166.0,0.33,10.0,3.0,0.1,0.0757881
166.0,1,10.0,3.0,0.1,0.13056871
166.0,3,10.0,3.0,0.1,0.17161221
500.0,0.33,10.0,3.0,0.1,0.18005863
500.0,1,10.0,3.0,0.1,0.29217098
500.0,3,10.0,3.0,0.1,0.35326025
1500.0,0.33,1500.0,1.0,0.1,0.38257291
1500.0,1,1500.0,1.0,0.1,0.50384775
1500.0,3,1500.0,1.0,0.1,0.49429624
166.0,0.33,1500.0,1.0,0.1,0.0738725
166.0,1,1500.0,1.0,0.1,0.13243571
166.0,3,1500.0,1.0,0.1,0.17176125
500.0,0.33,1500.0,1.0,0.1,0.18480184
500.0,1,1500.0,1.0,0.1,0.29257811
500.0,3,1500.0,1.0,0.1,0.36075858
1500.0,0.33,1500.0,150.0,0.1,0.38389173
1500.0,1,1500.0,150.0,0.1,0.51421519
1500.0,3,1500.0,150.0,0.1,0.56960287
166.0,0.33,1500.0,150.0,0.1,0.07394481
166.0,1,1500.0,150.0,0.1,0.13206531
166.0,3,1500.0,150.0,0.1,0.17452331
500.0,0.33,1500.0,150.0,0.1,0.17930724
500.0,1,1500.0,150.0,0.1,0.29200571
500.0,3,1500.0,150.0,0.1,0.32984295
1500.0,0.33,1500.0,3.0,0.1,0.37412397
1500.0,1,1500.0,3.0,0.1,0.50699015
1500.0,3,1500.0,3.0,0.1,0.54520043
166.0,0.33,1500.0,3.0,0.1,0.07381906
166.0,1,1500.0,3.0,0.1,0.13075562
166.0,3,1500.0,3.0,0.1,0.17543809
500.0,0.33,1500.0,3.0,0.1,0.18375841
500.0,1,1500.0,3.0,0.1,0.29052825
500.0,3,1500.0,3.0,0.1,0.3355167
1500.0,0.33,30.0,1.0,0.1,0.38100203
1500.0,1,30.0,1.0,0.1,0.50960014
1500.0,3,30.0,1.0,0.1,0.52033898
166.0,0.33,30.0,1.0,0.1,0.07423713
166.0,1,30.0,1.0,0.1,0.13089692
166.0,3,30.0,1.0,0.1,0.1763984
500.0,0.33,30.0,1.0,0.1,0.18209024
500.0,1,30.0,1.0,0.1,0.29051497
500.0,3,30.0,1.0,0.1,0.34073826
1500.0,0.33,30.0,150.0,0.1,0.37300075
1500.0,1,30.0,150.0,0.1,0.51984579
1500.0,3,30.0,150.0,0.1,0.5461535
166.0,0.33,30.0,150.0,0.1,0.07341904
166.0,1,30.0,150.0,0.1,0.13524899
166.0,3,30.0,150.0,0.1,0.17151542
500.0,0.33,30.0,150.0,0.1,0.17872275
500.0,1,30.0,150.0,0.1,0.28120605
500.0,3,30.0,150.0,0.1,0.35602172
1500.0,0.33,30.0,3.0,0.1,0.37462796
1500.0,1,30.0,3.0,0.1,0.50315607
1500.0,3,30.0,3.0,0.1,0.55067136
166.0,0.33,30.0,3.0,0.1,0.07394283
166.0,1,30.0,3.0,0.1,0.13303009
166.0,3,30.0,3.0,0.1,0.17163653
500.0,0.33,30.0,3.0,0.1,0.18034054
500.0,1,30.0,3.0,0.1,0.28981614
500.0,3,30.0,3.0,0.1,0.34206616
1500.0,0.33,10.0,1.0,0.3,0.43005721
1500.0,1,10.0,1.0,0.3,0.61704885
1500.0,3,10.0,1.0,0.3,0.68861482
166.0,0.33,10.0,1.0,0.3,0.08653309
166.0,1,10.0,1.0,0.3,0.19015752
166.0,3,10.0,1.0,0.3,0.30525074
500.0,0.33,10.0,1.0,0.3,0.21338926
500.0,1,10.0,1.0,0.3,0.38638549
500.0,3,10.0,1.0,0.3,0.52795501
1500.0,0.33,10.0,150.0,0.3,0.43179502
1500.0,1,10.0,150.0,0.3,0.6254881
1500.0,3,10.0,150.0,0.3,0.72621402
166.0,0.33,10.0,150.0,0.3,0.08784227
166.0,1,10.0,150.0,0.3,0.1862383
166.0,3,10.0,150.0,0.3,0.30690693
500.0,0.33,10.0,150.0,0.3,0.21280031
500.0,1,10.0,150.0,0.3,0.38727772
500.0,3,10.0,150.0,0.3,0.53783643
1500.0,0.33,10.0,3.0,0.3,0.42405105
1500.0,1,10.0,3.0,0.3,0.63474188
1500.0,3,10.0,3.0,0.3,0.71088192
166.0,0.33,10.0,3.0,0.3,0.08687302
166.0,1,10.0,3.0,0.3,0.18992423
166.0,3,10.0,3.0,0.3,0.3065289
500.0,0.33,10.0,3.0,0.3,0.21813323
500.0,1,10.0,3.0,0.3,0.38906376
500.0,3,10.0,3.0,0.3,0.53612644
1500.0,0.33,1500.0,1.0,0.3,0.43455127
1500.0,1,1500.0,1.0,0.3,0.61626296
1500.0,3,1500.0,1.0,0.3,0.71494169
166.0,0.33,1500.0,1.0,0.3,0.08631311
166.0,1,1500.0,1.0,0.3,0.18978016
166.0,3,1500.0,1.0,0.3,0.30587715
500.0,0.33,1500.0,1.0,0.3,0.21188066
500.0,1,1500.0,1.0,0.3,0.39517618
500.0,3,1500.0,1.0,0.3,0.54334095
1500.0,0.33,1500.0,150.0,0.3,0.42961885
1500.0,1,1500.0,150.0,0.3,0.62207106
1500.0,3,1500.0,150.0,0.3,0.70055808
166.0,0.33,1500.0,150.0,0.3,0.08790703
166.0,1,1500.0,150.0,0.3,0.18738637
166.0,3,1500.0,150.0,0.3,0.30982676
500.0,0.33,1500.0,150.0,0.3,0.21116962
500.0,1,1500.0,150.0,0.3,0.38905564
500.0,3,1500.0,150.0,0.3,0.53969441
1500.0,0.33,1500.0,3.0,0.3,0.43252311
1500.0,1,1500.0,3.0,0.3,0.63101276
1500.0,3,1500.0,3.0,0.3,0.6925877
166.0,0.33,1500.0,3.0,0.3,0.08662813
166.0,1,1500.0,3.0,0.3,0.1895783
