lifetime, velocity, clife, cof,sep, fripscore
1000.0,1,10.0,1.0,100,0.03204309
1500.0,1,10.0,1.0,100,0.03654863
500.0,1,10.0,1.0,100,0.03553228
1000.0,1,10.0,10.0,100,0.0216229
1500.0,1,10.0,10.0,100,0.0180439
500.0,1,10.0,10.0,100,0.01934846
1000.0,1,10.0,100.0,100,0.01036889
1500.0,1,10.0,100.0,100,0.01097441
500.0,1,10.0,100.0,100,0.01063422
1000.0,1,10.0,1000.0,100,0.00914018
1500.0,1,10.0,1000.0,100,0.00823074
500.0,1,10.0,1000.0,100,0.0097769
1000.0,1,10.0,10000.0,100,0.00879055
1500.0,1,10.0,10000.0,100,0.01177282
500.0,1,10.0,10000.0,100,0.00881383
1000.0,1,10.0,11.0,100,0.0180612
1500.0,1,10.0,11.0,100,0.01630327
500.0,1,10.0,11.0,100,0.01740465
1000.0,1,10.0,111.0,100,0.01086389
1500.0,1,10.0,111.0,100,0.01005205
500.0,1,10.0,111.0,100,0.01139344
1000.0,1,10.0,1111.0,100,0.01101631
1500.0,1,10.0,1111.0,100,0.01186751
500.0,1,10.0,1111.0,100,0.01025077
1000.0,1,10.0,11667.0,100,0.00978018
1500.0,1,10.0,11667.0,100,0.00920478
500.0,1,10.0,11667.0,100,0.00921147
1000.0,1,10.0,1167.0,100,0.01168205
1500.0,1,10.0,1167.0,100,0.00854393
500.0,1,10.0,1167.0,100,0.01017401
1000.0,1,10.0,117.0,100,0.01002781
1500.0,1,10.0,117.0,100,0.01024708
500.0,1,10.0,117.0,100,0.01148831
1000.0,1,10.0,12.0,100,0.01551545
1500.0,1,10.0,12.0,100,0.01644912
500.0,1,10.0,12.0,100,0.01750841
1000.0,1,10.0,120.0,100,0.01187522
1500.0,1,10.0,120.0,100,0.00766794
500.0,1,10.0,120.0,100,0.00988753
1000.0,1,10.0,1200.0,100,0.00993432
1500.0,1,10.0,1200.0,100,0.0148523
500.0,1,10.0,1200.0,100,0.01060296
1000.0,1,10.0,12000.0,100,0.00854174
1500.0,1,10.0,12000.0,100,0.00911917
500.0,1,10.0,12000.0,100,0.00996703
1000.0,1,10.0,125.0,100,0.00955878
1500.0,1,10.0,125.0,100,0.0104047
500.0,1,10.0,125.0,100,0.01111101
1000.0,1,10.0,1250.0,100,0.00942769
1500.0,1,10.0,1250.0,100,0.00943584
500.0,1,10.0,1250.0,100,0.0091927
1000.0,1,10.0,1286.0,100,0.00879177
1500.0,1,10.0,1286.0,100,0.00814882
500.0,1,10.0,1286.0,100,0.01082794
1000.0,1,10.0,129.0,100,0.01195119
1500.0,1,10.0,129.0,100,0.01220972
500.0,1,10.0,129.0,100,0.01014265
1000.0,1,10.0,13.0,100,0.02192136
1500.0,1,10.0,13.0,100,0.01719251
500.0,1,10.0,13.0,100,0.01623657
1000.0,1,10.0,133.0,100,0.00944736
1500.0,1,10.0,133.0,100,0.0098931
500.0,1,10.0,133.0,100,0.01079585
1000.0,1,10.0,1333.0,100,0.01020116
1500.0,1,10.0,1333.0,100,0.00763956
500.0,1,10.0,1333.0,100,0.00993296
1000.0,1,10.0,15.0,100,0.01745871
1500.0,1,10.0,15.0,100,0.01971864
500.0,1,10.0,15.0,100,0.01587351
1000.0,1,10.0,150.0,100,0.0124885
1500.0,1,10.0,150.0,100,0.01127947
500.0,1,10.0,150.0,100,0.01032164
1000.0,1,10.0,1500.0,100,0.00871188
1500.0,1,10.0,1500.0,100,0.01005434
500.0,1,10.0,1500.0,100,0.01009694
1000.0,1,10.0,15000.0,100,0.01224901
1500.0,1,10.0,15000.0,100,0.01029547
500.0,1,10.0,15000.0,100,0.01027436
1000.0,1,10.0,160.0,100,0.01060164
1500.0,1,10.0,160.0,100,0.01071213
500.0,1,10.0,160.0,100,0.0109924
1000.0,1,10.0,1600.0,100,0.01027697
1500.0,1,10.0,1600.0,100,0.01124033
500.0,1,10.0,1600.0,100,0.00913626
1000.0,1,10.0,16000.0,100,0.00807952
1500.0,1,10.0,16000.0,100,0.01105432
500.0,1,10.0,16000.0,100,0.00960246
1000.0,1,10.0,17.0,100,0.01584682
1500.0,1,10.0,17.0,100,0.01677567
500.0,1,10.0,17.0,100,0.0163345
1000.0,1,10.0,171.0,100,0.01024554
1500.0,1,10.0,171.0,100,0.01243565
500.0,1,10.0,171.0,100,0.01131625
1000.0,1,10.0,1714.0,100,0.01083111
1500.0,1,10.0,1714.0,100,0.00885308
500.0,1,10.0,1714.0,100,0.00941988
1000.0,1,10.0,180.0,100,0.01101738
1500.0,1,10.0,180.0,100,0.01047771
500.0,1,10.0,180.0,100,0.01021563
1000.0,1,10.0,1800.0,100,0.00931327
1500.0,1,10.0,1800.0,100,0.0069137
500.0,1,10.0,1800.0,100,0.00960862
1000.0,1,10.0,18000.0,100,0.00850131
1500.0,1,10.0,18000.0,100,0.01146574
500.0,1,10.0,18000.0,100,0.00962619
1000.0,1,10.0,2.0,100,0.02602143
1500.0,1,10.0,2.0,100,0.03065353
500.0,1,10.0,2.0,100,0.02835226
1000.0,1,10.0,20.0,100,0.01433871
1500.0,1,10.0,20.0,100,0.0142377
500.0,1,10.0,20.0,100,0.01482735
1000.0,1,10.0,200.0,100,0.01231323
1500.0,1,10.0,200.0,100,0.0089862
500.0,1,10.0,200.0,100,0.00994672
1000.0,1,10.0,2000.0,100,0.00985015
1500.0,1,10.0,2000.0,100,0.0063933
500.0,1,10.0,2000.0,100,0.0088036
1000.0,1,10.0,20000.0,100,0.00902179
1500.0,1,10.0,20000.0,100,0.0082608
