orientation,chr_distance,peak_score,n
+-,105.0,0.9740607924002503,6
+-,114.75,1.0507143085346144,8
+-,122.425,1.0321817194544396,3
+-,129.1525,1.0897053810651405,8
+-,137.89825000000002,1.0486347808128227,5
+-,164.0480425,0.9900961219627001,8
+-,183.26245525000004,1.0786538724582257,8
+-,208.24119182500004,1.2316924235725975,13
+-,240.71354937250007,1.1883725688515892,12
+-,282.9276141842501,1.160116035004185,11
+-,337.8058984395251,1.0229057401787103,14
+-,409.1476679713826,1.2005361870540636,19
+-,501.8919683627974,1.074305870179039,14
+-,622.4595588716368,1.3233740201523667,41
+-,779.1974265331277,1.15093016309289,39
+-,982.956654493066,1.1016455987587175,60
+-,1247.843650840986,1.1662097077659104,68
+-,1592.1967460932817,1.165343207892243,78
+-,2039.855769921266,1.043164583788526,89
+-,2621.812500897646,1.0163328752574068,129
+-,3378.35625116694,0.9929043676417557,106
+-,4361.8631265170225,0.9846513000888202,109
+-,5640.42206447213,0.9993598169951801,68
+-,7302.548683813768,0.999766450798768,1
-+,95.0,0.9800735203086525,11
-+,122.425,1.0295485025847646,3
-+,137.89825000000002,1.018821440967602,2
-+,164.0480425,1.1150786365750727,10
-+,183.26245525000004,1.1920186590207793,9
-+,208.24119182500004,1.1461723398232513,15
-+,240.71354937250007,1.0529796201461654,10
-+,282.9276141842501,1.0649189231762497,7
-+,337.8058984395251,1.0835766022533644,11
-+,409.1476679713826,1.1372517310488544,19
-+,501.8919683627974,1.173682278392349,29
-+,622.4595588716368,1.2709113980112914,36
-+,779.1974265331277,1.1470626326526139,44
-+,982.956654493066,1.1991401560888129,44
-+,1247.843650840986,1.164912540671434,69
-+,1592.1967460932817,1.073351455428968,80
-+,2039.855769921266,1.062285609561842,94
-+,2621.812500897646,1.0557502566403787,117
-+,3378.35625116694,1.0054191050792671,114
-+,4361.8631265170225,0.9833863943532992,106
-+,5640.42206447213,0.988896976243183,61
++,105.0,0.9738363000351706,2
++,114.75,0.9847836585095975,3
++,122.425,0.978618499070596,3
++,137.89825000000002,1.017924423796247,3
++,149.267725,1.061990258923156,5
++,164.0480425,1.057930937259808,5
++,183.26245525000004,0.9873587039650572,6
++,208.24119182500004,1.0772697606115054,10
++,240.71354937250007,1.0876329722887919,4
++,282.9276141842501,1.0684136490863692,8
++,337.8058984395251,1.119885382877008,21
++,409.1476679713826,1.2305776212754274,12
++,501.8919683627974,1.321846395060137,34
++,622.4595588716368,1.124044383152271,27
++,779.1974265331277,1.145882567665554,39
++,982.956654493066,1.2591136833751042,54
++,1247.843650840986,1.2037585258104724,64
++,1592.1967460932817,1.1445095525002769,84
++,2039.855769921266,1.0650530502000424,89
++,2621.812500897646,1.015987819212791,111
++,3378.35625116694,0.9997901431392517,111
++,4361.8631265170225,0.9802422819577871,98
++,5640.42206447213,0.9927651847202112,55
++,7302.548683813768,0.9995738825480802,2
--,95.0,0.986546241400307,3
--,114.75,1.022692875181022,8
--,122.425,1.0521359791630538,3
--,137.89825000000002,0.984347008558422,8
--,208.24119182500004,1.0028364054821048,3
--,240.71354937250007,1.1610986072861103,5
--,282.9276141842501,1.0529206270022797,14
--,337.8058984395251,1.1277714082191788,26
--,409.1476679713826,1.3616205733874023,29
--,501.8919683627974,1.1891718844237098,23
--,622.4595588716368,1.0206596443058544,33
--,779.1974265331277,1.1882844319731671,42
--,982.956654493066,1.1778896378679682,44
--,1247.843650840986,1.1037634614780747,60
--,1592.1967460932817,1.1300281590797518,72
--,2039.855769921266,1.0442881210221064,98
--,2621.812500897646,1.009729397625563,154
--,3378.35625116694,0.9916590392137673,103
--,4361.8631265170225,0.9815518493090553,96
--,5640.42206447213,0.9933661440490894,89
all,95.0,1.00030091296385,14
all,105.0,0.9710866212205657,8
all,114.75,1.0618396414012472,19
all,122.425,1.0761175596013375,12
all,129.1525,1.0897053810651405,8
all,137.89825000000002,1.040286382163499,18
all,149.267725,1.061990258923156,5
all,164.0480425,1.1010329215648362,23
all,183.26245525000004,1.1620099890934639,23
all,208.24119182500004,1.2322734946708673,41
all,240.71354937250007,1.2584742657508465,31
all,282.9276141842501,1.165275557177158,40
all,337.8058984395251,1.153135587194457,72
all,409.1476679713826,1.3851656188826238,79
all,501.8919683627974,1.3161121815630172,100
all,622.4595588716368,1.2650310446311992,137
all,779.1974265331277,1.2282427967742668,164
all,982.956654493066,1.2583017523010398,202
all,1247.843650840986,1.2217327926802692,261
all,1592.1967460932817,1.1810182840613628,314
all,2039.855769921266,1.077170669051819,370
all,2621.812500897646,1.0350156258890826,511
all,3378.35625116694,0.9959038916083633,434
all,4361.8631265170225,0.9658863462960442,409
all,5640.42206447213,0.9835505923097151,273
all,7302.548683813768,0.9993422545189029,3
