orientation,chr_distance,peak_score,n
+-,105.0,0.9691876477551583,6
+-,114.75,1.016119198068195,8
+-,122.425,1.0474636283998608,3
+-,129.1525,1.0887723339381494,8
+-,137.89825000000002,1.00538504478897,5
+-,164.0480425,1.039121921726902,8
+-,183.26245525000004,1.05903398539694,8
+-,208.24119182500004,1.0953213587429564,13
+-,240.71354937250007,1.0792202874651589,12
+-,282.9276141842501,1.147457672505628,11
+-,337.8058984395251,1.032581203941628,14
+-,409.1476679713826,1.1265604963138043,19
+-,501.8919683627974,1.0092335060296933,14
+-,622.4595588716368,1.1091837094189558,41
+-,779.1974265331277,1.0462987641363009,39
+-,982.956654493066,1.1525483498307072,60
+-,1247.843650840986,1.0892841181096005,68
+-,1592.1967460932817,1.0611470450284557,78
+-,2039.855769921266,1.0235108368355912,89
+-,2621.812500897646,0.980502073179067,129
+-,3378.35625116694,0.9906731344474317,106
+-,4361.8631265170225,0.9950317026342096,109
+-,5640.42206447213,0.9976808734001452,68
+-,7302.548683813768,1.0002280837008057,1
-+,95.0,1.0062234990490453,11
-+,122.425,0.9905784313536581,3
-+,137.89825000000002,1.0126685821270618,2
-+,164.0480425,1.2075071909649964,10
-+,183.26245525000004,1.1940572760177703,9
-+,208.24119182500004,1.1100699558423648,15
-+,240.71354937250007,1.0997502854357242,10
-+,282.9276141842501,1.0720851271498248,7
-+,337.8058984395251,1.1417207705598211,11
-+,409.1476679713826,1.1367928975304664,19
-+,501.8919683627974,1.1778376803427062,29
-+,622.4595588716368,1.1352995419054692,36
-+,779.1974265331277,1.090791356734665,44
-+,982.956654493066,1.0781604097800115,44
-+,1247.843650840986,1.0668205734647183,69
-+,1592.1967460932817,1.0615934084947973,80
-+,2039.855769921266,1.0245247868344896,94
-+,2621.812500897646,0.9932884013989285,117
-+,3378.35625116694,0.9931639125285922,114
-+,4361.8631265170225,0.9886738492425485,106
-+,5640.42206447213,0.9929717236927982,61
++,105.0,0.9823391020348512,2
++,114.75,0.9832946984872328,3
++,122.425,1.0016054127174863,3
++,137.89825000000002,1.0906638047743948,3
++,149.267725,1.0379836136738563,5
++,164.0480425,1.0249657899878895,5
++,183.26245525000004,1.0541339051788954,6
++,208.24119182500004,1.0556629109302647,10
++,240.71354937250007,1.0482150637341237,4
++,282.9276141842501,1.1291299096627687,8
++,337.8058984395251,1.2127044892347523,21
++,409.1476679713826,1.1493756462763343,12
++,501.8919683627974,1.1058560461400107,34
++,622.4595588716368,1.1464323116109323,27
++,779.1974265331277,1.091996905185713,39
++,982.956654493066,1.0928110034070675,54
++,1247.843650840986,1.10485477926888,64
++,1592.1967460932817,1.046138653494581,84
++,2039.855769921266,1.037458386408213,89
++,2621.812500897646,1.010847163306872,111
++,3378.35625116694,0.9847239380303415,111
++,4361.8631265170225,0.9911965330171859,98
++,5640.42206447213,0.9922309463429471,55
++,7302.548683813768,1.0000089157153205,2
--,95.0,0.9884052484955719,3
--,114.75,1.0644332754939017,8
--,122.425,0.9782114180012815,3
--,137.89825000000002,1.028567788395689,8
--,208.24119182500004,1.0819945850469872,3
--,240.71354937250007,1.0431175640238568,5
--,282.9276141842501,1.2081123868349177,14
--,337.8058984395251,1.1941849866189829,26
--,409.1476679713826,1.1873929409038162,29
--,501.8919683627974,1.1920435375248513,23
--,622.4595588716368,1.1981071369591252,33
--,779.1974265331277,1.129379516143139,42
--,982.956654493066,1.1242563930613838,44
--,1247.843650840986,1.107063764751612,60
--,1592.1967460932817,1.0664363411239344,72
--,2039.855769921266,1.0044237182206717,98
--,2621.812500897646,0.9933336013839112,154
--,3378.35625116694,0.9944489211045058,103
--,4361.8631265170225,0.9900360609193151,96
--,5640.42206447213,0.9940693976187648,89
all,95.0,1.0186474176048468,14
all,105.0,0.9846173695200607,8
all,114.75,1.0732628980961396,19
all,122.425,1.0318619490216459,12
all,129.1525,1.0887723339381494,8
all,137.89825000000002,1.081926224149178,18
all,149.267725,1.0379836136738563,5
all,164.0480425,1.1671215014249123,23
all,183.26245525000004,1.1909617730388224,23
all,208.24119182500004,1.1550391636974033,41
all,240.71354937250007,1.1431173353826023,31
all,282.9276141842501,1.2659799092125477,40
all,337.8058984395251,1.2426208655612188,72
all,409.1476679713826,1.2396459927895933,79
all,501.8919683627974,1.1940633144923694,100
all,622.4595588716368,1.2058227451693915,137
all,779.1974265331277,1.1293412656181654,164
all,982.956654493066,1.1628394775852415,202
all,1247.843650840986,1.1305253542844378,261
all,1592.1967460932817,1.0866756000410076,314
all,2039.855769921266,1.0345773689356215,370
all,2621.812500897646,0.9908967746966241,511
all,3378.35625116694,0.9825257291596146,434
all,4361.8631265170225,0.9796987472041295,409
all,5640.42206447213,0.9834815783940982,273
all,7302.548683813768,1.0002364302865083,3
