orientation,chr_distance,peak_score,n
+-,104.75,1.5262500080270645,6
+-,112.425,1.8501786325943825,8
+-,119.1525,1.2964953914197932,3
+-,127.89825,1.5385732115991038,8
+-,139.267725,1.1703588037207977,5
+-,154.0480425,1.0009122613797852,2
+-,173.26245525000004,0.9825271004614533,14
+-,198.24119182500004,1.1627028723421635,5
+-,230.71354937250007,1.2631937215149254,17
+-,272.9276141842501,1.0106281982938943,14
+-,327.8058984395251,0.9540344000603729,11
+-,399.1476679713826,1.281179861282518,22
+-,491.8919683627974,1.0265416005520438,14
+-,612.4595588716368,1.0412297589690163,38
+-,769.1974265331277,1.0081138500373308,42
+-,972.956654493066,0.9973098698910999,58
+-,1237.843650840986,0.9917886959080378,63
+-,1582.1967460932817,0.9830362071735217,79
+-,2029.855769921266,0.9880420939730439,91
+-,2611.812500897646,0.9874233434820586,130
+-,3368.35625116694,0.9897684952456864,108
+-,4351.8631265170225,0.9930400870552308,107
+-,5630.42206447213,0.9972300352245101,71
+-,7292.548683813768,1.0000937861967611,1
-+,95.0,1.293624657981246,11
-+,119.1525,1.1766314587977829,3
-+,139.267725,1.069776703942682,2
-+,154.0480425,1.403857587306801,5
-+,173.26245525000004,2.5907513752788303,11
-+,198.24119182500004,1.3880141211196035,18
-+,230.71354937250007,0.9863782123577234,3
-+,272.9276141842501,1.3339517990731817,11
-+,327.8058984395251,1.3148759374706716,14
-+,399.1476679713826,1.023539644310398,17
-+,491.8919683627974,1.0878199814814171,28
-+,612.4595588716368,1.0968878255395917,37
-+,769.1974265331277,0.9906802796902499,39
-+,972.956654493066,0.9925176408335401,49
-+,1237.843650840986,0.9911432521736825,69
-+,1582.1967460932817,0.9890741979021797,82
-+,2029.855769921266,0.9847958007366044,91
-+,2611.812500897646,0.9833703944894322,118
-+,3368.35625116694,0.9910351420467182,116
-+,4351.8631265170225,0.9897757502565805,106
-+,5630.42206447213,0.9969252583487929,61
++,104.75,1.0329152886139812,2
++,112.425,1.2214734644607101,3
++,119.1525,1.1929297058803638,3
++,139.267725,1.7037445756103071,3
++,154.0480425,1.4128168287899818,8
++,173.26245525000004,1.305145377175574,5
++,198.24119182500004,1.0559583402232113,11
++,230.71354937250007,1.2554180720264987,6
++,272.9276141842501,1.0764984346675264,6
++,327.8058984395251,1.1074879112800202,20
++,399.1476679713826,1.4514711536823162,15
++,491.8919683627974,1.0221085077350895,30
++,612.4595588716368,1.1107384340909374,29
++,769.1974265331277,1.0908212803174142,39
++,972.956654493066,0.9929361297656711,52
++,1237.843650840986,0.9728109104394695,66
++,1582.1967460932817,0.9870145609377656,84
++,2029.855769921266,0.9882894526649385,87
++,2611.812500897646,0.9886314663369381,112
++,3368.35625116694,0.9853072773281575,113
++,4351.8631265170225,0.990905385228455,99
++,5630.42206447213,0.9971232464443467,55
++,7292.548683813768,0.9996527806424037,2
--,95.0,1.1432314599694073,3
--,112.425,1.5147218534810063,8
--,119.1525,1.015557964569369,3
--,139.267725,1.166132386085018,8
--,198.24119182500004,1.056015109975876,3
--,272.9276141842501,1.4542791881790804,16
--,327.8058984395251,1.121029145759234,26
--,399.1476679713826,1.3091635216353144,26
--,491.8919683627974,1.0828036901626592,27
--,612.4595588716368,1.0174894644848265,33
--,769.1974265331277,1.001293690641434,44
--,972.956654493066,0.9852990071652261,44
--,1237.843650840986,0.9817687581852085,58
--,1582.1967460932817,0.9936332922079504,74
--,2029.855769921266,0.9925392064613323,96
--,2611.812500897646,0.988421679462695,152
--,3368.35625116694,0.9947056785043422,106
--,4351.8631265170225,0.9934194822175215,96
--,5630.42206447213,0.9970241003922752,90
all,95.0,1.351627066116619,14
all,104.75,1.4931825177382088,8
all,112.425,1.9673224617326122,19
all,119.1525,1.4360193714330736,12
all,127.89825,1.5385732115991038,8
all,139.267725,1.6087660858161488,18
all,154.0480425,1.5649253784779145,15
all,173.26245525000004,2.0295327062891952,30
all,198.24119182500004,1.3928428552244139,37
all,230.71354937250007,1.3605877875247618,26
all,272.9276141842501,1.4732142970257986,47
all,327.8058984395251,1.2572020205307914,71
all,399.1476679713826,1.5421633350645414,80
all,491.8919683627974,1.1265273428009908,99
all,612.4595588716368,1.1439006978702162,137
all,769.1974265331277,1.052596019583221,164
all,972.956654493066,0.9823019893750505,203
all,1237.843650840986,0.9624786331740617,256
all,1582.1967460932817,0.9701811540192491,319
all,2029.855769921266,0.9691554654624975,365
all,2611.812500897646,0.965972703093728,512
all,3368.35625116694,0.9708483622946881,443
all,4351.8631265170225,0.9741820271087789,408
all,5630.42206447213,0.9897608302739789,277
all,7292.548683813768,0.9997465230543794,3
