orientation,chr_distance,peak_score,n
+-,114.75,1.0088070518118633,8
+-,122.425,1.1190115743352547,8
+-,129.1525,1.337169849591164,9
+-,137.89825000000002,1.255702562786338,14
+-,149.267725,1.2434082407674698,13
+-,164.0480425,1.319778007302863,18
+-,183.26245525000004,1.1784749946136075,21
+-,208.24119182500004,1.1806498481177674,26
+-,240.71354937250007,1.2524214219230516,30
+-,282.9276141842501,1.2524905210859376,55
+-,337.8058984395251,1.2069846560169353,56
+-,409.1476679713826,1.2044671860800709,84
+-,501.8919683627974,1.1621512064662995,110
+-,622.4595588716368,1.062412426168518,139
+-,779.1974265331277,1.03387001122491,177
+-,982.956654493066,0.9923753354032209,216
+-,1247.843650840986,0.9851972707700587,312
+-,1592.1967460932817,0.9815617385758562,385
+-,2039.855769921266,0.9777496407603765,487
+-,2621.812500897646,0.9777896347110392,585
+-,3378.35625116694,0.9786317208459727,687
+-,4361.8631265170225,0.9735132952798817,819
+-,5640.42206447213,0.9770851015522293,1072
+-,7302.548683813768,0.9830508961218105,1205
-+,114.75,1.102878861967393,6
-+,122.425,1.1018127028697016,6
-+,129.1525,1.144883099387431,10
-+,137.89825000000002,1.096173238436684,6
-+,149.267725,1.278786295813491,12
-+,164.0480425,1.242922532312054,21
-+,183.26245525000004,1.2309322545848471,19
-+,208.24119182500004,1.31706691024862,34
-+,240.71354937250007,1.3351360267428376,30
-+,282.9276141842501,1.451069826817216,54
-+,337.8058984395251,1.202323836360392,66
-+,409.1476679713826,1.2309167026890113,68
-+,501.8919683627974,1.1875955034654162,105
-+,622.4595588716368,1.106971628384482,121
-+,779.1974265331277,1.0186431276060692,170
-+,982.956654493066,0.9936496724393395,236
-+,1247.843650840986,0.9944959979382244,301
-+,1592.1967460932817,0.9819063909820385,345
-+,2039.855769921266,0.9724082589637602,463
-+,2621.812500897646,0.9755839767598097,559
-+,3378.35625116694,0.9761890223718865,711
-+,4361.8631265170225,0.9842982927632226,874
-+,5640.42206447213,0.9791529722441764,1160
-+,7302.548683813768,0.976504983948596,1446
++,114.75,1.1232992014973513,8
++,122.425,1.124799082730884,13
++,129.1525,1.1020668458882306,11
++,137.89825000000002,1.1805514516319477,11
++,149.267725,1.1332345785179436,9
++,164.0480425,1.229145802501631,16
++,183.26245525000004,1.2515167062105357,22
++,208.24119182500004,1.2001942121123426,30
++,240.71354937250007,1.2560913867837855,32
++,282.9276141842501,1.233170475883676,45
++,337.8058984395251,1.2234382516341449,57
++,409.1476679713826,1.135428441074566,76
++,501.8919683627974,1.1290276440758786,123
++,622.4595588716368,1.0922785470551124,140
++,779.1974265331277,1.0214342146306734,137
++,982.956654493066,0.9969034622556241,209
++,1247.843650840986,0.9858169022665986,285
++,1592.1967460932817,0.9811327501983664,358
++,2039.855769921266,0.9825429815342152,444
++,2621.812500897646,0.9791778120418859,604
++,3378.35625116694,0.9810759166648588,735
++,4361.8631265170225,0.9841287146039762,871
++,5640.42206447213,0.9843821155651264,1067
++,7302.548683813768,0.981065042618595,1395
--,114.75,1.3840674558686052,13
--,122.425,1.0284796611534275,6
--,129.1525,1.1450509121044206,13
--,137.89825000000002,1.2537670273317967,10
--,149.267725,1.2050751558075952,8
--,164.0480425,1.3033544744004122,27
--,183.26245525000004,1.2568752934922958,22
--,208.24119182500004,1.3853315215804645,33
--,240.71354937250007,1.4019671340527065,30
--,282.9276141842501,1.2194681875099165,51
--,337.8058984395251,1.2440392855890132,62
--,409.1476679713826,1.2335739898158176,82
--,501.8919683627974,1.1173934127896261,112
--,622.4595588716368,1.0924142809784607,132
--,779.1974265331277,1.0329285849047416,169
--,982.956654493066,0.9848386594755479,225
--,1247.843650840986,0.979176326723726,270
--,1592.1967460932817,0.9826089009988811,364
--,2039.855769921266,0.9754217381801186,478
--,2621.812500897646,0.9780027017705355,600
--,3378.35625116694,0.9839232741905435,698
--,4361.8631265170225,0.9753789318698018,840
--,5640.42206447213,0.9795852518642323,1078
--,7302.548683813768,0.9796693564388747,1276
all,114.75,1.390905605111101,35
all,122.425,1.2327645802724416,33
all,129.1525,1.3946408603387388,43
all,137.89825000000002,1.4437309044320652,41
all,149.267725,1.47968279961318,42
all,164.0480425,1.4977151409862952,82
all,183.26245525000004,1.42710970985783,84
all,208.24119182500004,1.4716088143195016,123
all,240.71354937250007,1.5505106895117666,122
all,282.9276141842501,1.4663741661169676,205
all,337.8058984395251,1.3627206622548664,241
all,409.1476679713826,1.3314947594200008,310
all,501.8919683627974,1.2402009504305112,450
all,622.4595588716368,1.1534954459286768,532
all,779.1974265331277,1.0507359936366965,653
all,982.956654493066,0.9872325498882407,886
all,1247.843650840986,0.9753522910744804,1168
all,1592.1967460932817,0.9655051961297645,1452
all,2039.855769921266,0.9562425723540322,1872
all,2621.812500897646,0.9562574706520142,2348
all,3378.35625116694,0.9610076468629312,2831
all,4361.8631265170225,0.9593059206169804,3404
all,5640.42206447213,0.9618644525688779,4377
all,7302.548683813768,0.9628586032438864,5322
