orientation,chr_distance,peak_score,n
+-,105.0,1.3247425565452882,10
+-,114.75,1.4979315583683022,8
+-,122.425,1.533734248735384,5
+-,129.1525,1.4307641372762767,14
+-,137.89825000000002,1.6323331766240887,12
+-,149.267725,1.6989801343515651,7
+-,164.0480425,1.6384904660574093,23
+-,183.26245525000004,1.8183745749368705,16
+-,208.24119182500004,1.6705147888388916,27
+-,240.71354937250007,1.662197025345161,36
+-,282.9276141842501,1.6658329182553815,46
+-,337.8058984395251,1.5883741129531044,58
+-,409.1476679713826,1.5341555850873574,75
+-,501.8919683627974,1.5231944858603175,112
+-,622.4595588716368,1.4732491066466862,120
+-,779.1974265331277,1.3833420425337284,196
+-,982.956654493066,1.3414264223515606,237
+-,1247.843650840986,1.2620616016700985,322
+-,1592.1967460932817,1.1683173817792205,383
+-,2039.855769921266,1.0787226505338081,475
+-,2621.812500897646,0.9829063427072973,615
+-,3378.35625116694,0.9585494356319553,734
+-,4361.8631265170225,0.924178489265187,823
+-,5640.42206447213,0.9585483345349461,1073
+-,7302.548683813768,0.9605390006103343,1242
-+,105.0,0.9426009498860481,11
-+,114.75,0.97538313572258,6
-+,122.425,0.9502139969105458,14
-+,129.1525,1.0954885673616086,11
-+,137.89825000000002,1.0718900294307117,10
-+,149.267725,1.0253047168220333,8
-+,164.0480425,0.9790286650702089,20
-+,183.26245525000004,1.090829633375932,24
-+,208.24119182500004,1.0828332464119939,22
-+,240.71354937250007,1.130468539118143,30
-+,282.9276141842501,1.1135657686742273,53
-+,337.8058984395251,1.1587059131020598,55
-+,409.1476679713826,1.137902748263456,75
-+,501.8919683627974,1.0939587900898673,103
-+,622.4595588716368,1.1143779643522793,146
-+,779.1974265331277,1.1204447613583697,157
-+,982.956654493066,1.0557512446770345,249
-+,1247.843650840986,1.0488605348266176,292
-+,1592.1967460932817,1.0119992869984047,371
-+,2039.855769921266,0.9625742983863013,458
-+,2621.812500897646,0.9592522947986033,574
-+,3378.35625116694,0.9513861567296611,701
-+,4361.8631265170225,0.9388641753804132,896
-+,5640.42206447213,0.9601775711000479,1175
-+,7302.548683813768,0.9459306131267728,1452
++,105.0,1.128959312688369,9
++,114.75,1.2230101736702947,10
++,122.425,1.2059151712216605,5
++,129.1525,1.2288944141749911,4
++,137.89825000000002,1.196211397260449,10
++,149.267725,1.3276497824162143,15
++,164.0480425,1.197683526237008,14
++,183.26245525000004,1.331273609110964,22
++,208.24119182500004,1.3928747330275058,44
++,240.71354937250007,1.3667220378250353,32
++,282.9276141842501,1.2930038127138936,52
++,337.8058984395251,1.3191344556099087,65
++,409.1476679713826,1.2725448641301473,79
++,501.8919683627974,1.2025692831621684,119
++,622.4595588716368,1.2689507405059977,129
++,779.1974265331277,1.1950582768335978,163
++,982.956654493066,1.1986145964475687,194
++,1247.843650840986,1.1336573819898912,287
++,1592.1967460932817,1.066989036476742,357
++,2039.855769921266,1.0121811437333474,467
++,2621.812500897646,0.9834963133902936,575
++,3378.35625116694,0.9601928165148631,764
++,4361.8631265170225,0.9353378404234557,837
++,5640.42206447213,0.9504564473411307,1083
++,7302.548683813768,0.9552551149385631,1418
--,105.0,1.124627831336462,12
--,114.75,1.1586221677123953,11
--,122.425,1.294747833807517,10
--,129.1525,1.2032859780468907,14
--,137.89825000000002,1.3154484790657364,9
--,149.267725,1.3656387448384881,12
--,164.0480425,1.2291855345792682,25
--,183.26245525000004,1.3019511570281999,22
--,208.24119182500004,1.3194940629455938,30
--,240.71354937250007,1.2479143908989425,25
--,282.9276141842501,1.3498962086003714,56
--,337.8058984395251,1.4707497910667233,66
--,409.1476679713826,1.3648532864784786,85
--,501.8919683627974,1.2973201404601775,118
--,622.4595588716368,1.344066557532245,146
--,779.1974265331277,1.2318815638330922,149
--,982.956654493066,1.195401540967926,229
--,1247.843650840986,1.1365894622850161,292
--,1592.1967460932817,1.0813996364571983,366
--,2039.855769921266,1.0011761362114011,487
--,2621.812500897646,0.9800696183422368,628
--,3378.35625116694,0.956261190044087,701
--,4361.8631265170225,0.9266060503871836,899
--,5640.42206447213,0.9394492531991385,1088
--,7302.548683813768,0.9266230781992895,1305
all,105.0,1.1247529425822278,42
all,114.75,1.2223123868556316,35
all,122.425,1.166190820687766,34
all,129.1525,1.2470756860439094,43
all,137.89825000000002,1.3121840431470082,41
all,149.267725,1.3358233244800455,42
all,164.0480425,1.2773033655764108,82
all,183.26245525000004,1.3433523833004537,84
all,208.24119182500004,1.3822098566128909,123
all,240.71354937250007,1.3688204055206448,123
all,282.9276141842501,1.3441453101230751,207
all,337.8058984395251,1.3841672749156952,244
all,409.1476679713826,1.3237939071264657,314
all,501.8919683627974,1.2788562980111657,452
all,622.4595588716368,1.2927428798036589,541
all,779.1974265331277,1.243841671147874,665
all,982.956654493066,1.195627991863446,909
all,1247.843650840986,1.1485487178793965,1193
all,1592.1967460932817,1.082631222242064,1477
all,2039.855769921266,1.0137548672016587,1887
all,2621.812500897646,0.9767662226141788,2392
all,3378.35625116694,0.9566126567168026,2900
all,4361.8631265170225,0.9311270014632398,3455
all,5640.42206447213,0.9521431423795628,4419
all,7302.548683813768,0.9462912343173946,5417
