orientation,chr_distance,peak_score,n
+-,114.75,0.9420295357109121,8
+-,122.425,1.0158921183357024,8
+-,129.1525,1.167648553068558,9
+-,137.89825000000002,1.1826601887873083,14
+-,149.267725,1.194704438236144,13
+-,164.0480425,1.211536263291424,18
+-,183.26245525000004,1.176915137823716,21
+-,208.24119182500004,1.1839162915898702,26
+-,240.71354937250007,1.3012769959434158,30
+-,282.9276141842501,1.3494280907888687,55
+-,337.8058984395251,1.4087981830337037,57
+-,409.1476679713826,1.285477963801179,85
+-,501.8919683627974,1.3022445109240433,110
+-,622.4595588716368,1.311317062193861,141
+-,779.1974265331277,1.2970277472352876,179
+-,982.956654493066,1.2371184019777248,221
+-,1247.843650840986,1.2297937036304014,318
+-,1592.1967460932817,1.165633502018273,392
+-,2039.855769921266,1.0795747220832697,492
+-,2621.812500897646,1.044459308396076,601
+-,3378.35625116694,0.9921078484503782,710
+-,4361.8631265170225,0.969486070805462,832
+-,5640.42206447213,0.9635386853603115,1085
+-,7302.548683813768,0.9599427820673184,1227
-+,114.75,1.025779261153265,6
-+,122.425,1.0718870816181723,7
-+,129.1525,1.1721585710735551,10
-+,137.89825000000002,1.0868671584368723,6
-+,149.267725,1.1071882579122279,12
-+,164.0480425,1.2215587045932317,21
-+,183.26245525000004,1.1572272419621294,19
-+,208.24119182500004,1.2155070890603175,34
-+,240.71354937250007,1.3363728283173604,30
-+,282.9276141842501,1.4619339621288696,55
-+,337.8058984395251,1.2570003047807712,67
-+,409.1476679713826,1.2448216988676608,69
-+,501.8919683627974,1.3875263142730123,106
-+,622.4595588716368,1.4016278868574414,123
-+,779.1974265331277,1.3348895334559683,174
-+,982.956654493066,1.2644456408307583,242
-+,1247.843650840986,1.236200635071056,309
-+,1592.1967460932817,1.173404494895742,350
-+,2039.855769921266,1.116163990145839,466
-+,2621.812500897646,1.0090547124763432,564
-+,3378.35625116694,0.9880061225606672,723
-+,4361.8631265170225,0.9435559497423123,887
-+,5640.42206447213,0.9401132041763348,1168
-+,7302.548683813768,0.9483603959914502,1471
++,114.75,1.02777763894071,8
++,122.425,1.0985275254564077,13
++,129.1525,1.0244618446895517,11
++,137.89825000000002,1.0872413020702492,11
++,149.267725,1.2339503531752587,9
++,164.0480425,1.2343143519302002,16
++,183.26245525000004,1.296261101654112,22
++,208.24119182500004,1.2388184223097272,30
++,240.71354937250007,1.3613355061570622,33
++,282.9276141842501,1.3273679592024141,46
++,337.8058984395251,1.33290333099793,58
++,409.1476679713826,1.2719149408517127,77
++,501.8919683627974,1.4561754110868794,123
++,622.4595588716368,1.3830616942831364,144
++,779.1974265331277,1.3363191999490922,140
++,982.956654493066,1.3170538062407866,216
++,1247.843650840986,1.3038521890108983,292
++,1592.1967460932817,1.2753585902855318,363
++,2039.855769921266,1.103587806762595,446
++,2621.812500897646,1.047163692106959,610
++,3378.35625116694,0.9787569664187459,746
++,4361.8631265170225,0.9395020035759111,884
++,5640.42206447213,0.9386350621025044,1075
++,7302.548683813768,0.9566443515062999,1420
--,114.75,1.1301012207353185,13
--,122.425,1.017572537352938,6
--,129.1525,1.0331270669614687,13
--,137.89825000000002,1.1242164482488586,10
--,149.267725,1.080074860805364,8
--,164.0480425,1.1118421512385637,27
--,183.26245525000004,1.1711404522007147,22
--,208.24119182500004,1.1990720901767455,33
--,240.71354937250007,1.235985777006535,30
--,282.9276141842501,1.1624452151313838,51
--,337.8058984395251,1.1701817990246848,62
--,409.1476679713826,1.3452539546437343,83
--,501.8919683627974,1.259303492300399,113
--,622.4595588716368,1.3272307298188533,133
--,779.1974265331277,1.213368976850197,172
--,982.956654493066,1.228949308610211,230
--,1247.843650840986,1.2017440561519233,274
--,1592.1967460932817,1.1797458234881018,372
--,2039.855769921266,1.1087448990341469,483
--,2621.812500897646,1.0516690168195681,617
--,3378.35625116694,1.0034583597321514,721
--,4361.8631265170225,0.9700678211884936,852
--,5640.42206447213,0.9564681799514727,1091
--,7302.548683813768,0.9543025991290199,1299
all,114.75,1.1000777743254457,35
all,122.425,1.112480819938237,34
all,129.1525,1.1649668718840096,43
all,137.89825000000002,1.2019743327187946,41
all,149.267725,1.2477513758199652,42
all,164.0480425,1.2522640929152464,82
all,183.26245525000004,1.2706406028495942,84
all,208.24119182500004,1.2609465119175327,123
all,240.71354937250007,1.389832160476721,123
all,282.9276141842501,1.3804968837592235,207
all,337.8058984395251,1.3307021937586168,244
all,409.1476679713826,1.325989085843737,314
all,501.8919683627974,1.3895207980676916,452
all,622.4595588716368,1.3896232638211452,541
all,779.1974265331277,1.3184015986891577,665
all,982.956654493066,1.2811633935351643,909
all,1247.843650840986,1.2601786718659889,1193
all,1592.1967460932817,1.213118637159962,1477
all,2039.855769921266,1.11047058897762,1887
all,2621.812500897646,1.042156726278485,2392
all,3378.35625116694,0.9893583128907177,2900
all,4361.8631265170225,0.9487221510384419,3455
all,5640.42206447213,0.940548142565043,4419
all,7302.548683813768,0.9440998867928129,5417
