orientation,chr_distance,peak_score,n
+-,104.75,1.601722741687436,6
+-,112.425,1.9660578016756844,8
+-,119.1525,1.586541482159705,3
+-,127.89825,1.9985105647849422,8
+-,139.267725,1.4607036080415983,5
+-,154.0480425,1.0529693784656564,2
+-,173.26245525000004,1.3107579877339186,14
+-,198.24119182500004,1.3972979569711659,5
+-,230.71354937250007,1.6221415963611903,17
+-,272.9276141842501,1.2039301066493913,14
+-,327.8058984395251,1.059260547698848,11
+-,399.1476679713826,1.739340970216427,22
+-,491.8919683627974,1.2392293631631026,14
+-,612.4595588716368,1.4600704934032578,38
+-,769.1974265331277,1.2730847318856782,42
+-,972.956654493066,1.315788963939187,58
+-,1237.843650840986,1.1143102467131438,63
+-,1582.1967460932817,1.0188691833293868,79
+-,2029.855769921266,0.9791197136158403,91
+-,2611.812500897646,0.967113777018589,130
+-,3368.35625116694,0.9719855229316549,108
+-,4351.8631265170225,0.9812142742627089,107
+-,5630.42206447213,0.9904401334034346,71
+-,7292.548683813768,0.9999168888951743,1
-+,95.0,1.4254218132371808,11
-+,119.1525,1.1597297689906823,3
-+,139.267725,1.20129797584171,2
-+,154.0480425,1.7446810368953116,5
-+,173.26245525000004,3.2980867012337507,11
-+,198.24119182500004,1.977463551421225,18
-+,230.71354937250007,1.060234062462148,3
-+,272.9276141842501,2.001057794429888,11
-+,327.8058984395251,1.8956600928205216,14
-+,399.1476679713826,1.2740353688663382,17
-+,491.8919683627974,1.8708848523484982,28
-+,612.4595588716368,1.8504365763068005,37
-+,769.1974265331277,1.2326728784708367,39
-+,972.956654493066,1.5327399058784459,49
-+,1237.843650840986,1.167930372978717,69
-+,1582.1967460932817,1.0452157928955073,82
-+,2029.855769921266,0.9991882130698708,91
-+,2611.812500897646,0.9552977644010063,118
-+,3368.35625116694,0.9638979009395179,116
-+,4351.8631265170225,0.9769791397410966,106
-+,5630.42206447213,0.9903382896905233,61
++,104.75,1.040343763842556,2
++,112.425,1.3985254677490335,3
++,119.1525,1.3754632733572887,3
++,139.267725,1.7712886279991886,3
++,154.0480425,1.5720592478910134,8
++,173.26245525000004,1.474136794498878,5
++,198.24119182500004,1.513538080888614,11
++,230.71354937250007,1.4758190191127971,6
++,272.9276141842501,1.3800773248535996,6
++,327.8058984395251,1.6180243931960012,20
++,399.1476679713826,2.1755025830524675,15
++,491.8919683627974,1.4274435357329918,30
++,612.4595588716368,1.73163013303465,29
++,769.1974265331277,1.8556108289790525,39
++,972.956654493066,1.4765271629994619,52
++,1237.843650840986,1.2848515976281583,66
++,1582.1967460932817,1.013028182892501,84
++,2029.855769921266,0.9805596918304591,87
++,2611.812500897646,0.9547927035757273,112
++,3368.35625116694,0.9629385528579063,113
++,4351.8631265170225,0.9709382897854115,99
++,5630.42206447213,0.9834283272336382,55
++,7292.548683813768,0.9998422602848405,2
--,95.0,1.0268073306980054,3
--,112.425,1.6785980001441219,8
--,119.1525,1.0894979946701349,3
--,139.267725,1.2947600906202106,8
--,198.24119182500004,1.0976273887987824,3
--,272.9276141842501,1.8608667156522878,16
--,327.8058984395251,1.5400204901514742,26
--,399.1476679713826,1.7540204546317604,26
--,491.8919683627974,1.5100096303303419,27
--,612.4595588716368,1.4512803926848858,33
--,769.1974265331277,1.4649876445941672,44
--,972.956654493066,1.2460468059293692,44
--,1237.843650840986,1.1213961254995835,58
--,1582.1967460932817,1.0024285592114301,74
--,2029.855769921266,0.9688776319841459,96
--,2611.812500897646,0.9750923841803085,152
--,3368.35625116694,0.9686573348905602,106
--,4351.8631265170225,0.9838506914245793,96
--,5630.42206447213,0.9946899333023345,90
all,95.0,1.3974078655864075,14
all,104.75,1.5702140389247856,8
all,112.425,2.207559968814772,19
all,119.1525,1.7248362995876245,12
all,127.89825,1.9985105647849422,8
all,139.267725,1.9052425684269965,18
all,154.0480425,1.9171770224441325,15
all,173.26245525000004,2.6399766824501976,30
all,198.24119182500004,2.07687716133168,37
all,230.71354937250007,1.7926137868647007,26
all,272.9276141842501,2.090128258747565,47
all,327.8058984395251,1.8507219325704674,71
all,399.1476679713826,2.175022593090261,80
all,491.8919683627974,1.9058684866687272,99
all,612.4595588716368,1.9199928134095918,137
all,769.1974265331277,1.6663655761599074,164
all,972.956654493066,1.6277173643411575,203
all,1237.843650840986,1.3046941178470988,256
all,1582.1967460932817,1.038629383325813,319
all,2029.855769921266,0.9620078744568237,365
all,2611.812500897646,0.9228617407862966,512
all,3368.35625116694,0.916371128685595,443
all,4351.8631265170225,0.9398317788242601,408
all,5630.42206447213,0.9675190599947193,277
all,7292.548683813768,0.9997593113951613,3
