orientation,chr_distance,peak_score,n
+-,105.0,1.4792036844258447,6
+-,114.75,1.7789938696061536,8
+-,122.425,1.5711777443211783,3
+-,129.1525,1.9102365255030187,8
+-,137.89825000000002,1.4833573755951397,5
+-,164.0480425,1.0448685928284906,8
+-,183.26245525000004,1.2482713295844512,8
+-,208.24119182500004,1.7837250783176317,13
+-,240.71354937250007,1.4637537677266856,12
+-,282.9276141842501,1.2369559173840488,11
+-,337.8058984395251,1.1991124420009431,14
+-,409.1476679713826,1.7981496633617762,19
+-,501.8919683627974,1.4273070597332396,14
+-,622.4595588716368,1.7160866177730645,41
+-,779.1974265331277,1.467459362419091,39
+-,982.956654493066,1.5078018266807058,60
+-,1247.843650840986,1.3749482276411555,68
+-,1592.1967460932817,1.1523083325619492,78
+-,2039.855769921266,1.0605350505927038,89
+-,2621.812500897646,0.9804408515498816,129
+-,3378.35625116694,0.9700599563507271,106
+-,4361.8631265170225,0.9581261158910158,109
+-,5640.42206447213,0.9833656469881138,68
+-,7302.548683813768,0.9995932415813558,1
-+,122.425,1.2195205417442418,3
-+,137.89825000000002,1.2747495304024417,2
-+,164.0480425,2.124871879283293,10
-+,183.26245525000004,2.2182119752162257,9
-+,208.24119182500004,1.7385955858047977,15
-+,240.71354937250007,1.6379590321178308,10
-+,282.9276141842501,1.7455975221197755,7
-+,337.8058984395251,1.7857485582930575,11
-+,409.1476679713826,1.6149521234963744,19
-+,501.8919683627974,2.0107478262025826,29
-+,622.4595588716368,2.2008598828699477,36
-+,779.1974265331277,1.4261183452503965,44
-+,982.956654493066,1.5524145759891537,44
-+,1247.843650840986,1.436769921959271,69
-+,1592.1967460932817,1.3273426580137822,80
-+,2039.855769921266,1.1957630521144322,94
-+,2621.812500897646,1.0050391189015397,117
-+,3378.35625116694,0.9773475258501716,114
-+,4361.8631265170225,0.9645866776395964,106
-+,5640.42206447213,0.9827312297701516,61
++,105.0,1.0302945419358307,2
++,114.75,1.1090501946830111,3
++,122.425,1.1342314179821527,3
++,137.89825000000002,1.7160854338837934,3
++,149.267725,1.3681613902431866,5
++,164.0480425,1.53324686225332,5
++,183.26245525000004,1.3335402469479116,6
++,208.24119182500004,1.4218855923479874,10
++,240.71354937250007,1.5512984820067581,4
++,282.9276141842501,1.4956044270626743,8
++,337.8058984395251,1.9493155831565008,21
++,409.1476679713826,2.356077564258899,12
++,501.8919683627974,1.8289250890669342,34
++,622.4595588716368,1.8077345671992862,27
++,779.1974265331277,1.8879274885741912,39
++,982.956654493066,1.8186716079282412,54
++,1247.843650840986,1.6432721731579545,64
++,1592.1967460932817,1.2330186359232767,84
++,2039.855769921266,1.1475732203782285,89
++,2621.812500897646,0.9762817959437551,111
++,3378.35625116694,0.9595146573592085,111
++,4361.8631265170225,0.9490678841726584,98
++,5640.42206447213,0.9809353148494654,55
++,7302.548683813768,0.9991802271184114,2
--,114.75,1.3455459958528968,8
--,122.425,0.966624422991228,3
--,137.89825000000002,1.1181252946905422,8
--,208.24119182500004,1.16372103884477,3
--,240.71354937250007,1.2454058947389133,5
--,282.9276141842501,1.672844702851004,14
--,337.8058984395251,1.550228962660706,26
--,409.1476679713826,1.7528478776976693,29
--,501.8919683627974,1.4329119439418805,23
--,622.4595588716368,1.6784972769726085,33
--,779.1974265331277,1.6472720870222597,42
--,982.956654493066,1.367203805559873,44
--,1247.843650840986,1.459251346885442,60
--,1592.1967460932817,1.1719285517445976,72
--,2039.855769921266,1.008480962483116,98
--,2621.812500897646,1.0296462415721326,154
--,3378.35625116694,0.9756793969159119,103
--,4361.8631265170225,0.9759584192332977,96
--,5640.42206447213,0.9879844809330331,89
all,105.0,1.4733205026642706,8
all,114.75,1.803871140699145,19
all,122.425,1.5728026436994367,12
all,129.1525,1.9102365255030187,8
all,137.89825000000002,1.8258455463800707,18
all,149.267725,1.3681613902431866,5
all,164.0480425,1.8768775254881271,23
all,183.26245525000004,2.1152140348936266,23
all,208.24119182500004,2.0086370810410763,41
all,240.71354937250007,2.0119132433623466,31
all,282.9276141842501,2.0137573471334025,40
all,337.8058984395251,1.986458485397447,72
all,409.1476679713826,2.342897177939208,79
all,501.8919683627974,2.0931841343397846,100
all,622.4595588716368,2.2413368987551783,137
all,779.1974265331277,1.889287567649892,164
all,982.956654493066,1.8369977590457247,202
all,1247.843650840986,1.7163114306167637,261
all,1592.1967460932817,1.3555263574904275,314
all,2039.855769921266,1.162993761308051,370
all,2621.812500897646,0.9988331591935107,511
all,3378.35625116694,0.9380088427033625,434
all,4361.8631265170225,0.9052560992652203,409
all,5640.42206447213,0.9508809184485723,273
all,7302.548683813768,0.9987759284186652,3
