orientation,chr_distance,peak_score
+-,42.5,2.84661118240133
+-,66.25,4.862458703753067
+-,80.0,4.379432795243063
+-,96.25,4.9795045950135135
+-,117.5,5.199798684968151
+-,146.25,5.112763595057727
+-,182.5,7.2378587530214755
+-,230.0,3.5035381052566072
+-,292.5,4.01346749768912
+-,372.5,5.2885088937274585
+-,476.25,1.969295195606706
+-,612.5,3.387032778734259
+-,790.0,3.056406518863465
+-,1018.75,1.6059963288465817
+-,1316.25,1.0303992473032426
+-,1705.0,0.9753986634089256
+-,2210.0,0.9785635936581178
+-,2865.0,0.9828015199374411
+-,3717.5,0.9880830568523932
+-,4826.25,0.9995280735449903
-+,48.75,0.9385365690776537
-+,56.25,1.046961512061996
-+,66.25,0.8687730515783088
-+,80.0,1.1053775110774788
-+,96.25,1.3114511066120613
-+,117.5,1.422665266610073
-+,146.25,1.1796809400214714
-+,182.5,1.4513165149315037
-+,230.0,1.3609970541665928
-+,292.5,1.355380604537253
-+,372.5,0.9597704957303803
-+,476.25,1.3467677965627627
-+,612.5,1.0867517992215792
-+,790.0,0.9933458682949496
-+,1018.75,0.9473856855764748
-+,1316.25,0.9640133442283877
-+,1705.0,0.9820140325480882
-+,2210.0,0.9799302600718908
-+,2865.0,0.9885960012761962
-+,3717.5,0.9960463789486486
-+,4826.25,0.9997083934407978
++,38.75,1.4638809786642883
++,48.75,1.2915395088456485
++,56.25,1.7879421280679249
++,66.25,1.579476632614431
++,117.5,1.9278286159077043
++,146.25,2.685793676452946
++,182.5,3.111869803253612
++,230.0,1.5550706792255753
++,292.5,2.006929591032699
++,372.5,1.184059369565688
++,476.25,1.177296354742662
++,612.5,1.7309086876921809
++,790.0,1.0828706037941078
++,1018.75,1.0433660433577034
++,1316.25,0.9616131795544538
++,1705.0,0.9778595745470463
++,2210.0,0.9859293270075011
++,2865.0,0.9901865592961282
++,3717.5,0.993532837624993
++,4826.25,0.9997749343539771
--,66.25,1.7983669175983328
--,96.25,2.006429270322694
--,117.5,3.128126131181589
--,146.25,1.3689952151915572
--,182.5,2.3833986618903364
--,230.0,2.6444315700492185
--,292.5,2.8819135152726263
--,372.5,2.4943119945611323
--,476.25,1.936325454594125
--,612.5,2.396113803501444
--,790.0,1.3196892860424425
--,1018.75,1.0870779899598326
--,1316.25,0.9684479591543655
--,1705.0,0.9760964330371291
--,2210.0,0.9838180604975915
--,2865.0,0.9792204689921603
--,3717.5,0.9931264870755445
--,4826.25,0.9996765257926087
all,38.75,1.4638809786642883
all,42.5,2.84661118240133
all,48.75,1.110127195018343
all,56.25,1.6268181536505646
all,66.25,2.890680530400318
all,80.0,2.8710291401235115
all,96.25,3.3002038770383386
all,117.5,3.85085630191479
all,146.25,3.6305850014525154
all,182.5,4.9097810253430865
all,230.0,2.862899257071389
all,292.5,3.1907929930763332
all,372.5,3.65450358464767
all,476.25,2.1795719867132783
all,612.5,2.499098744460861
all,790.0,1.847146307776618
all,1018.75,1.3414112308360018
all,1316.25,0.9445914027756775
all,1705.0,0.8934390029766534
all,2210.0,0.8971478039714741
all,2865.0,0.8950384941167997
all,3717.5,0.9340111325846422
all,4826.25,0.9949491421544785
