orientation,chr_distance,peak_score,n
+-,105.0,1.0262385606115711,6
+-,114.75,1.1291738938887597,8
+-,122.425,1.0335853224809954,3
+-,129.1525,1.0982774210650061,8
+-,137.89825000000002,1.0436177809446592,5
+-,164.0480425,1.0683933945315938,8
+-,183.26245525000004,1.1519541865017175,8
+-,208.24119182500004,1.2280356686003047,13
+-,240.71354937250007,1.1206352637101316,12
+-,282.9276141842501,1.193819490854929,11
+-,337.8058984395251,1.1685106190266237,14
+-,409.1476679713826,1.2463554771457246,19
+-,501.8919683627974,1.170033930243627,14
+-,622.4595588716368,1.375671436786867,41
+-,779.1974265331277,1.2661758959856217,39
+-,982.956654493066,1.264578546308922,60
+-,1247.843650840986,1.1989679430484887,68
+-,1592.1967460932817,1.102920475670555,78
+-,2039.855769921266,1.0847243667162942,89
+-,2621.812500897646,1.0199915378281967,129
+-,3378.35625116694,0.9983071889503259,106
+-,4361.8631265170225,0.9810556525471603,109
+-,5640.42206447213,0.9798160503964362,68
+-,7302.548683813768,0.9997767542434163,1
-+,95.0,0.9622447571735924,11
-+,122.425,1.038952996228732,3
-+,137.89825000000002,1.0652553253463841,2
-+,164.0480425,1.1593643147258388,10
-+,183.26245525000004,1.1449513899529271,9
-+,208.24119182500004,1.2535809918087728,15
-+,240.71354937250007,1.2013170476796606,10
-+,282.9276141842501,1.229618207451761,7
-+,337.8058984395251,1.2793650757573172,11
-+,409.1476679713826,1.1892525330541086,19
-+,501.8919683627974,1.1835953155936956,29
-+,622.4595588716368,1.535772599389123,36
-+,779.1974265331277,1.1830761061287374,44
-+,982.956654493066,1.3188326959530061,44
-+,1247.843650840986,1.3057399744542855,69
-+,1592.1967460932817,1.2770790960129843,80
-+,2039.855769921266,1.1382459046437354,94
-+,2621.812500897646,1.102619843150284,117
-+,3378.35625116694,0.9889271880550687,114
-+,4361.8631265170225,0.9916716941138359,106
-+,5640.42206447213,0.9881233352248682,61
++,105.0,0.9777246586989105,2
++,114.75,1.0833526420466022,3
++,122.425,1.1051442052974252,3
++,137.89825000000002,1.0890153087056371,3
++,149.267725,1.0115213826293785,5
++,164.0480425,1.0335516281363277,5
++,183.26245525000004,1.0445187452315445,6
++,208.24119182500004,1.0885415208076072,10
++,240.71354937250007,1.1337570555102916,4
++,282.9276141842501,1.2722416749163317,8
++,337.8058984395251,1.1918738927750563,21
++,409.1476679713826,1.2155910034281232,12
++,501.8919683627974,1.244811854274733,34
++,622.4595588716368,1.2547763788731359,27
++,779.1974265331277,1.2704284972673325,39
++,982.956654493066,1.2575364754059302,54
++,1247.843650840986,1.2817788841620654,64
++,1592.1967460932817,1.1948947302456618,84
++,2039.855769921266,1.1317805480623822,89
++,2621.812500897646,1.0493193334352982,111
++,3378.35625116694,1.0082690086621398,111
++,4361.8631265170225,0.9858122603245156,98
++,5640.42206447213,0.9849809615577982,55
++,7302.548683813768,0.9996103142393861,2
--,95.0,1.036094191576705,3
--,114.75,1.1673551823712276,8
--,122.425,0.9800714759807249,3
--,137.89825000000002,1.0737687159889615,8
--,208.24119182500004,1.101697894128292,3
--,240.71354937250007,1.0918599433146337,5
--,282.9276141842501,1.1711652283753606,14
--,337.8058984395251,1.2109468378507522,26
--,409.1476679713826,1.2431548933131664,29
--,501.8919683627974,1.4576584913330626,23
--,622.4595588716368,1.3648314777107817,33
--,779.1974265331277,1.3491541167147263,42
--,982.956654493066,1.2727725979133875,44
--,1247.843650840986,1.3659344333822605,60
--,1592.1967460932817,1.1796984229822487,72
--,2039.855769921266,1.1240008944866233,98
--,2621.812500897646,1.0991843098553158,154
--,3378.35625116694,0.9818839400352307,103
--,4361.8631265170225,0.9774108857481716,96
--,5640.42206447213,0.9794372288982041,89
all,95.0,0.9977959862029738,14
all,105.0,1.0194170665559694,8
all,114.75,1.2498053532902655,19
all,122.425,1.1157263199649015,12
all,129.1525,1.0982774210650061,8
all,137.89825000000002,1.1566104309887597,18
all,149.267725,1.0115213826293785,5
all,164.0480425,1.1665644758010485,23
all,183.26245525000004,1.2154020811206345,23
all,208.24119182500004,1.340834133821725,41
all,240.71354937250007,1.2995265409801866,31
all,282.9276141842501,1.405938620252738,40
all,337.8058984395251,1.344040770944142,72
all,409.1476679713826,1.3568498718142994,79
all,501.8919683627974,1.418466242288841,100
all,622.4595588716368,1.5658942566454688,137
all,779.1974265331277,1.3815906698408398,164
all,982.956654493066,1.3913718601969074,202
all,1247.843650840986,1.3932488637148204,261
all,1592.1967460932817,1.2661154484482289,314
all,2039.855769921266,1.1686969214790155,370
all,2621.812500897646,1.097240679874094,511
all,3378.35625116694,0.9903151335217286,434
all,4361.8631265170225,0.9697463225362382,409
all,5640.42206447213,0.9570095784280351,273
all,7302.548683813768,0.9993883616863324,3
