lifetime, velocity, clife, cof,sep, fripscore
1000.0,1,11.43,0.6,100,0.05580533
1000.0,1,11.43,0.6,300,0.05505387878787879
1500.0,1,11.43,0.6,100,0.05297475
1500.0,1,11.43,0.6,300,0.047986242424242424
500.0,1,11.43,0.6,100,0.04950507
500.0,1,11.43,0.6,300,0.049633727272727274
1000.0,1,11.43,1.27,100,0.03135094
1000.0,1,11.43,1.27,300,0.03561354545454545
1500.0,1,11.43,1.27,100,0.03571188
1500.0,1,11.43,1.27,300,0.031969757575757575
500.0,1,11.43,1.27,100,0.03779365
500.0,1,11.43,1.27,300,0.03719318181818182
1000.0,1,11.43,1.2,100,0.04104426
1000.0,1,11.43,1.2,300,0.036614575757575755
1500.0,1,11.43,1.2,100,0.04492576
1500.0,1,11.43,1.2,300,0.03806375757575758
500.0,1,11.43,1.2,100,0.03784127
500.0,1,11.43,1.2,300,0.04010684848484849
1000.0,1,11.43,102.87,100,0.01193813
1000.0,1,11.43,102.87,300,0.011105727272727272
1500.0,1,11.43,102.87,100,0.01346954
1500.0,1,11.43,102.87,300,0.00955521212121212
500.0,1,11.43,102.87,100,0.01114345
500.0,1,11.43,102.87,300,0.01281490909090909
1000.0,1,11.43,106.66,100,0.0097207
1000.0,1,11.43,106.66,300,0.009626060606060607
1500.0,1,11.43,106.66,100,0.01009596
1500.0,1,11.43,106.66,300,0.012217939393939394
500.0,1,11.43,106.66,100,0.01035026
500.0,1,11.43,106.66,300,0.011351212121212121
1000.0,1,11.43,11.43,100,0.01852029
1000.0,1,11.43,11.43,300,0.01989390909090909
1500.0,1,11.43,11.43,100,0.02053713
1500.0,1,11.43,11.43,300,0.01935890909090909
500.0,1,11.43,11.43,100,0.01884537
500.0,1,11.43,11.43,300,0.019989242424242423
1000.0,1,11.43,17.14,100,0.01664504
1000.0,1,11.43,17.14,300,0.016313333333333332
1500.0,1,11.43,17.14,100,0.01845189
1500.0,1,11.43,17.14,300,0.020256030303030303
500.0,1,11.43,17.14,100,0.01578559
500.0,1,11.43,17.14,300,0.017324272727272726
1000.0,1,11.43,2.86,100,0.02993929
1000.0,1,11.43,2.86,300,0.029492424242424244
1500.0,1,11.43,2.86,100,0.02908908
1500.0,1,11.43,2.86,300,0.03150881818181818
500.0,1,11.43,2.86,100,0.02926589
500.0,1,11.43,2.86,300,0.029021121212121213
1000.0,1,11.43,26.67,100,0.01625331
1000.0,1,11.43,26.67,300,0.014170151515151516
1500.0,1,11.43,26.67,100,0.01631461
1500.0,1,11.43,26.67,300,0.016524969696969698
500.0,1,11.43,26.67,100,0.01493239
500.0,1,11.43,26.67,300,0.01630748484848485
1000.0,1,11.43,4.9,100,0.02170781
1000.0,1,11.43,4.9,300,0.021828424242424243
1500.0,1,11.43,4.9,100,0.02783068
1500.0,1,11.43,4.9,300,0.024870333333333335
500.0,1,11.43,4.9,100,0.0261277
500.0,1,11.43,4.9,300,0.02618112121212121
1000.0,1,11.43,45.71,100,0.01536251
1000.0,1,11.43,45.71,300,0.011814424242424243
1500.0,1,11.43,45.71,100,0.01124626
1500.0,1,11.43,45.71,300,0.01479460606060606
500.0,1,11.43,45.71,100,0.01281821
500.0,1,11.43,45.71,300,0.013135090909090909
