lifetime, velocity, clife, cof,sep, fripscore
500.0,1,1.0,1.0,500,0.0109948
500.0,1,1.0,1.5,500,0.01069845
500.0,1,1.0,100000.0,500,0.00932145
500.0,1,1.0,15.0,500,0.0088653
500.0,1,1.0,150.0,500,0.0089273
500.0,1,1.0,1500.0,500,0.00954235
500.0,1,1.0,15000.0,500,0.00904025
500.0,1,1.0,150000.0,500,0.0095833
500.0,1,1.0,3.0,500,0.0103635
500.0,1,1.0,5.0,500,0.01105325
500.0,1,1.0,50.0,500,0.0088418
500.0,1,1.0,500.0,500,0.00959635
500.0,1,1.0,5000.0,500,0.0097819
500.0,1,1.0,50000.0,500,0.0089021
500.0,1,1.0,500000.0,500,0.0090528
500.0,1,1.5,1.0,500,0.0122143
500.0,1,1.5,1.5,500,0.0127365
500.0,1,1.5,100000.0,500,0.00929415
500.0,1,1.5,15.0,500,0.01031035
500.0,1,1.5,150.0,500,0.00883155
500.0,1,1.5,1500.0,500,0.0090761
500.0,1,1.5,15000.0,500,0.01008285
500.0,1,1.5,150000.0,500,0.0087801
500.0,1,1.5,3.0,500,0.0109153
500.0,1,1.5,5.0,500,0.0102977
500.0,1,1.5,50.0,500,0.00912025
500.0,1,1.5,500.0,500,0.0093119
500.0,1,1.5,5000.0,500,0.00940545
500.0,1,1.5,50000.0,500,0.00930855
500.0,1,1.5,500000.0,500,0.01018255
500.0,1,100000.0,1.0,500,0.47392635
500.0,1,100000.0,1.5,500,0.4939401
500.0,1,100000.0,100000.0,500,0.29574585
500.0,1,100000.0,15.0,500,0.4814118
500.0,1,100000.0,150.0,500,0.48643335
500.0,1,100000.0,1500.0,500,0.4748838
500.0,1,100000.0,15000.0,500,0.44203415
500.0,1,100000.0,150000.0,500,0.2273603
500.0,1,100000.0,3.0,500,0.46057295
500.0,1,100000.0,5.0,500,0.468491
500.0,1,100000.0,50.0,500,0.47636635
500.0,1,100000.0,500.0,500,0.47951495
500.0,1,100000.0,5000.0,500,0.464794
500.0,1,100000.0,50000.0,500,0.3735832
500.0,1,100000.0,500000.0,500,0.10317565
500.0,1,15.0,1.0,500,0.0465049
500.0,1,15.0,1.5,500,0.04193695
500.0,1,15.0,100000.0,500,0.0085328
500.0,1,15.0,15.0,500,0.02166645
500.0,1,15.0,150.0,500,0.01168485
500.0,1,15.0,1500.0,500,0.0097036
500.0,1,15.0,15000.0,500,0.00976215
500.0,1,15.0,150000.0,500,0.00904385
500.0,1,15.0,3.0,500,0.03525745
500.0,1,15.0,5.0,500,0.0335065
500.0,1,15.0,50.0,500,0.01552375
500.0,1,15.0,500.0,500,0.00987505
500.0,1,15.0,5000.0,500,0.0100016
500.0,1,15.0,50000.0,500,0.0091496
500.0,1,15.0,500000.0,500,0.01043455
500.0,1,150.0,1.0,500,0.2386106
500.0,1,150.0,1.5,500,0.21770235
500.0,1,150.0,100000.0,500,0.0106604
500.0,1,150.0,15.0,500,0.16192025
500.0,1,150.0,150.0,500,0.0949006
500.0,1,150.0,1500.0,500,0.0245876
500.0,1,150.0,15000.0,500,0.01111435
500.0,1,150.0,150000.0,500,0.0103464
500.0,1,150.0,3.0,500,0.19303825
500.0,1,150.0,5.0,500,0.1853102
500.0,1,150.0,50.0,500,0.134894
500.0,1,150.0,500.0,500,0.046496
500.0,1,150.0,5000.0,500,0.0143481
500.0,1,150.0,50000.0,500,0.00985565
500.0,1,150.0,500000.0,500,0.010108
500.0,1,1500.0,1.0,500,0.43101775
500.0,1,1500.0,1.5,500,0.4280115
500.0,1,1500.0,100000.0,500,0.01996945
500.0,1,1500.0,15.0,500,0.4144664
500.0,1,1500.0,150.0,500,0.3899211
500.0,1,1500.0,1500.0,500,0.23603225
500.0,1,1500.0,15000.0,500,0.0543178
500.0,1,1500.0,150000.0,500,0.0113718
500.0,1,1500.0,3.0,500,0.4053509
500.0,1,1500.0,5.0,500,0.41466675
500.0,1,1500.0,50.0,500,0.4040585
500.0,1,1500.0,500.0,500,0.33574105
500.0,1,1500.0,5000.0,500,0.14146015
500.0,1,1500.0,50000.0,500,0.0249932
500.0,1,1500.0,500000.0,500,0.0113107
500.0,1,15000.0,1.0,500,0.47777195
500.0,1,15000.0,1.5,500,0.4577263
500.0,1,15000.0,100000.0,500,0.1147765
500.0,1,15000.0,15.0,500,0.450701
500.0,1,15000.0,150.0,500,0.4741874
500.0,1,15000.0,1500.0,500,0.44025435
500.0,1,15000.0,15000.0,500,0.28657485
500.0,1,15000.0,150000.0,500,0.07621875
500.0,1,15000.0,3.0,500,0.4690285
500.0,1,15000.0,5.0,500,0.4698781
500.0,1,15000.0,50.0,500,0.4825011
500.0,1,15000.0,500.0,500,0.4470686
500.0,1,15000.0,5000.0,500,0.38218575
500.0,1,15000.0,50000.0,500,0.1584096
500.0,1,15000.0,500000.0,500,0.0288369
500.0,1,150000.0,1.0,500,0.47541145
500.0,1,150000.0,1.5,500,0.48075305
500.0,1,150000.0,100000.0,500,0.343007
500.0,1,150000.0,15.0,500,0.47900265
500.0,1,150000.0,150.0,500,0.46473205
500.0,1,150000.0,1500.0,500,0.4669535
500.0,1,150000.0,15000.0,500,0.43921795
500.0,1,150000.0,150000.0,500,0.29944015
500.0,1,150000.0,3.0,500,0.47887145
500.0,1,150000.0,5.0,500,0.4728714
500.0,1,150000.0,50.0,500,0.4684542
500.0,1,150000.0,500.0,500,0.457437
500.0,1,150000.0,5000.0,500,0.4705943
500.0,1,150000.0,50000.0,500,0.38270835
500.0,1,150000.0,500000.0,500,0.1312407
500.0,1,3.0,1.0,500,0.01715405
