lifetime, velocity, separation, clife, cof, face, fripscore
1500.0,1,100,15.0,15.0,0.0,0.01088321
1500.0,3,100,15.0,15.0,0.0,0.00609902
1500.0,1,300,15.0,15.0,0.0,0.010038909090909091
1500.0,3,300,15.0,15.0,0.0,0.010469151515151515
1500.0,1,500,15.0,15.0,0.0,0.0082864
1500.0,3,500,15.0,15.0,0.0,0.00586255
500.0,1,100,15.0,15.0,0.0,0.01020421
500.0,3,100,15.0,15.0,0.0,0.01024277
500.0,1,300,15.0,15.0,0.0,0.00948221212121212
500.0,3,300,15.0,15.0,0.0,0.009052090909090909
500.0,1,500,15.0,15.0,0.0,0.0112494
500.0,3,500,15.0,15.0,0.0,0.00848875
1500.0,0.33,100,10.0,1.0,0.1,0.01019756
1500.0,1,100,10.0,1.0,0.1,0.00867101
1500.0,3,100,10.0,1.0,0.1,0.00964057
166.0,0.33,100,10.0,1.0,0.1,0.00996699
166.0,1,100,10.0,1.0,0.1,0.00956564
166.0,3,100,10.0,1.0,0.1,0.00959228
500.0,0.33,100,10.0,1.0,0.1,0.00982342
500.0,1,100,10.0,1.0,0.1,0.01050238
500.0,3,100,10.0,1.0,0.1,0.00888049
1500.0,0.33,100,10.0,150.0,0.1,0.01070734
1500.0,1,100,10.0,150.0,0.1,0.00930849
1500.0,3,100,10.0,150.0,0.1,0.01475556
166.0,0.33,100,10.0,150.0,0.1,0.01015428
166.0,1,100,10.0,150.0,0.1,0.00961591
166.0,3,100,10.0,150.0,0.1,0.00952273
500.0,0.33,100,10.0,150.0,0.1,0.01029128
500.0,1,100,10.0,150.0,0.1,0.00892211
500.0,3,100,10.0,150.0,0.1,0.00914558
1500.0,0.33,100,10.0,3.0,0.1,0.01052192
1500.0,1,100,10.0,3.0,0.1,0.00852699
1500.0,3,100,10.0,3.0,0.1,0.01389593
166.0,0.33,100,10.0,3.0,0.1,0.01034452
166.0,1,100,10.0,3.0,0.1,0.00979628
166.0,3,100,10.0,3.0,0.1,0.00822988
500.0,0.33,100,10.0,3.0,0.1,0.01023887
500.0,1,100,10.0,3.0,0.1,0.00973116
500.0,3,100,10.0,3.0,0.1,0.00734107
1500.0,1,100,15.0,15.0,0.1,0.01327439
1500.0,3,100,15.0,15.0,0.1,0.00774672
1500.0,1,300,15.0,15.0,0.1,0.011186151515151515
1500.0,3,300,15.0,15.0,0.1,0.01889148484848485
1500.0,1,500,15.0,15.0,0.1,0.01046695
1500.0,3,500,15.0,15.0,0.1,0.0187179
500.0,1,100,15.0,15.0,0.1,0.00845417
500.0,3,100,15.0,15.0,0.1,0.01247617
500.0,1,300,15.0,15.0,0.1,0.010476424242424242
500.0,3,300,15.0,15.0,0.1,0.011546545454545455
500.0,1,500,15.0,15.0,0.1,0.01075895
500.0,3,500,15.0,15.0,0.1,0.0074383
1500.0,0.33,100,1500.0,1.0,0.1,0.01002928
1500.0,1,100,1500.0,1.0,0.1,0.00975966
1500.0,3,100,1500.0,1.0,0.1,0.00921936
166.0,0.33,100,1500.0,1.0,0.1,0.01019517
166.0,1,100,1500.0,1.0,0.1,0.00959742
166.0,3,100,1500.0,1.0,0.1,0.01003296
500.0,0.33,100,1500.0,1.0,0.1,0.01020166
500.0,1,100,1500.0,1.0,0.1,0.0103709
500.0,3,100,1500.0,1.0,0.1,0.00759526
1500.0,0.33,100,1500.0,150.0,0.1,0.01055698
1500.0,1,100,1500.0,150.0,0.1,0.00926057
1500.0,3,100,1500.0,150.0,0.1,0.01237676
166.0,0.33,100,1500.0,150.0,0.1,0.01019044
166.0,1,100,1500.0,150.0,0.1,0.00952598
166.0,3,100,1500.0,150.0,0.1,0.00964865
500.0,0.33,100,1500.0,150.0,0.1,0.01034084
500.0,1,100,1500.0,150.0,0.1,0.01006213
500.0,3,100,1500.0,150.0,0.1,0.01016228
1500.0,0.33,100,1500.0,3.0,0.1,0.00970461
1500.0,1,100,1500.0,3.0,0.1,0.00766221
1500.0,3,100,1500.0,3.0,0.1,0.00673461
166.0,0.33,100,1500.0,3.0,0.1,0.01011925
166.0,1,100,1500.0,3.0,0.1,0.01005654
166.0,3,100,1500.0,3.0,0.1,0.00975161
500.0,0.33,100,1500.0,3.0,0.1,0.01018916
500.0,1,100,1500.0,3.0,0.1,0.0099997
500.0,3,100,1500.0,3.0,0.1,0.0077386
1500.0,0.33,100,30.0,1.0,0.1,0.01024211
1500.0,1,100,30.0,1.0,0.1,0.00904315
1500.0,3,100,30.0,1.0,0.1,0.01521049
166.0,0.33,100,30.0,1.0,0.1,0.01019685
166.0,1,100,30.0,1.0,0.1,0.00987433
166.0,3,100,30.0,1.0,0.1,0.0092087
500.0,0.33,100,30.0,1.0,0.1,0.01015008
500.0,1,100,30.0,1.0,0.1,0.01119849
500.0,3,100,30.0,1.0,0.1,0.00772037
1500.0,0.33,100,30.0,150.0,0.1,0.0095548
1500.0,1,100,30.0,150.0,0.1,0.00980757
1500.0,3,100,30.0,150.0,0.1,0.01016011
166.0,0.33,100,30.0,150.0,0.1,0.01021368
166.0,1,100,30.0,150.0,0.1,0.00977229
166.0,3,100,30.0,150.0,0.1,0.00926846
500.0,0.33,100,30.0,150.0,0.1,0.00970639
500.0,1,100,30.0,150.0,0.1,0.00973219
500.0,3,100,30.0,150.0,0.1,0.0079734
1500.0,0.33,100,30.0,3.0,0.1,0.01010635
1500.0,1,100,30.0,3.0,0.1,0.00855425
1500.0,3,100,30.0,3.0,0.1,0.00768523
166.0,0.33,100,30.0,3.0,0.1,0.01005209
166.0,1,100,30.0,3.0,0.1,0.01004247
166.0,3,100,30.0,3.0,0.1,0.00940548
500.0,0.33,100,30.0,3.0,0.1,0.0102741
500.0,1,100,30.0,3.0,0.1,0.00956958
500.0,3,100,30.0,3.0,0.1,0.00664764
1500.0,1,100,15.0,15.0,0.2,0.00872265
1500.0,3,100,15.0,15.0,0.2,0.01031748
1500.0,1,300,15.0,15.0,0.2,0.010748242424242424
1500.0,3,300,15.0,15.0,0.2,0.012939272727272728
1500.0,1,500,15.0,15.0,0.2,0.00816975
1500.0,3,500,15.0,15.0,0.2,0.0091773
500.0,1,100,15.0,15.0,0.2,0.00932316
500.0,3,100,15.0,15.0,0.2,0.01456152
500.0,1,300,15.0,15.0,0.2,0.010221242424242424
500.0,3,300,15.0,15.0,0.2,0.011047363636363636
500.0,1,500,15.0,15.0,0.2,0.0097402
500.0,3,500,15.0,15.0,0.2,0.0108431
1500.0,0.33,100,10.0,1.0,0.3,0.01404176
1500.0,1,100,10.0,1.0,0.3,0.00994115
1500.0,3,100,10.0,1.0,0.3,0.01473056
166.0,0.33,100,10.0,1.0,0.3,0.01251339
166.0,1,100,10.0,1.0,0.3,0.01033448
166.0,3,100,10.0,1.0,0.3,0.00992672
500.0,0.33,100,10.0,1.0,0.3,0.01258308
500.0,1,100,10.0,1.0,0.3,0.00955076
500.0,3,100,10.0,1.0,0.3,0.01058584
1500.0,0.33,100,10.0,150.0,0.3,0.01240592
1500.0,1,100,10.0,150.0,0.3,0.0088887
1500.0,3,100,10.0,150.0,0.3,0.00825909
166.0,0.33,100,10.0,150.0,0.3,0.01250347
166.0,1,100,10.0,150.0,0.3,0.01029304
166.0,3,100,10.0,150.0,0.3,0.00976618
500.0,0.33,100,10.0,150.0,0.3,0.0124337
500.0,1,100,10.0,150.0,0.3,0.00990067
500.0,3,100,10.0,150.0,0.3,0.00902485
1500.0,0.33,100,10.0,3.0,0.3,0.01280807
1500.0,1,100,10.0,3.0,0.3,0.01018375
1500.0,3,100,10.0,3.0,0.3,0.01189497
166.0,0.33,100,10.0,3.0,0.3,0.01240882
