life,vel,clife,cof,loopmean,loopstd
500.0,1,300.0,100.0,785.2427033703704,900.0175347622492
500.0,3,150.0,10000.0,3057.307792296296,3091.1419228189143
1500.0,3,50000.0,100.0,596.6452391851852,1589.1617485260758
1500.0,3,1.0,100.0,8903.482720148148,8057.324392463342
1500.0,3,0.5,30.0,8378.47432625926,7651.31416773535
500.0,1,50000.0,15.0,255.08275274074077,118.64634976148456
1500.0,1,100.0,100.0,2985.187826092593,3048.573016261229
500.0,3,1.5,30.0,3018.418902074074,2980.6586258163693
500.0,3,3.0,50.0,2993.329248833333,2926.3886084111464
500.0,1,50.0,5000.0,983.9708034074074,969.50902953557
500.0,1,150000.0,1.5,247.90788135185184,91.45505752871549
1500.0,3,1500.0,5000.0,7553.05616937037,7398.714400111808
500.0,3,300.0,15000.0,3015.439597425926,3044.0265976441347
1500.0,3,5000.0,15.0,2513.488496574074,4955.829630229408
500.0,3,3.0,300.0,3085.7973964444445,3100.7310185772803
1500.0,3,0.15,1.0,8941.428127555555,7948.419175959106
500.0,3,150.0,0.15,1617.8226859444444,2259.802473131919
500.0,1,500.0,1.0,497.475054037037,605.7739156170048
500.0,3,50000.0,300.0,323.64365644444445,371.3226390028998
500.0,3,500.0,0.3,1226.8769417777778,2124.7996221822077
500.0,3,3000.0,150.0,804.541305611111,1453.950357983205
500.0,3,1.5,5000.0,2835.3309629444443,2772.017702676132
500.0,3,15.0,50.0,3040.6595891481484,2993.733285246243
1500.0,1,150000.0,5.0,304.522944962963,264.9786865571001
1500.0,1,100.0,500.0,2974.7527445185187,3081.9581267245994
1500.0,3,1500.0,50.0,4017.830051685185,5791.8686551644905
1500.0,3,50000.0,500.0,723.4804987037037,1883.8319137239596
1500.0,3,1.0,500.0,8529.131821703704,7805.174197948741
500.0,1,50.0,0.15,684.4903466666667,799.7034128332018
1500.0,3,100.0,1000.0,8425.899084592593,7868.100793497376
500.0,1,300.0,500.0,893.3797952407407,946.4853687946448
500.0,3,1500.0,1.0,856.1695948888889,1539.5165408597122
500.0,3,300.0,150.0,2275.015453407407,2747.16516647266
500.0,3,150.0,5000.0,2934.7079508703705,2851.325649827632
1500.0,3,100.0,150.0,8560.707377018518,7787.560050789435
500.0,1,150000.0,500.0,253.62091092592595,123.52105440831026
500.0,3,10.0,50000.0,3047.642503425926,3000.0485006158947
1500.0,1,1500.0,5000.0,2754.356151481481,3004.6956974217014
500.0,3,50.0,0.3,2648.262515685185,2974.640047672734
500.0,1,300.0,15000.0,1000.2938657407408,1019.2526759454896
1500.0,1,5000.0,500.0,1154.5821227777778,1804.3855651089088
500.0,3,1.0,150.0,2976.8492826666666,2819.110991156927
500.0,1,150.0,10000.0,989.4334809814816,1009.5554646825158
1500.0,1,50000.0,100.0,363.59513646296296,501.3968677237755
500.0,3,1000.0,0.5,924.9106958703704,1572.7527560270833
500.0,1,15.0,1.0,954.6302916111111,969.0764542095905
500.0,1,500.0,15.0,626.8607851851851,777.4294178957924
1500.0,1,50000.0,500.0,409.89101764814814,644.0384566058392
1500.0,3,3.0,15.0,8887.905107092593,8008.350224039375
1500.0,1,0.3,0.15,3129.743800777778,3138.478417192895
1500.0,3,5000.0,0.5,1256.048624851852,2509.4973885754207
1500.0,1,5000.0,100.0,937.1061693148148,1614.921149462082
1500.0,1,0.5,50000.0,2900.092473,2869.878721681128
1500.0,1,100.0,15.0,2915.57818012963,3038.0321093332686
500.0,1,150000.0,100.0,251.80768977777777,115.63993879583442
500.0,1,50000.0,300.0,259.3112869074074,137.76157742030966
1500.0,1,100.0,1500.0,3076.7142147777777,3102.9725019789776
1500.0,3,1500.0,15000.0,8403.010659740741,7754.568254008775
1500.0,3,300.0,1.5,7324.09529687037,7982.537016586484
1500.0,1,5000.0,5.0,796.6899415,1371.1867975407122
1500.0,3,50000.0,50000.0,4558.610431555556,6163.65125680145
1500.0,1,3.0,150.0,2945.405802462963,2978.159920268041
1500.0,3,50.0,30.0,8440.65983348148,7628.399268486328
1500.0,3,1500.0,100.0,4768.941049703703,6656.388010832025
500.0,1,0.15,0.5,998.2856505925926,1000.726168081587
1500.0,1,150000.0,15.0,300.88839394444443,229.2814181908863
500.0,3,5000.0,0.3,483.4634333333333,939.386483677054
1500.0,3,1500.0,500.0,5259.6238015,6681.258680715462
500.0,3,1.0,0.5,3154.855902962963,3371.624330086168
