life,vel,clife,cof,loopmean,loopstd
500.0,1.0,5.0,150.0,996.03271215,-992081.144025481
500.0,1.0,400.0,100000.0,1002.28581472,-1004576.8341476264
500.0,1.0,4500.0,500.0,389.45137765,-151672.37218803188
500.0,1.0,10.0,200.0,984.31940058,-968884.6634274314
500.0,1.0,5000.0,100.0,337.45207296,-113873.89915845572
500.0,1.0,4.0,35.0,991.77096897,-983609.6352934096
500.0,1.0,0.3,45.0,995.22225577,-990467.3185804863
500.0,1.0,3.0,1500.0,1009.51425828,-1019119.0172528452
500.0,1.0,3500.0,2000.0,576.56333979,-332425.2772199916
500.0,1.0,0.75,300.0,1013.0576081,-1026285.6966468852
500.0,1.0,1500.0,20.0,439.33431189,-193014.63277993436
500.0,1.0,100.0,1500.0,993.04431038,-986136.9827148584
500.0,1.0,50000.0,300.0,258.07333791,-66601.84689550688
500.0,1.0,0.5,2.0,1012.97078071,-1026109.7818340764
500.0,1.0,300.0,15000.0,1004.13054488,-1008278.1308686294
500.0,1.0,5000.0,500.0,377.55172275,-142545.30023618805
500.0,1.0,10000.0,0.3,256.75135008,-65921.25494195696
500.0,1.0,3000.0,30.0,354.11632923,-125398.37191612014
500.0,1.0,150.0,400.0,952.29177647,-906859.6084879406
500.0,1.0,150.0,100000.0,996.55077264,-993113.4224641256
500.0,1.0,150.0,4000.0,1002.98597551,-1005980.84685094
500.0,1.0,6500.0,7500.0,672.52220354,-452286.1044112615
500.0,1.0,2500.0,6500.0,797.72080917,-636358.4762583934
500.0,1.0,15.0,20.0,982.63306323,-965567.7176220733
500.0,1.0,20.0,1.0,933.60865917,-871625.1104475864
500.0,1.0,1900.0,50000.0,987.10555807,-974377.3628008732
500.0,1.0,1900.0,0.5,314.89756261,-99160.47296447854
500.0,1.0,6500.0,35.0,304.70024351,-92842.23659574306
500.0,1.0,4000.0,2500.0,598.90878086,-358691.71962342126
500.0,1.0,150.0,0.75,714.88393542,-511059.0282860655
500.0,1.0,6500.0,8500.0,685.99685299,-470591.6721893856
500.0,1.0,2.0,0.15,973.6278224,-947951.1173489284
500.0,1.0,150.0,10000.0,1008.97662442,-1018033.8082696792
500.0,1.0,6500.0,1.5,281.29367317,-79126.12930464938
500.0,1.0,100000.0,10.0,254.63258886,-64837.75448497495
500.0,1.0,3000.0,2.0,322.18046401,-103800.24938267328
500.0,1.0,2500.0,9500.0,878.68507466,-772087.4444522086
500.0,1.0,100000.0,2.0,249.90589932,-62452.957797976334
500.0,1.0,4500.0,100.0,331.61502987,-109968.52588698584
500.0,1.0,400.0,300.0,796.06135601,-633713.6686564647
500.0,1.0,50000.0,2.0,252.78445213,-63899.9784773389
500.0,1.0,2.0,0.5,991.4024681,-982878.8341012252
500.0,1.0,150000.0,5.0,250.44913509,-62724.76854175061
500.0,1.0,100000.0,300.0,255.5398687,-65300.62366363172
500.0,1.0,1900.0,10.0,398.8152939,-159053.6349438088
500.0,1.0,40.0,30.0,973.93683298,-948552.9352169876
500.0,1.0,50000.0,4000.0,302.2009624,-91325.42012486092
500.0,1.0,100.0,0.3,661.73031484,-437886.9987555661
500.0,1.0,5750.0,4500.0,613.90284201,-376876.6910963615
500.0,1.0,750.0,750.0,762.14531988,-580865.476062913
500.0,1.0,50.0,1500.0,1005.61089563,-1011253.2526788038
500.0,1.0,20.0,150.0,1010.47285845,-1021055.3771351824
500.0,1.0,0.5,10000.0,1004.59313884,-1009207.3542110624
500.0,1.0,2500.0,10000.0,865.35559309,-748840.2872392893
500.0,1.0,2.0,10000.0,991.66308521,-983395.6546306104
500.0,1.0,300.0,0.5,526.89036289,-277613.4472843763
500.0,1.0,150.0,15.0,821.8101201,-675371.8586055278
500.0,1.0,15000.0,20.0,272.01616689,-73992.7939357282
500.0,1.0,5500.0,6500.0,691.48503428,-478151.54208274034
500.0,1.0,200.0,1.5,705.76102502,-498098.6125388918
500.0,1.0,100.0,45.0,916.01505447,-839083.5621332596
500.0,1.0,0.5,100000.0,993.07924013,-986206.3574364344
500.0,1.0,2.0,100000.0,991.70298698,-983474.7947239327
500.0,1.0,5500.0,5.0,306.65283768,-94035.96099790686
500.0,1.0,400.0,15000.0,998.73400797,-997469.598455061
500.0,1.0,1.5,1000.0,982.96349586,-966217.2150081402
500.0,1.0,5500.0,9500.0,742.44422457,-551223.414816491
500.0,1.0,0.75,1500.0,1017.78482733,-1035885.9341928094
500.0,1.0,3000.0,2500.0,649.15328932,-421399.9835645534
500.0,1.0,400.0,1000.0,891.68213264,-795097.0090680359
500.0,1.0,1.5,0.5,997.02675111,-994062.322720022
500.0,1.0,15000.0,50000.0,841.78400006,-708600.2884996585
500.0,1.0,4500.0,0.5,278.7569296,-77705.42450877238
500.0,1.0,1000.0,3.0,457.9206217,-209691.29063509303
500.0,1.0,0.15,30.0,992.63261587,-985319.4906772051
500.0,1.0,2.0,750.0,1002.93233841,-1005873.2552949338
500.0,1.0,200.0,10.0,787.27366746,-619799.8131588665
500.0,1.0,4500.0,2000.0,544.56808492,-296554.39213885774
500.0,1.0,350.0,35.0,712.45683672,-507594.7322904398
500.0,1.0,15.0,4000.0,996.06747787,-992150.4008280424
500.0,1.0,1500.0,400.0,553.90355984,-306809.1463409363
500.0,1.0,0.15,4000.0,1007.03075796,-1014110.927000628
500.0,1.0,4000.0,1.0,295.38594836,-87252.85694713611
500.0,1.0,50.0,10.0,944.85230977,-892745.8686618272
500.0,1.0,3.0,40.0,992.0979831,-984258.38853498
500.0,1.0,1.5,20.0,1006.85337148,-1013753.6911384504
500.0,1.0,15000.0,5.0,266.53989804,-71043.5162719063
500.0,1.0,2500.0,30.0,372.85592584,-139021.53840826312
500.0,1.0,100000.0,15000.0,358.72531208,-128683.8470063082
500.0,1.0,50000.0,40.0,256.85881617,-65976.45060790695
500.0,1.0,400.0,0.15,365.77341705,-133790.1895871812
500.0,1.0,15.0,4.0,969.50738872,-939944.5578984988
500.0,1.0,3000.0,300.0,409.50571335,-167694.92547774082
500.0,1.0,0.75,100000.0,1004.78715708,-1009597.2107615358
500.0,1.0,4.0,1000.0,1012.53315244,-1025223.3642598024
500.0,1.0,5250.0,4000.0,608.32297506,-370056.8336507511
500.0,1.0,10.0,1.5,992.10919208,-984280.628747826
500.0,1.0,3.0,2.0,992.52279465,-985101.4781587052
500.0,1.0,4250.0,11000.0,809.11019561,-654659.2949101063
500.0,1.0,2500.0,300.0,442.72803295,-196008.10636745224
500.0,1.0,1900.0,1000.0,619.18936641,-383395.4625260923
500.0,1.0,150.0,5.0,811.03864583,-657783.6699863285
500.0,1.0,100000.0,5000.0,289.32844621,-83710.9484114929
500.0,1.0,750.0,2.0,490.37305613,-240465.72795508272
500.0,1.0,10000.0,150.0,293.37861349,-86071.009403936
500.0,1.0,4.0,1.0,986.58927456,-973358.376925506
500.0,1.0,5000.0,15000.0,829.23771769,-687635.1782314101
500.0,1.0,350.0,40.0,718.5509587,-516315.46810844727
500.0,1.0,450.0,20.0,633.40400432,-401200.6229183123
500.0,1.0,4250.0,6000.0,719.08301227,-517080.3673864828
