lifetime,velocity,clife,cof,loopsize
500,1,1,1.0,999.5
500,1,1.5,1.0,999.0999999999999
500,1,3,1.0,997.75
500,1,5,1.0,995.8333333333334
500,1,10,1.0,990.9090909090909
500,1,15,1.0,985.9375
500,1,30,1.0,970.9677419354839
500,1,50,1.0,950.9803921568628
500,1,100,1.0,900.990099009901
500,1,150,1.0,850.9933774834436
500,1,500,1.0,545.9081836327346
500,1,1000,1.0,423.0769230769231
500,1,1500,1.0,382.0786142571619
500,1,5000,1.0,324.6350729854029
500,1,10000,1.0,312.3187681231877
500,1,15000,1.0,308.2127858142791
500,1,50000,1.0,302.46395072098557
500,1,150000,1.0,300.82132785781425
1500,1,1,1.0,2999.5
1500,1,1.5,1.0,2999.1
1500,1,3,1.0,2997.75
1500,1,5,1.0,2995.8333333333335
1500,1,10,1.0,2990.909090909091
1500,1,15,1.0,2985.9375
1500,1,30,1.0,2970.967741935484
1500,1,50,1.0,2950.9803921568628
1500,1,100,1.0,2900.990099009901
1500,1,150,1.0,2850.9933774834435
1500,1,500,1.0,2500.998003992016
1500,1,1000,1.0,2000.999000999001
1500,1,1500,1.0,1515.989340439707
1500,1,5000,1.0,664.9670065986802
1500,1,10000,1.0,482.5017498250175
1500,1,15000,1.0,421.6718885407639
1500,1,50000,1.0,336.50326993460135
1500,1,150000,1.0,312.1679188805408
500,1,1,1.5,999.6
500,1,1.5,1.5,999.25
500,1,3,1.5,997.9999999999999
500,1,5,1.5,996.1538461538462
500,1,10,1.5,991.304347826087
500,1,15,1.5,986.3636363636364
500,1,30,1.5,971.4285714285713
500,1,50,1.5,951.4563106796118
500,1,100,1.5,901.4778325123152
500,1,150,1.5,851.4851485148515
500,1,500,1.5,546.3609172482552
500,1,1000,1.5,423.36495257114325
500,1,1500,1.5,382.2843822843823
500,1,5000,1.5,324.702589223233
500,1,10000,1.5,312.3531470279458
500,1,15000,1.5,308.23584308235843
500,1,50000,1.5,302.47092587222386
500,1,150000,1.5,300.82365843008233
1500,1,1,1.5,2999.6000000000004
1500,1,1.5,1.5,2999.25
1500,1,3,1.5,2998.0
1500,1,5,1.5,2996.1538461538466
1500,1,10,1.5,2991.304347826087
1500,1,15,1.5,2986.3636363636365
1500,1,30,1.5,2971.428571428571
1500,1,50,1.5,2951.4563106796118
1500,1,100,1.5,2901.477832512315
1500,1,150,1.5,2851.4851485148515
1500,1,500,1.5,2501.495513459621
1500,1,1000,1.5,2001.497753369945
1500,1,1500,1.5,1516.4835164835163
1500,1,5000,1.5,665.2004398680397
1500,1,10000,1.5,482.6276058591211
1500,1,15000,1.5,421.7578242175782
1500,1,50000,1.5,336.5299041028769
1500,1,150000,1.5,312.17687823121764
500,1,1,3,999.75
500,1,1.5,3,999.5
500,1,3,3,998.5
500,1,5,3,996.875
500,1,10,3,992.3076923076924
500,1,15,3,987.5
500,1,30,3,972.7272727272727
500,1,50,3,952.8301886792452
500,1,100,3,902.9126213592233
500,1,150,3,852.9411764705883
500,1,500,3,547.713717693837
500,1,1000,3,424.22731804586243
500,1,1500,3,382.9008649367931
500,1,5000,3,324.9050569658205
500,1,10000,3,312.45626312106367
500,1,15000,3,308.3050056655336
500,1,50000,3,302.4918504889706
500,1,150000,3,300.8306500536656
1500,1,1,3,2999.75
1500,1,1.5,3,2999.5
1500,1,3,3,2998.5
1500,1,5,3,2996.875
1500,1,10,3,2992.3076923076924
1500,1,15,3,2987.5
1500,1,30,3,2972.7272727272725
1500,1,50,3,2952.830188679245
1500,1,100,3,2902.9126213592235
1500,1,150,3,2852.9411764705883
1500,1,500,3,2502.982107355865
1500,1,1000,3,2002.9910269192424
1500,1,1500,3,1517.9640718562875
1500,1,5000,3,665.9004597241656
1500,1,10000,3,483.00509847045885
1500,1,15000,3,422.0155968806239
1500,1,50000,3,336.60980341179527
1500,1,150000,3,312.20375592488153
500,1,1,5.0,999.8333333333334
500,1,1.5,5.0,999.6538461538462
500,1,3,5.0,998.875
500,1,5,5.0,997.5
500,1,10,5.0,993.3333333333333
500,1,15,5.0,988.75
500,1,30,5.0,974.2857142857142
500,1,50,5.0,954.5454545454545
500,1,100,5.0,904.7619047619048
500,1,150,5.0,854.8387096774193
500,1,500,5.0,549.5049504950496
500,1,1000,5.0,425.3731343283582
500,1,1500,5.0,383.72093023255815
500,1,5000,5.0,325.1748251748252
500,1,10000,5.0,312.5937031484258
500,1,15000,5.0,308.39720093302236
500,1,50000,5.0,302.5197480251975
500,1,150000,5.0,300.8399720009333
1500,1,1,5.0,2999.8333333333335
1500,1,1.5,5.0,2999.6538461538466
1500,1,3,5.0,2998.875
1500,1,5,5.0,2997.5
1500,1,10,5.0,2993.333333333333
1500,1,15,5.0,2988.75
1500,1,30,5.0,2974.285714285714
1500,1,50,5.0,2954.5454545454545
1500,1,100,5.0,2904.7619047619046
1500,1,150,5.0,2854.8387096774195
1500,1,500,5.0,2504.950495049505
1500,1,1000,5.0,2004.9751243781097
1500,1,1500,5.0,1519.9335548172758
1500,1,5000,5.0,666.8331668331668
1500,1,10000,5.0,483.5082458770614
1500,1,15000,5.0,422.35921359546813
1500,1,50000,5.0,336.71632836716327
1500,1,150000,5.0,312.2395920135995
500,1,1,10.0,999.9090909090909
500,1,1.5,10.0,999.8043478260869
500,1,3,10.0,999.3076923076924
500,1,5,10.0,998.3333333333333
500,1,10,10.0,995.0
500,1,15,10.0,991.0
500,1,30,10.0,977.5
500,1,50,10.0,958.3333333333334
500,1,100,10.0,909.090909090909
500,1,150,10.0,859.375
500,1,500,10.0,553.921568627451
500,1,1000,10.0,428.21782178217825
500,1,1500,10.0,385.7615894039735
500,1,5000,10.0,325.8483033932136
500,1,10000,10.0,312.93706293706293
500,1,15000,10.0,308.6275816122585
500,1,50000,10.0,302.5894821035793
500,1,150000,10.0,300.86327578161456
1500,1,1,10.0,2999.909090909091
1500,1,1.5,10.0,2999.8043478260865
1500,1,3,10.0,2999.3076923076924
1500,1,5,10.0,2998.333333333333
1500,1,10,10.0,2995.0
1500,1,15,10.0,2991.0
1500,1,30,10.0,2977.5
1500,1,50,10.0,2958.3333333333335
1500,1,100,10.0,2909.090909090909
1500,1,150,10.0,2859.375
1500,1,500,10.0,2509.8039215686276
1500,1,1000,10.0,2009.90099009901
1500,1,1500,10.0,1524.8344370860927
1500,1,5000,10.0,669.1616766467066
1500,1,10000,10.0,484.76523476523477
1500,1,15000,10.0,423.217854763491
1500,1,50000,10.0,336.98260347930415
1500,1,150000,10.0,312.32917805479633
500,1,1,15,999.9375
500,1,1.5,15,999.8636363636364
500,1,3,15,999.5
500,1,5,15,998.75
500,1,10,15,996.0
500,1,15,15,992.5
500,1,30,15,979.9999999999999
500,1,50,15,961.5384615384615
500,1,100,15,913.0434782608695
500,1,150,15,863.6363636363636
500,1,500,15,558.252427184466
500,1,1000,15,431.0344827586207
500,1,1500,15,387.7887788778878
500,1,5000,15,326.52043868394816
500,1,10000,15,313.2800798801797
500,1,15000,15,308.85780885780883
500,1,50000,15,302.6592022393282
500,1,150000,15,300.8865780088658
1500,1,1,15,2999.9375
1500,1,1.5,15,2999.8636363636365
1500,1,3,15,2999.5
1500,1,5,15,2998.75
1500,1,10,15,2996.0
1500,1,15,15,2992.5
1500,1,30,15,2980.0
1500,1,50,15,2961.538461538462
