life,vel,face,clife,cof,sep,loopmean,loopstd
1500.0,1,0.0,15.0,15.0,1000,2510.9321785555558,2370.541593754881
1500.0,3,0.0,15.0,15.0,1000,6840.914008777778,6252.438866470662
1500.0,1,0.0,15.0,15.0,100,1323.835306911111,1068.3806342037078
1500.0,3,0.0,15.0,15.0,100,2012.8908458111111,1410.6254003078532
1500.0,1,0.0,15.0,15.0,200,1750.0426143333334,1544.6054335894164
1500.0,3,0.0,15.0,15.0,200,3156.3989363777778,2377.8707500663054
1500.0,1,0.0,15.0,15.0,300,1973.1302632323232,1706.3687663007802
1500.0,3,0.0,15.0,15.0,300,3790.3916084511784,3011.276347174184
1500.0,1,0.0,15.0,15.0,400,2257.8021548444444,2130.604435566908
1500.0,3,0.0,15.0,15.0,400,4339.4257030222225,3662.4367523691308
1500.0,1,0.0,15.0,15.0,500,2441.7083667222223,2362.517612340882
1500.0,3,0.0,15.0,15.0,500,4622.601913722222,3648.246850755113
1500.0,1,0.0,15.0,15.0,700,2603.2379623809525,2469.924389037576
1500.0,3,0.0,15.0,15.0,700,6046.080283412698,5873.533059560446
500.0,1,0.0,15.0,15.0,1000,984.1861757777777,987.3259220760117
500.0,3,0.0,15.0,15.0,1000,2830.1346962222224,2906.7655354410754
500.0,1,0.0,15.0,15.0,100,671.9125724444444,608.7715377444424
500.0,3,0.0,15.0,15.0,100,1297.5074288555556,1051.570461832972
500.0,1,0.0,15.0,15.0,200,815.3846794888889,773.1119777189825
500.0,3,0.0,15.0,15.0,200,1801.612866888889,1581.6591364494434
500.0,1,0.0,15.0,15.0,300,837.2969873737374,791.7554512057936
500.0,3,0.0,15.0,15.0,300,1923.9146835690235,1813.9553662584833
500.0,1,0.0,15.0,15.0,400,867.0712178222223,831.2514085319661
500.0,3,0.0,15.0,15.0,400,2235.0747660888887,2095.2812672157183
500.0,1,0.0,15.0,15.0,500,883.4949278888889,837.802794277684
500.0,3,0.0,15.0,15.0,500,2305.7949759444446,2167.751718616592
500.0,1,0.0,15.0,15.0,700,956.8567412698412,928.13618101306
500.0,3,0.0,15.0,15.0,700,2383.782438015873,2213.632832271825
1500.0,0.33,0.1,10.0,1.0,100,466.18364355555553,393.45826407861216
1500.0,1,0.1,10.0,1.0,100,846.7413893444444,667.6921716190823
1500.0,3,0.1,10.0,1.0,100,1439.9900368222222,1070.3678079749764
166.0,0.33,0.1,10.0,1.0,100,98.257453,94.08036591138176
166.0,1,0.1,10.0,1.0,100,255.93045226666666,234.8490183216101
166.0,3,0.1,10.0,1.0,100,590.6053598888889,512.1321048080205
500.0,0.33,0.1,10.0,1.0,100,240.35857226666667,217.0252274118708
500.0,1,0.1,10.0,1.0,100,524.6117510666667,443.81304029215414
500.0,3,0.1,10.0,1.0,100,1026.5753022666668,824.233050094094
1500.0,0.33,0.1,10.0,150.0,100,470.97971435555553,388.9206645169041
1500.0,1,0.1,10.0,150.0,100,856.8651385,680.0984262830456
1500.0,3,0.1,10.0,150.0,100,1382.3979235333334,1004.139217556552
166.0,0.33,0.1,10.0,150.0,100,97.51837905555556,92.49532988384554
166.0,1,0.1,10.0,150.0,100,254.89424313333333,234.9477034323846
166.0,3,0.1,10.0,150.0,100,592.2545060333333,517.7102495914107
500.0,0.33,0.1,10.0,150.0,100,239.96558522222222,216.13952662029544
500.0,1,0.1,10.0,150.0,100,523.0542697444445,443.50202681085966
