life,vel,face,clife,cof,loopmean,loopstd
50.0,1,0.2,1.0,0.15,845.6648738666667,872.8003620932699
50.0,1,0.9,1.0,0.15,325.51099543333333,303.3651052198219
50.0,1,0.05,1.0,0.15,965.3945919333332,985.909717038738
50.0,3,0.8,1.0,0.15,1888.4565923333332,2212.666843863255
50.0,3,0.3,1.0,0.15,2673.7352002,2830.296758694763
150.0,1,0.01,1.0,0.15,2945.0498440333336,2950.6187639512045
150.0,3,0.2,1.0,0.15,8046.816164966666,7555.956819661558
150.0,3,0.9,1.0,0.15,4294.122849733333,5550.195724901904
150.0,1,0.8,1.0,0.15,818.4931021,1267.2077894695456
150.0,1,0.3,1.0,0.15,2153.124619133333,2420.2218929827773
150.0,3,0.8,1.0,0.15,5221.572190366666,6080.845916771237
150.0,3,0.3,1.0,0.15,7890.125547333333,7598.602153037883
150.0,1,0.2,1.0,0.15,2454.181926266667,2660.9188433386
150.0,1,0.9,1.0,0.15,560.7110698666667,923.0527763509392
150.0,3,0.05,1.0,0.15,8752.139588466667,8010.879574912942
50.0,1,0.8,1.0,0.15,395.10199186666665,418.6654036578527
50.0,1,0.3,1.0,0.15,781.9155269,825.3872628373078
50.0,3,0.01,1.0,0.15,2971.7606674666667,3008.945957760427
50.0,3,0.2,1.0,0.15,2864.024413,2994.7070800989945
50.0,3,0.9,1.0,0.15,1548.2094890333333,2024.2975649310652
50.0,3,1.0,1.0,0.15,280.8980193333333,56.99339115965082
50.0,1,0.1,1.0,0.15,921.8833363,929.3073693056998
150.0,1,1.0,1.0,0.15,281.2826211,56.48730799286237
150.0,3,0.1,1.0,0.15,8376.385214266667,7656.90208105789
150.0,1,0.1,1.0,0.15,2752.598131566667,2864.450641735931
150.0,3,1.0,1.0,0.15,293.44044413333336,34.445369559619294
50.0,3,0.1,1.0,0.15,2882.647008,2883.211521917536
50.0,1,1.0,1.0,0.15,248.09086646666665,85.91167501540113
150.0,3,0.4,1.0,0.15,7191.2307002,7206.683977551025
150.0,1,0.5,1.0,0.15,1588.4476623,1956.190272826315
50.0,1,0.4,1.0,0.15,699.2942166,756.4622399835913
50.0,3,0.5,1.0,0.15,2416.7311517,2619.9122684170597
50.0,1,0.5,1.0,0.15,619.6550178333333,667.5139073207424
50.0,3,0.4,1.0,0.15,2538.7371940666667,2724.9278868061506
150.0,3,0.5,1.0,0.15,6850.147563666666,6966.135526649839
150.0,1,0.4,1.0,0.15,1923.6355452333328,2328.8413286586992
150.0,1,0.6,1.0,0.15,1340.7342076333334,1796.0924824556564
150.0,3,0.7,1.0,0.15,5977.9074966,6609.807736973904
50.0,3,0.6,1.0,0.15,2299.639517766667,2529.8666146689206
50.0,3,0.05,1.0,0.15,2933.729634,2912.1812523709937
50.0,1,0.7,1.0,0.15,477.4123575,527.0753876210296
150.0,3,0.01,1.0,0.15,8469.119100333333,7669.900299861176
150.0,1,0.05,1.0,0.15,2890.078110066667,2987.587749049904
50.0,3,0.7,1.0,0.15,2135.8656711666667,2472.227485110731
50.0,1,0.01,1.0,0.15,999.7431653666666,999.6224593001458
50.0,1,0.6,1.0,0.15,548.2463905666667,604.8515796432948
150.0,1,0.7,1.0,0.15,1116.3348472333332,1675.975179551466
150.0,3,0.6,1.0,0.15,6553.641266233333,6870.564759014715
