life,vel,clife,cof,sep,loopmean,loopstd
500.0,1,1.0,0.1,100,435.9771821666667,362.72551943455636
500.0,1,1.0,0.2,100,669.0328203888889,611.6312665946782
500.0,1,1.0,0.3,100,677.7933475555556,609.7391888534252
500.0,1,1.0,0.5,100,676.0426699777778,619.8508525690196
500.0,1,1.0,0.75,100,675.9859605555556,611.3705398171695
500.0,1,1.0,1.0,100,675.1357932888889,607.3569917427708
500.0,1,1.0,1.25,100,676.9598216777778,614.6101281065384
500.0,1,1.0,1.5,100,670.3568257555555,600.2228213255157
500.0,1,1.0,10.0,100,679.5106953555555,611.8415152456373
500.0,1,1.0,100000.0,100,664.1663309555555,600.2947838872274
500.0,1,1.0,15.0,100,690.1548522777778,634.5302630659114
500.0,1,1.0,150.0,100,682.0735161222223,620.3789475136344
500.0,1,1.0,1500.0,100,676.8387284333334,613.5381864350072
500.0,1,1.0,15000.0,100,676.2320901111111,605.9524643232
500.0,1,1.0,150000.0,100,685.5274420888888,633.3836865936255
500.0,1,1.0,3.0,100,691.7241337444444,626.0722460251317
500.0,1,1.0,30.0,100,671.3332768222223,615.1651790876472
500.0,1,1.0,5.0,100,679.6793727111111,621.0909576270767
500.0,1,1.0,50.0,100,681.6189191444445,616.0301586985934
500.0,1,1.0,500.0,100,686.0507697888889,618.7447822177268
500.0,1,1.0,5000.0,100,672.2897981222222,610.0197836520574
500.0,1,1.0,50000.0,100,675.5331535111111,607.3199734579057
500.0,1,1.0,500000.0,100,674.5395657444444,611.9106173829807
500.0,1,1.5,1.0,100,662.8908373555555,593.9649837210625
500.0,1,1.5,1.5,100,674.5634321777778,615.7803856446818
500.0,1,1.5,100000.0,100,664.5858782555556,603.3137372719764
500.0,1,1.5,15.0,100,682.4036380444444,623.6740555862458
500.0,1,1.5,150.0,100,687.9314679666667,631.8183075068823
500.0,1,1.5,1500.0,100,680.5627912222222,617.5071141292018
500.0,1,1.5,15000.0,100,666.5119969888889,594.0746711217422
500.0,1,1.5,150000.0,100,688.0514375888889,623.1393801271342
500.0,1,1.5,3.0,100,680.1573545444444,615.3489527840128
500.0,1,1.5,5.0,100,695.4352838222222,641.6424442206591
500.0,1,1.5,50.0,100,677.4667412111111,612.0848184434252
500.0,1,1.5,500.0,100,676.2019460555556,607.3815399383028
500.0,1,1.5,5000.0,100,679.9475970777778,620.0102351619062
500.0,1,1.5,50000.0,100,682.4906274555556,619.5030457393159
500.0,1,1.5,500000.0,100,677.0886088888889,613.9012069391022
500.0,1,10.0,0.1,100,431.82100845555556,357.0297702305853
500.0,1,10.0,0.2,100,612.2546246,551.2253726364584
500.0,1,10.0,0.3,100,646.9035929111111,602.9386442668826
500.0,1,10.0,0.5,100,653.9792085333333,594.7919335818785
500.0,1,10.0,0.75,100,665.0421444444445,607.3680187079146
500.0,1,10.0,1.0,100,667.4904204444445,605.8622793691734
500.0,1,10.0,1.25,100,658.2317650333333,591.7920016919635
500.0,1,10.0,1.5,100,672.3020724,613.0452913771244
500.0,1,10.0,10.0,100,674.7440366111111,616.617629846748
500.0,1,10.0,15.0,100,679.2841467111111,616.8304375035892
500.0,1,10.0,150.0,100,679.1391433,619.8429503045444
500.0,1,10.0,3.0,100,653.8228452444445,584.4521889445734
500.0,1,10.0,30.0,100,684.7150109666667,631.9339895386357
500.0,1,10.0,50.0,100,678.3768021888889,618.258909240591
500.0,1,100.0,0.1,100,434.45492203333333,363.44110083267344
500.0,1,100.0,0.2,100,485.94828944444447,420.40777153345925
500.0,1,100.0,0.3,100,518.8499914777777,455.31286661865624
500.0,1,100.0,0.5,100,547.6955633444444,488.37054054414205
500.0,1,100.0,0.75,100,574.9319599888889,516.3814880392322
