life,velocity,clife,cof,peak_ave
1500.0,1,11.43,1.27,1.0021942702723579
2500.0,1,11.43,1.27,1.0019070836287514
3500.0,1,11.43,1.27,1.0147830647529905
4500.0,1,11.43,1.27,1.0172200230637063
500.0,1,11.43,1.27,1.0017672032632774
5500.0,1,11.43,1.27,1.0082170608613588
1500.0,1,11.43,11.43,1.0003749556855435
2500.0,1,11.43,11.43,1.0066146518371113
3500.0,1,11.43,11.43,1.0097521734090904
4500.0,1,11.43,11.43,0.9766935573499343
500.0,1,11.43,11.43,1.0002759935852923
5500.0,1,11.43,11.43,0.9809691135153461
1500.0,1,11.43,2.86,1.0052028833848135
2500.0,1,11.43,2.86,1.0004103230500356
3500.0,1,11.43,2.86,1.0030869147215193
4500.0,1,11.43,2.86,1.0078463445868
500.0,1,11.43,2.86,1.0015465522781342
5500.0,1,11.43,2.86,0.9996941203116091
1500.0,1,11.43,4.9,1.0038744996031488
2500.0,1,11.43,4.9,0.9983112184711284
3500.0,1,11.43,4.9,1.0020243608440955
4500.0,1,11.43,4.9,1.0098611263749233
5500.0,1,11.43,4.9,1.0170370388261079
1500.0,1,11.43,7.62,1.0049057394299907
2500.0,1,11.43,7.62,1.0081070243002646
3500.0,1,11.43,7.62,0.9973372242093289
4500.0,1,11.43,7.62,1.0025949099210212
500.0,1,11.43,7.62,0.9993617719274507
5500.0,1,11.43,7.62,1.0227597347807875
1500.0,1,11.43,97.96,0.9970625972694332
2500.0,1,11.43,97.96,1.0029096422565391
3500.0,1,11.43,97.96,1.001945831971967
4500.0,1,11.43,97.96,0.9826094724995093
500.0,1,11.43,97.96,0.9998861856535641
5500.0,1,11.43,97.96,0.9921707841056343
1500.0,1,114.29,114.29,1.020838935112105
2500.0,1,114.29,114.29,1.0243384084725577
3500.0,1,114.29,114.29,1.0202323021531865
4500.0,1,114.29,114.29,1.020544281759526
500.0,1,114.29,114.29,1.0057089867685123
5500.0,1,114.29,114.29,1.036955886015565
1500.0,1,114.29,12.7,1.033625962076184
2500.0,1,114.29,12.7,1.0483885433054774
4500.0,1,114.29,12.7,1.066510761727612
500.0,1,114.29,12.7,1.0099792733853028
5500.0,1,114.29,12.7,1.0742657354473326
1500.0,1,114.29,28.57,1.0336677939843493
2500.0,1,114.29,28.57,1.0316141937072332
3500.0,1,114.29,28.57,1.055114790115941
4500.0,1,114.29,28.57,1.0554150818424617
500.0,1,114.29,28.57,1.0081016510867367
5500.0,1,114.29,28.57,1.0645715411954284
1500.0,1,114.29,48.98,1.0239222304485633
2500.0,1,114.29,48.98,1.0270974561450297
3500.0,1,114.29,48.98,1.0458668506133488
4500.0,1,114.29,48.98,1.0405644668280318
500.0,1,114.29,48.98,1.0064466888641828
5500.0,1,114.29,48.98,1.0594823975429142
1500.0,1,114.29,5.71,1.042293145597777
2500.0,1,114.29,5.71,1.049437260876758
3500.0,1,114.29,5.71,1.0720126157415155
4500.0,1,114.29,5.71,1.0928737720952257
500.0,1,114.29,5.71,1.0111269887067424
5500.0,1,114.29,5.71,1.0620837443488693
1500.0,1,114.29,6.35,1.0406152310627066
2500.0,1,114.29,6.35,1.0542738680655757
3500.0,1,114.29,6.35,1.0733874427724477
4500.0,1,114.29,6.35,1.0767234777839978
500.0,1,114.29,6.35,1.0118891994516752
5500.0,1,114.29,6.35,1.0853173461074828
1500.0,1,114.29,76.19,1.0168514983980266
2500.0,1,114.29,76.19,1.0197736832656548
3500.0,1,114.29,76.19,1.0380302134938857
4500.0,1,114.29,76.19,1.0329498742482512
500.0,1,114.29,76.19,1.0043573666329035
5500.0,1,114.29,76.19,1.0584624949470134
1500.0,1,114.29,979.59,0.9999815433471415
2500.0,1,114.29,979.59,1.0068525153201546
3500.0,1,114.29,979.59,0.9994104420092539
4500.0,1,114.29,979.59,1.0085280697868404
500.0,1,114.29,979.59,0.9983666875844286
5500.0,1,114.29,979.59,0.9991323850536098
1500.0,1,1142.86,1142.86,1.0879454223486555
2500.0,1,1142.86,1142.86,1.124455912117355
3500.0,1,1142.86,1142.86,1.1656942809051196
4500.0,1,1142.86,1142.86,1.1980451486087298
500.0,1,1142.86,1142.86,1.0183420956867089
5500.0,1,1142.86,1142.86,1.1689542285682661
1500.0,1,1142.86,126.98,1.1316234460253225
2500.0,1,1142.86,126.98,1.1925206454207733
3500.0,1,1142.86,126.98,1.2492971581774452
4500.0,1,1142.86,126.98,1.2327868133107462
500.0,1,1142.86,126.98,1.0273592398434581
5500.0,1,1142.86,126.98,1.3575003814471087
1500.0,1,1142.86,285.71,1.1066447208741073
