life,velocity,clife,cof,peak_ave
1500.0,1,11.43,1.27,1.015394878510256
2500.0,1,11.43,1.27,1.0191071139262522
3500.0,1,11.43,1.27,1.0386373541863294
4500.0,1,11.43,1.27,1.0297261895191796
500.0,1,11.43,1.27,0.9984969996458061
5500.0,1,11.43,1.27,1.0255152205338351
1500.0,1,11.43,11.43,1.0004363992220342
2500.0,1,11.43,11.43,1.0113335678103705
3500.0,1,11.43,11.43,1.0212106097277955
4500.0,1,11.43,11.43,0.9694345353206154
500.0,1,11.43,11.43,1.008732450629377
5500.0,1,11.43,11.43,0.9802074029381805
1500.0,1,11.43,2.86,1.0135433847627489
2500.0,1,11.43,2.86,1.0067471934951588
3500.0,1,11.43,2.86,1.0017401166165378
4500.0,1,11.43,2.86,1.0174287243485993
500.0,1,11.43,2.86,1.0127899121523938
5500.0,1,11.43,2.86,1.0343524930291046
1500.0,1,11.43,4.9,1.005686533389801
2500.0,1,11.43,4.9,0.9956716571659756
3500.0,1,11.43,4.9,1.0145389420516624
4500.0,1,11.43,4.9,1.0102509317883968
5500.0,1,11.43,4.9,1.0458161053928008
1500.0,1,11.43,7.62,1.011096007483635
2500.0,1,11.43,7.62,1.0184636414921058
3500.0,1,11.43,7.62,0.99484661474469
4500.0,1,11.43,7.62,1.0094758263688606
500.0,1,11.43,7.62,1.0101439111722594
5500.0,1,11.43,7.62,1.0477957480003204
1500.0,1,11.43,97.96,0.9980523536848362
2500.0,1,11.43,97.96,1.0081471995751141
3500.0,1,11.43,97.96,1.0030801625778507
4500.0,1,11.43,97.96,0.9898563375640742
500.0,1,11.43,97.96,1.0095624338103144
5500.0,1,11.43,97.96,1.008224816981366
1500.0,1,114.29,114.29,1.0557627079227487
2500.0,1,114.29,114.29,1.0788086723553036
3500.0,1,114.29,114.29,1.051871645830208
4500.0,1,114.29,114.29,1.0716028631662784
500.0,1,114.29,114.29,1.0307127062752992
5500.0,1,114.29,114.29,1.071708682702709
1500.0,1,114.29,12.7,1.0960882668513117
2500.0,1,114.29,12.7,1.1068745442920696
4500.0,1,114.29,12.7,1.1164923546056225
500.0,1,114.29,12.7,1.0507383721000212
5500.0,1,114.29,12.7,1.139555472533442
1500.0,1,114.29,28.57,1.0899302999127565
2500.0,1,114.29,28.57,1.0927413438476017
3500.0,1,114.29,28.57,1.105843137132178
4500.0,1,114.29,28.57,1.111954612694394
500.0,1,114.29,28.57,1.0470002213699348
5500.0,1,114.29,28.57,1.1399674320992632
1500.0,1,114.29,48.98,1.0748839013775262
2500.0,1,114.29,48.98,1.0719389517790272
3500.0,1,114.29,48.98,1.1068283540901023
4500.0,1,114.29,48.98,1.0918666240676347
500.0,1,114.29,48.98,1.0266463249396336
5500.0,1,114.29,48.98,1.1071252444092887
1500.0,1,114.29,5.71,1.1186442806292163
2500.0,1,114.29,5.71,1.1568441120828836
3500.0,1,114.29,5.71,1.1835833638493747
4500.0,1,114.29,5.71,1.1658764398440107
500.0,1,114.29,5.71,1.0485547126485872
5500.0,1,114.29,5.71,1.1521940168475218
1500.0,1,114.29,6.35,1.1217838724077998
2500.0,1,114.29,6.35,1.142862374572719
3500.0,1,114.29,6.35,1.1725681363711513
4500.0,1,114.29,6.35,1.1408833550269906
500.0,1,114.29,6.35,1.0687980409944569
5500.0,1,114.29,6.35,1.1382215516973526
1500.0,1,114.29,76.19,1.0478180784249997
2500.0,1,114.29,76.19,1.055914243168134
3500.0,1,114.29,76.19,1.077779530255678
4500.0,1,114.29,76.19,1.0716195765646965
500.0,1,114.29,76.19,1.0328954335617857
5500.0,1,114.29,76.19,1.133531065600614
1500.0,1,114.29,979.59,1.0081060700651459
2500.0,1,114.29,979.59,1.0193419814378266
3500.0,1,114.29,979.59,1.0129983304724643
4500.0,1,114.29,979.59,0.997863605402133
500.0,1,114.29,979.59,1.0050320713865017
5500.0,1,114.29,979.59,1.0302257617111628
1500.0,1,1142.86,1142.86,1.2725445847013188
2500.0,1,1142.86,1142.86,1.3481436104771014
3500.0,1,1142.86,1142.86,1.3570478413650071
4500.0,1,1142.86,1142.86,1.4169601267742613
500.0,1,1142.86,1142.86,1.1167390351585285
5500.0,1,1142.86,1142.86,1.3476454526758073
1500.0,1,1142.86,126.98,1.4612229970498436
2500.0,1,1142.86,126.98,1.588446260054439
3500.0,1,1142.86,126.98,1.6482389395525352
4500.0,1,1142.86,126.98,1.592921468035797
500.0,1,1142.86,126.98,1.2003195802863147
5500.0,1,1142.86,126.98,1.7364997548241323
1500.0,1,1142.86,285.71,1.3911791544234628
2500.0,1,1142.86,285.71,1.540535982590943
3500.0,1,1142.86,285.71,1.5192094479173641
4500.0,1,1142.86,285.71,1.6755811787946235
500.0,1,1142.86,285.71,1.1913464472555162
5500.0,1,1142.86,285.71,1.65364932808598
1500.0,1,1142.86,489.8,1.378617435731977
2500.0,1,1142.86,489.8,1.4639067128146022
3500.0,1,1142.86,489.8,1.451916443520565
4500.0,1,1142.86,489.8,1.5407374537394167
500.0,1,1142.86,489.8,1.1697653358717348
5500.0,1,1142.86,489.8,1.5046971841475132
1500.0,1,1142.86,57.14,1.4580630220565123
2500.0,1,1142.86,57.14,1.5495777328162263
3500.0,1,1142.86,57.14,1.6102211117238066
4500.0,1,1142.86,57.14,1.6870744856562916
500.0,1,1142.86,57.14,1.2024586758802551
5500.0,1,1142.86,57.14,1.619224490981517
1500.0,1,1142.86,63.49,1.4566189249927397
2500.0,1,1142.86,63.49,1.564490697834947
3500.0,1,1142.86,63.49,1.6552763402736477
4500.0,1,1142.86,63.49,1.6397218785513132
500.0,1,1142.86,63.49,1.213514523389604
5500.0,1,1142.86,63.49,1.8405360727259372
1500.0,1,1142.86,761.91,1.3029709650755337
2500.0,1,1142.86,761.91,1.4199776744596668
3500.0,1,1142.86,761.91,1.445107373222281
4500.0,1,1142.86,761.91,1.4947043814181609
500.0,1,1142.86,761.91,1.1377925860040146
5500.0,1,1142.86,761.91,1.4784916264722343
1500.0,1,11428.57,11428.57,1.4306138919851064
2500.0,1,11428.57,11428.57,1.6397633108846945
3500.0,1,11428.57,11428.57,1.7223943877392898
4500.0,1,11428.57,11428.57,1.8163460579553978
500.0,1,11428.57,11428.57,1.184140295086055
5500.0,1,11428.57,11428.57,1.8365212292789224
1500.0,1,11428.57,1269.84,1.6070204092227163
2500.0,1,11428.57,1269.84,1.7549619121498408
