,clife,cof,life,vel,sep,vscore,std
0,3428.57,1469.39,4500.0,1,100,0.5583258505926649,0.0655634821167938
1,571.43,146.94,2500.0,1,100,0.580950649464848,0.0613575017465606
2,342.86,85.72,4500.0,1,100,0.6696814684400283,0.0541816981403909
3,1142.86,63.49,500.0,1,100,0.3887932005162695,0.0662269247862284
4,11428.57,4897.96,500.0,1,100,0.3831434963863737,0.0666535759107365
5,228.57,25.4,3500.0,1,100,0.6583044814500898,0.0501489782751063
6,342.86,228.57,4500.0,1,100,0.6649792225455157,0.0544594784746888
7,57.14,2.86,3500.0,1,100,0.6707157894174963,0.0489285406772079
8,2285.71,2285.71,2500.0,1,100,0.5517998785040741,0.0560282789310262
9,2285.71,253.97,3500.0,1,100,0.5180110991656061,0.0655627519208581
10,228.57,152.38,500.0,1,100,0.4086174741781103,0.0676384650896989
11,1142.86,761.91,4500.0,1,100,0.6527899337181026,0.0531771421704566
12,571.43,857.14,500.0,1,100,0.4125831234193639,0.0651678259692932
13,1142.86,285.71,1500.0,1,100,0.4671771552424985,0.066589491823801
14,114.29,6.35,500.0,1,100,0.4082210402379302,0.0650328020241322
15,2285.71,126.98,5500.0,1,100,0.5787912042720685,0.0627619144371618
16,22.86,15.24,1500.0,1,100,0.570337472500146,0.0623118058630882
17,114.29,28.57,3500.0,1,100,0.666106487340124,0.0527406582392918
18,114.29,76.19,4500.0,1,100,0.6772593004267291,0.049055813958266
19,57.14,2.86,500.0,1,100,0.4123989859003963,0.0693234063723922
20,342.86,38.1,1500.0,1,100,0.5162680854073675,0.0637479479065666
21,1142.86,489.8,500.0,1,100,0.3894295268485557,0.0645321114765771
22,11428.57,11428.57,4500.0,1,100,0.5154941052017433,0.0700058209852665
23,57.14,489.8,4500.0,1,100,0.6921453200200579,0.0479872558818252
24,57.14,6.35,2500.0,1,100,0.6473723901795491,0.0553663576335789
25,57.14,38.1,2500.0,1,100,0.6347889011391296,0.0549509172556635
26,2285.71,1523.81,1500.0,1,100,0.4730427050390574,0.0667440684962879
27,11.43,2.86,1500.0,1,100,0.5821508600919896,0.0660460559846861
28,11.43,1.27,3500.0,1,100,0.6762697538923003,0.0521062257799408
29,342.86,146.94,1500.0,1,100,0.5390315577709389,0.065330671533556
30,228.57,12.7,500.0,1,100,0.3997682889048433,0.0675456604986289
31,228.57,11.43,2500.0,1,100,0.6102984091518183,0.0581429005177535
32,571.43,380.95,4500.0,1,100,0.6557229825275946,0.0553141461678742
33,11428.57,2857.14,500.0,1,100,0.3797698893754335,0.0691347510547982
34,342.86,228.57,500.0,1,100,0.4103831371469698,0.0658342479185479
35,57.14,85.72,2500.0,1,100,0.6465726148100793,0.0562131180438827
36,571.43,97.96,2500.0,1,100,0.5855908276163507,0.0640688454417419
37,1142.86,1142.86,5500.0,1,100,0.6705447524268239,0.0514596311921965
38,342.86,38.1,500.0,1,100,0.3974518849145242,0.0668328104572223
39,57.14,14.28,500.0,1,100,0.4200194419212825,0.0683163090825194
40,2285.71,3428.57,5500.0,1,100,0.6522218433418826,0.0572270844904645
41,1142.86,489.8,4500.0,1,100,0.6329972421684925,0.0579763460142804
42,342.86,342.86,1500.0,1,100,0.5531248684134082,0.0652158528915532
43,3428.57,857.14,3500.0,1,100,0.4995429796430184,0.0646003232741913
44,3428.57,2285.71,500.0,1,100,0.3890923604911186,0.0696529515239644
45,228.57,342.86,3500.0,1,100,0.669363012411427,0.0501765272821104
46,571.43,4897.96,1500.0,1,100,0.5767577794993873,0.0595616642240293
47,22.86,5.71,1500.0,1,100,0.5628886770250484,0.0625858692867335
48,114.29,6.35,2500.0,1,100,0.6334383758048174,0.0559129163138374
49,571.43,2285.71,2500.0,1,100,0.6192609247161601,0.058307069930582
50,571.43,28.57,5500.0,1,100,0.6540018496778837,0.053634682425425
51,2285.71,114.29,3500.0,1,100,0.5101649229998002,0.0640252987346288
52,571.43,571.43,3500.0,1,100,0.6501811640425609,0.0549199427648969
53,2285.71,979.59,4500.0,1,100,0.5759900049970625,0.0653186770557929
