life,velocity,clife,cof,isoscore
1500.0,1,11.43,1.27,1.0128461089452396
2500.0,1,11.43,1.27,1.0031434545009201
3500.0,1,11.43,1.27,1.0014387403545155
4500.0,1,11.43,1.27,1.026598400712055
500.0,1,11.43,1.27,1.026903929526502
5500.0,1,11.43,1.27,1.0320103962097422
1500.0,1,11.43,11.43,1.003604078588051
2500.0,1,11.43,11.43,1.014636110436845
3500.0,1,11.43,11.43,0.9901898384141806
4500.0,1,11.43,11.43,1.0086768381646913
500.0,1,11.43,11.43,1.004709112731233
1500.0,1,11.43,2.86,1.0196938834801048
2500.0,1,11.43,2.86,1.0125694455338135
3500.0,1,11.43,2.86,1.010730770508257
4500.0,1,11.43,2.86,1.0010617475697896
500.0,1,11.43,2.86,1.014130489346051
1500.0,1,11.43,4.9,0.9969689768204397
2500.0,1,11.43,4.9,1.002754522114586
3500.0,1,11.43,4.9,0.9901478240443627
4500.0,1,11.43,4.9,0.9958312741453269
1500.0,1,11.43,7.62,1.009935296301812
2500.0,1,11.43,7.62,1.0141884264394734
3500.0,1,11.43,7.62,0.9939223616833801
4500.0,1,11.43,7.62,1.0025689606739194
500.0,1,11.43,7.62,1.0219002547326304
1500.0,1,11.43,97.96,0.9984748747213337
2500.0,1,11.43,97.96,0.9946802512554596
3500.0,1,11.43,97.96,1.0029850838069672
4500.0,1,11.43,97.96,1.0091528577943183
500.0,1,11.43,97.96,0.9977122215077213
1500.0,1,114.29,114.29,1.0358014518957266
2500.0,1,114.29,114.29,1.0128280848592475
3500.0,1,114.29,114.29,1.015329870230255
4500.0,1,114.29,114.29,1.0053897999805324
500.0,1,114.29,114.29,1.0399405257500045
1500.0,1,114.29,12.7,1.0455064987258098
2500.0,1,114.29,12.7,1.025113558885768
4500.0,1,114.29,12.7,1.0356890556223437
500.0,1,114.29,12.7,1.1015290956810304
1500.0,1,114.29,28.57,1.0533047356236525
2500.0,1,114.29,28.57,1.0344763110908601
3500.0,1,114.29,28.57,1.0164983202688869
4500.0,1,114.29,28.57,1.0226491852017399
500.0,1,114.29,28.57,1.0761847277503367
1500.0,1,114.29,48.98,1.0473690651849377
2500.0,1,114.29,48.98,1.0246343864949035
3500.0,1,114.29,48.98,1.029593713390622
4500.0,1,114.29,48.98,1.0308293203788224
500.0,1,114.29,48.98,1.060681652044928
1500.0,1,114.29,5.71,1.061604732936908
2500.0,1,114.29,5.71,1.0666547596468923
3500.0,1,114.29,5.71,1.0500206327721415
4500.0,1,114.29,5.71,1.0422073730568109
500.0,1,114.29,5.71,1.0960546646963103
1500.0,1,114.29,6.35,1.0566781101972063
2500.0,1,114.29,6.35,1.0587108802788565
3500.0,1,114.29,6.35,1.033752904368669
4500.0,1,114.29,6.35,1.0398103608495248
500.0,1,114.29,6.35,1.0997977343755363
1500.0,1,114.29,76.19,1.0332186909428667
2500.0,1,114.29,76.19,1.0142243748018314
3500.0,1,114.29,76.19,1.0228717221984398
4500.0,1,114.29,76.19,1.0005535145413227
500.0,1,114.29,76.19,1.0530536601095124
1500.0,1,114.29,979.59,1.0160350844592139
2500.0,1,114.29,979.59,1.0051372942238637
3500.0,1,114.29,979.59,1.0013242475388036
4500.0,1,114.29,979.59,0.9892358284743054
500.0,1,114.29,979.59,1.0145140697672668
1500.0,1,1142.86,1142.86,1.1000709557204684
