life,velocity,clife,cof,peak_ave
1500.0,1,11.43,1.27,1.0016547449134359
2500.0,1,11.43,1.27,1.004163072408298
3500.0,1,11.43,1.27,1.0058668829421133
4500.0,1,11.43,1.27,1.0168837962547028
500.0,1,11.43,1.27,1.002057390420284
5500.0,1,11.43,1.27,1.0233910924635847
1500.0,1,11.43,11.43,0.9956056346485523
2500.0,1,11.43,11.43,1.0059922866273872
3500.0,1,11.43,11.43,1.026095513333024
4500.0,1,11.43,11.43,0.9825410101021104
500.0,1,11.43,11.43,1.0014670381467403
5500.0,1,11.43,11.43,0.9830804797235788
1500.0,1,11.43,2.86,1.0125870705088063
2500.0,1,11.43,2.86,1.011593320331517
3500.0,1,11.43,2.86,0.9975627258154505
4500.0,1,11.43,2.86,1.0112352880284543
500.0,1,11.43,2.86,1.0028567103799566
5500.0,1,11.43,2.86,1.0095519708872354
1500.0,1,11.43,4.9,1.0045058364865238
2500.0,1,11.43,4.9,0.9967537287448942
3500.0,1,11.43,4.9,0.9959217865815885
4500.0,1,11.43,4.9,1.0043571896903036
5500.0,1,11.43,4.9,1.024408955140114
1500.0,1,11.43,7.62,1.0105447262435208
2500.0,1,11.43,7.62,1.0042002505584608
3500.0,1,11.43,7.62,1.006182735887765
4500.0,1,11.43,7.62,1.0103610843999373
500.0,1,11.43,7.62,1.001563353491278
5500.0,1,11.43,7.62,1.0121417726769808
1500.0,1,11.43,97.96,1.001393227509299
2500.0,1,11.43,97.96,1.0025082797077352
3500.0,1,11.43,97.96,1.0081043427278091
4500.0,1,11.43,97.96,0.9925541655499842
500.0,1,11.43,97.96,1.0027729199391722
5500.0,1,11.43,97.96,0.9976248352618944
1500.0,1,114.29,114.29,1.0196579917826862
2500.0,1,114.29,114.29,1.032358784252457
3500.0,1,114.29,114.29,1.024511741663205
4500.0,1,114.29,114.29,1.014608055577241
500.0,1,114.29,114.29,1.0082223194584468
5500.0,1,114.29,114.29,1.0175646534057805
1500.0,1,114.29,12.7,1.0333544951365108
2500.0,1,114.29,12.7,1.048836343951982
4500.0,1,114.29,12.7,1.0592292268996424
500.0,1,114.29,12.7,1.0150290591437927
5500.0,1,114.29,12.7,1.0789926181196337
1500.0,1,114.29,28.57,1.0412157141227405
2500.0,1,114.29,28.57,1.0443768283058357
3500.0,1,114.29,28.57,1.0486179313568929
4500.0,1,114.29,28.57,1.0564567072968563
500.0,1,114.29,28.57,1.0127493698255325
5500.0,1,114.29,28.57,1.0629177375843037
1500.0,1,114.29,48.98,1.024329242314278
2500.0,1,114.29,48.98,1.0261019221335148
3500.0,1,114.29,48.98,1.0498355317167483
4500.0,1,114.29,48.98,1.0362859954073023
500.0,1,114.29,48.98,1.0061813972373324
5500.0,1,114.29,48.98,1.0565571769833249
